Tiempo	Corriente
2.922433e+00	1.067860e-02
3.166173e+00	1.067950e-02
3.393200e+00	1.067930e-02
3.625359e+00	1.068030e-02
3.855367e+00	1.067800e-02
4.102755e+00	1.067740e-02
4.346499e+00	1.067970e-02
4.572170e+00	1.067680e-02
4.802176e+00	1.067630e-02
5.031350e+00	1.067620e-02
5.259976e+00	1.068080e-02
5.489669e+00	1.067790e-02
5.719697e+00	1.067930e-02
5.944245e+00	1.067860e-02
6.194057e+00	1.067520e-02
6.423346e+00	1.067500e-02
6.653578e+00	1.067830e-02
6.883873e+00	1.067460e-02
7.110553e+00	1.067660e-02
7.346191e+00	1.067680e-02
7.588373e+00	1.067580e-02
7.812869e+00	1.067660e-02
8.041274e+00	1.067500e-02
8.267753e+00	1.067640e-02
8.494772e+00	1.067480e-02
8.721920e+00	1.067600e-02
8.951371e+00	1.067770e-02
9.180536e+00	1.067630e-02
9.427322e+00	1.067650e-02
9.651775e+00	1.067770e-02
9.881061e+00	1.067610e-02
1.011026e+01	1.067380e-02
1.034183e+01	1.067510e-02
1.058567e+01	1.067270e-02
1.082928e+01	1.067590e-02
1.105390e+01	1.067410e-02
1.128313e+01	1.067420e-02
1.151392e+01	1.067440e-02
1.174139e+01	1.067330e-02
1.197158e+01	1.067420e-02
1.219892e+01	1.067560e-02
1.242768e+01	1.067740e-02
1.265816e+01	1.067540e-02
1.289019e+01	1.067520e-02
1.311409e+01	1.067320e-02
1.334447e+01	1.067340e-02
1.357307e+01	1.067400e-02
1.380159e+01	1.067440e-02
1.403138e+01	1.067410e-02
1.426423e+01	1.067370e-02
1.449291e+01	1.067110e-02
1.472259e+01	1.067120e-02
1.495183e+01	1.067240e-02
1.518022e+01	1.067500e-02
1.540705e+01	1.067350e-02
1.567835e+01	1.067300e-02
1.590251e+01	1.067280e-02
1.612925e+01	1.067190e-02
1.635998e+01	1.067210e-02
1.658516e+01	1.067180e-02
1.681192e+01	1.067150e-02
1.704160e+01	1.067250e-02
1.727312e+01	1.067170e-02
1.750384e+01	1.067380e-02
1.773661e+01	1.067560e-02
1.796183e+01	1.067310e-02
1.818986e+01	1.067190e-02
1.841992e+01	1.067630e-02
1.865258e+01	1.067690e-02
1.889531e+01	1.067450e-02
1.912121e+01	1.067420e-02
1.937121e+01	1.067460e-02
1.961575e+01	1.067380e-02
1.985968e+01	1.067230e-02
2.008255e+01	1.067280e-02
2.031150e+01	1.067170e-02
2.054109e+01	1.067330e-02
2.076651e+01	1.067270e-02
2.099407e+01	1.067270e-02
2.122503e+01	1.067280e-02
2.145587e+01	1.067300e-02
2.168013e+01	1.067210e-02
2.190826e+01	1.067480e-02
2.213405e+01	1.067340e-02
2.240465e+01	1.067410e-02
2.262973e+01	1.067780e-02
2.286201e+01	1.067420e-02
2.308564e+01	1.067410e-02
2.331551e+01	1.067460e-02
2.354031e+01	1.067420e-02
2.377243e+01	1.067230e-02
2.399593e+01	1.067230e-02
2.422771e+01	1.067100e-02
2.445061e+01	1.067340e-02
2.467752e+01	1.067240e-02
2.490611e+01	1.067440e-02
2.513185e+01	1.067570e-02
