Tiempo	Corriente
8.380360e-01	1.055920e-02
1.099922e+00	1.055380e-02
1.345175e+00	1.054600e-02
1.589605e+00	1.054490e-02
1.834001e+00	1.054210e-02
2.076923e+00	1.053810e-02
2.322328e+00	1.053880e-02
2.565343e+00	1.053880e-02
2.790085e+00	1.053780e-02
3.019570e+00	1.053680e-02
3.262230e+00	1.053730e-02
3.486671e+00	1.053300e-02
3.715947e+00	1.053420e-02
3.942109e+00	1.053270e-02
4.171720e+00	1.053370e-02
4.399655e+00	1.053310e-02
4.630765e+00	1.053270e-02
4.860948e+00	1.053240e-02
5.084678e+00	1.052990e-02
5.311374e+00	1.053310e-02
5.537148e+00	1.053170e-02
5.766610e+00	1.053180e-02
5.994780e+00	1.053400e-02
6.221683e+00	1.053410e-02
6.448819e+00	1.053250e-02
6.675657e+00	1.053340e-02
6.901384e+00	1.053150e-02
7.127403e+00	1.053170e-02
7.352473e+00	1.053120e-02
7.583030e+00	1.053280e-02
7.810852e+00	1.053170e-02
8.039253e+00	1.053000e-02
8.286849e+00	1.053320e-02
8.510812e+00	1.053070e-02
8.736292e+00	1.052960e-02
8.962891e+00	1.053390e-02
9.191967e+00	1.052920e-02
9.434318e+00	1.053140e-02
9.677827e+00	1.053220e-02
9.903312e+00	1.053460e-02
1.012983e+01	1.053490e-02
1.035781e+01	1.053310e-02
1.058465e+01	1.053340e-02
1.081317e+01	1.053160e-02
1.103870e+01	1.053310e-02
1.126482e+01	1.053100e-02
1.149190e+01	1.053000e-02
1.171715e+01	1.052940e-02
1.194276e+01	1.052840e-02
1.216899e+01	1.052800e-02
1.239873e+01	1.052790e-02
1.262600e+01	1.052820e-02
1.285277e+01	1.053060e-02
1.307989e+01	1.053110e-02
1.331479e+01	1.052950e-02
1.353886e+01	1.053120e-02
1.376514e+01	1.052940e-02
1.399166e+01	1.053220e-02
1.421770e+01	1.053010e-02
1.444459e+01	1.053320e-02
1.467320e+01	1.053340e-02
1.489929e+01	1.053280e-02
1.512486e+01	1.053250e-02
1.537238e+01	1.052980e-02
1.564157e+01	1.053230e-02
1.586972e+01	1.053070e-02
1.609523e+01	1.053020e-02
1.632638e+01	1.053020e-02
1.655069e+01	1.053090e-02
1.677837e+01	1.053050e-02
1.700492e+01	1.052850e-02
1.723284e+01	1.052780e-02
1.746290e+01	1.052950e-02
1.769367e+01	1.053030e-02
1.792085e+01	1.052980e-02
1.814890e+01	1.053020e-02
1.837475e+01	1.053020e-02
1.860396e+01	1.053050e-02
1.883632e+01	1.053190e-02
1.906063e+01	1.053090e-02
1.928424e+01	1.053220e-02
1.951021e+01	1.053360e-02
1.974080e+01	1.053370e-02
1.996601e+01	1.053120e-02
2.019725e+01	1.053150e-02
2.044568e+01	1.053230e-02
2.067139e+01	1.053400e-02
2.089834e+01	1.053010e-02
2.112518e+01	1.052960e-02
2.135076e+01	1.053070e-02
2.158781e+01	1.053210e-02
2.181181e+01	1.052860e-02
2.203774e+01	1.052930e-02
2.226555e+01	1.052870e-02
2.249711e+01	1.052640e-02
2.272422e+01	1.053060e-02
2.295333e+01	1.052850e-02
2.317914e+01	1.052870e-02
2.340596e+01	1.052750e-02
2.363414e+01	1.052830e-02
2.386297e+01	1.052900e-02
2.408968e+01	1.052950e-02
2.431856e+01	1.052840e-02
2.454445e+01	1.053070e-02
2.477506e+01	1.053070e-02
2.499949e+01	1.053000e-02
2.522656e+01	1.052920e-02
2.545452e+01	1.053000e-02
2.568452e+01	1.052950e-02
2.591169e+01	1.052860e-02
2.613768e+01	1.052770e-02
2.636571e+01	1.052910e-02
2.659166e+01	1.052990e-02
2.681930e+01	1.053120e-02
2.704875e+01	1.053150e-02
2.727380e+01	1.053270e-02
2.752187e+01	1.053290e-02
2.776549e+01	1.053260e-02
2.798881e+01	1.053180e-02
2.821483e+01	1.053020e-02
2.844146e+01	1.053200e-02
2.867220e+01	1.053290e-02
2.889935e+01	1.053350e-02
2.912984e+01	1.053420e-02
2.935885e+01	1.053200e-02
2.958438e+01	1.053490e-02
2.981316e+01	1.056130e-02
3.004091e+01	1.082870e-02
3.027145e+01	1.105950e-02
3.049750e+01	1.124140e-02
3.076424e+01	1.139780e-02
3.099066e+01	1.153660e-02
3.121774e+01	1.161710e-02
3.144291e+01	1.166110e-02
3.167026e+01	1.169210e-02
3.189920e+01	1.171650e-02
3.212910e+01	1.173410e-02
3.235959e+01	1.175790e-02
3.260300e+01	1.177790e-02
3.282767e+01	1.178630e-02
3.305639e+01	1.179490e-02
3.328216e+01	1.180590e-02
3.350988e+01	1.181650e-02
3.373290e+01	1.182360e-02
3.395881e+01	1.182530e-02
3.418177e+01	1.183070e-02
3.440879e+01	1.183820e-02
3.463735e+01	1.184000e-02
3.486335e+01	1.184200e-02
3.509072e+01	1.184730e-02
3.531662e+01	1.184970e-02
3.555977e+01	1.185280e-02
3.578441e+01	1.185690e-02
3.600952e+01	1.185680e-02
3.623969e+01	1.185680e-02
3.646296e+01	1.185760e-02
3.669111e+01	1.186130e-02
3.691619e+01	1.186040e-02
3.714282e+01	1.186430e-02
3.736807e+01	1.186620e-02
3.759093e+01	1.186910e-02
3.782206e+01	1.186580e-02
3.805012e+01	1.186730e-02
3.827613e+01	1.186820e-02
3.850184e+01	1.186710e-02
3.872575e+01	1.186780e-02
3.895084e+01	1.186370e-02
3.917960e+01	1.186570e-02
3.940567e+01	1.186290e-02
3.966991e+01	1.186540e-02
3.991535e+01	1.186940e-02
4.013953e+01	1.186770e-02
4.036552e+01	1.186620e-02
