Tiempo	Corriente
8.425630e-01	1.085140e-02
1.107482e+00	1.083290e-02
1.353404e+00	1.083360e-02
1.600493e+00	1.082720e-02
1.863465e+00	1.082170e-02
2.105607e+00	1.082040e-02
2.349420e+00	1.082070e-02
2.593794e+00	1.082690e-02
2.819712e+00	1.082510e-02
3.048904e+00	1.082550e-02
3.275331e+00	1.082180e-02
3.506714e+00	1.081200e-02
3.735585e+00	1.082230e-02
3.962529e+00	1.082520e-02
4.195745e+00	1.082350e-02
4.427501e+00	1.082310e-02
4.656852e+00	1.082280e-02
4.886209e+00	1.082130e-02
5.116326e+00	1.082240e-02
5.346200e+00	1.082130e-02
5.573927e+00	1.082070e-02
5.800781e+00	1.081480e-02
6.030629e+00	1.081490e-02
6.260349e+00	1.081680e-02
6.490228e+00	1.081600e-02
6.719267e+00	1.082040e-02
6.965548e+00	1.081890e-02
7.189878e+00	1.081830e-02
7.416669e+00	1.081900e-02
7.647852e+00	1.082170e-02
7.878005e+00	1.082070e-02
8.100585e+00	1.082160e-02
8.330568e+00	1.081940e-02
8.567071e+00	1.081950e-02
8.795933e+00	1.081690e-02
9.022558e+00	1.081260e-02
9.249507e+00	1.082040e-02
9.477925e+00	1.082140e-02
9.708655e+00	1.081910e-02
9.942560e+00	1.082380e-02
1.018725e+01	1.081880e-02
1.041087e+01	1.077950e-02
1.063940e+01	1.079220e-02
1.086804e+01	1.081580e-02
1.109742e+01	1.080490e-02
1.132179e+01	1.081480e-02
1.155552e+01	1.081810e-02
1.177865e+01	1.081390e-02
1.202771e+01	1.081330e-02
1.225170e+01	1.081650e-02
1.247974e+01	1.079560e-02
1.270784e+01	1.081760e-02
1.293724e+01	1.080120e-02
1.316219e+01	1.080960e-02
1.339225e+01	1.077650e-02
1.362435e+01	1.081680e-02
1.384997e+01	1.081230e-02
1.408055e+01	1.081790e-02
1.431337e+01	1.077800e-02
1.454391e+01	1.081860e-02
1.477052e+01	1.081640e-02
1.499959e+01	1.081740e-02
1.523227e+01	1.081920e-02
1.546286e+01	1.081920e-02
1.573184e+01	1.077840e-02
1.596337e+01	1.077980e-02
1.618744e+01	1.081840e-02
1.641693e+01	1.081830e-02
1.664848e+01	1.081600e-02
1.688192e+01	1.080760e-02
1.710988e+01	1.081780e-02
1.734443e+01	1.078380e-02
1.756952e+01	1.081840e-02
1.779827e+01	1.081800e-02
1.803079e+01	1.081600e-02
1.825354e+01	1.081440e-02
1.848359e+01	1.081310e-02
1.871638e+01	1.081510e-02
1.894398e+01	1.081430e-02
1.917405e+01	1.081560e-02
1.940375e+01	1.081130e-02
1.962938e+01	1.081040e-02
1.986102e+01	1.081100e-02
2.010652e+01	1.080510e-02
2.033034e+01	1.081160e-02
2.055772e+01	1.081140e-02
2.078429e+01	1.081420e-02
2.101440e+01	1.081340e-02
