Tiempo	Corriente
8.761640e-01	1.062670e-02
1.141845e+00	1.061830e-02
1.385389e+00	1.061240e-02
1.630757e+00	1.060860e-02
1.874237e+00	1.060960e-02
2.122743e+00	1.060620e-02
2.366180e+00	1.060680e-02
2.591196e+00	1.060500e-02
2.826257e+00	1.060480e-02
3.068526e+00	1.060500e-02
3.293910e+00	1.060170e-02
3.522732e+00	1.060030e-02
3.758819e+00	1.060000e-02
3.992575e+00	1.060100e-02
4.216764e+00	1.059920e-02
4.450927e+00	1.060030e-02
4.694858e+00	1.060000e-02
4.937332e+00	1.059920e-02
5.183377e+00	1.059780e-02
5.427091e+00	1.059840e-02
5.651212e+00	1.060050e-02
5.880177e+00	1.059450e-02
6.110396e+00	1.059980e-02
6.340507e+00	1.060120e-02
6.567203e+00	1.059950e-02
6.796329e+00	1.060000e-02
7.022708e+00	1.059740e-02
7.252125e+00	1.059800e-02
7.481568e+00	1.059760e-02
7.708389e+00	1.059780e-02
7.938732e+00	1.060030e-02
8.171195e+00	1.060890e-02
8.394707e+00	1.060460e-02
8.643941e+00	1.060450e-02
8.869355e+00	1.059570e-02
9.102264e+00	1.059580e-02
9.330734e+00	1.060420e-02
9.558668e+00	1.060430e-02
9.795878e+00	1.060230e-02
1.002062e+01	1.060460e-02
1.025021e+01	1.060240e-02
1.047930e+01	1.060550e-02
1.070550e+01	1.060000e-02
1.093168e+01	1.060100e-02
1.116283e+01	1.060370e-02
1.138713e+01	1.060300e-02
1.161856e+01	1.060170e-02
1.186270e+01	1.059760e-02
1.208539e+01	1.060290e-02
1.231535e+01	1.059860e-02
1.254378e+01	1.060200e-02
1.278724e+01	1.060250e-02
1.303148e+01	1.060110e-02
1.325669e+01	1.059620e-02
1.348442e+01	1.060160e-02
1.371305e+01	1.060040e-02
1.394921e+01	1.060040e-02
1.417182e+01	1.060230e-02
1.439809e+01	1.059850e-02
1.462613e+01	1.060100e-02
1.485782e+01	1.060110e-02
1.508243e+01	1.059790e-02
1.531408e+01	1.060060e-02
1.553778e+01	1.059490e-02
1.581028e+01	1.059920e-02
1.603521e+01	1.060070e-02
1.626226e+01	1.059970e-02
1.649133e+01	1.059770e-02
1.672231e+01	1.060160e-02
1.694928e+01	1.146350e-02
1.717824e+01	1.224780e-02
1.740566e+01	1.228360e-02
1.763760e+01	1.228760e-02
1.786123e+01	1.228090e-02
1.808695e+01	1.228640e-02
1.831306e+01	1.228040e-02
1.854432e+01	1.229470e-02
1.877219e+01	1.229740e-02
1.899967e+01	1.229930e-02
1.922602e+01	1.229930e-02
1.945425e+01	1.229540e-02
1.968325e+01	1.229430e-02
1.991552e+01	1.230190e-02
2.013949e+01	1.228520e-02
2.036772e+01	1.228660e-02
2.059930e+01	1.228490e-02
2.082411e+01	1.228350e-02
2.105027e+01	1.228460e-02
2.127794e+01	1.228390e-02
2.150633e+01	1.227940e-02
2.173221e+01	1.228680e-02
2.195934e+01	1.228420e-02
2.219098e+01	1.227570e-02
2.241421e+01	1.228430e-02
2.264215e+01	1.228200e-02
2.287382e+01	1.228300e-02
2.309750e+01	1.227920e-02
2.332941e+01	1.227950e-02
2.355296e+01	1.228010e-02
2.380426e+01	1.227850e-02
2.402709e+01	1.228990e-02
2.425339e+01	1.228950e-02
2.448427e+01	1.228910e-02
2.471485e+01	1.227940e-02
2.494220e+01	1.227950e-02
2.517093e+01	1.228070e-02
2.540146e+01	1.228460e-02
2.563178e+01	1.228210e-02
2.585694e+01	1.228430e-02
2.608358e+01	1.228270e-02
2.631528e+01	1.228410e-02
2.653858e+01	1.228420e-02
2.676575e+01	1.228230e-02
2.699622e+01	1.227990e-02
2.722284e+01	1.228270e-02
2.745432e+01	1.228560e-02
2.767928e+01	1.228880e-02
2.790750e+01	1.227860e-02
2.813621e+01	1.228270e-02
2.836633e+01	1.228010e-02
2.859177e+01	1.227990e-02
2.882070e+01	1.227730e-02
2.904950e+01	1.228120e-02
2.928083e+01	1.227890e-02
2.952472e+01	1.227920e-02
2.974922e+01	1.227770e-02
2.997581e+01	1.227540e-02
3.020267e+01	1.227560e-02
3.043239e+01	1.227570e-02
3.066856e+01	1.228110e-02
3.093639e+01	1.227550e-02
3.116465e+01	1.226980e-02
3.139068e+01	1.227970e-02
3.162376e+01	1.227850e-02
3.184764e+01	1.228030e-02
3.208489e+01	1.227500e-02
3.231053e+01	1.227910e-02
3.254509e+01	1.227670e-02
3.276931e+01	1.227290e-02
3.299735e+01	1.227900e-02
3.322459e+01	1.227320e-02
3.345161e+01	1.227240e-02
3.367836e+01	1.227820e-02
3.390959e+01	1.228150e-02
3.413446e+01	1.227730e-02
3.436256e+01	1.227460e-02
