Tiempo	Corriente
8.435210e-01	1.056940e-02
1.106558e+00	1.056310e-02
1.348625e+00	1.055750e-02
1.582500e+00	1.055300e-02
1.823865e+00	1.055300e-02
2.073037e+00	1.055130e-02
2.318270e+00	1.055000e-02
2.541296e+00	1.054960e-02
2.769173e+00	1.055000e-02
2.999303e+00	1.054790e-02
3.245965e+00	1.054770e-02
3.471722e+00	1.054600e-02
3.699448e+00	1.054670e-02
3.927682e+00	1.054750e-02
4.179651e+00	1.054610e-02
4.422141e+00	1.054610e-02
4.667555e+00	1.054390e-02
4.892497e+00	1.054680e-02
5.125175e+00	1.054420e-02
5.348530e+00	1.054780e-02
5.575515e+00	1.054800e-02
5.802138e+00	1.054660e-02
6.028189e+00	1.054580e-02
6.254158e+00	1.054640e-02
6.488198e+00	1.054670e-02
6.731695e+00	1.054820e-02
6.956579e+00	1.054660e-02
7.204707e+00	1.054430e-02
7.434245e+00	1.054240e-02
7.661201e+00	1.054490e-02
7.889148e+00	1.054580e-02
8.117152e+00	1.054510e-02
8.355288e+00	1.054510e-02
8.580251e+00	1.054210e-02
8.810493e+00	1.054230e-02
9.040616e+00	1.054370e-02
9.273299e+00	1.054620e-02
9.517958e+00	1.054750e-02
9.741699e+00	1.054500e-02
9.972330e+00	1.054580e-02
1.019596e+01	1.054520e-02
1.042515e+01	1.054520e-02
1.065313e+01	1.054340e-02
1.088418e+01	1.054470e-02
1.111031e+01	1.054470e-02
1.134244e+01	1.054740e-02
1.156666e+01	1.054480e-02
1.179361e+01	1.054330e-02
1.202016e+01	1.054590e-02
1.224659e+01	1.054590e-02
1.247512e+01	1.054430e-02
1.270089e+01	1.054200e-02
1.292800e+01	1.054090e-02
1.315250e+01	1.054290e-02
1.338414e+01	1.054180e-02
1.362843e+01	1.054220e-02
1.385297e+01	1.054310e-02
1.407987e+01	1.054330e-02
1.432812e+01	1.054410e-02
1.455292e+01	1.053990e-02
1.478202e+01	1.054140e-02
1.500731e+01	1.054320e-02
1.523814e+01	1.054100e-02
1.546958e+01	1.054070e-02
1.575341e+01	1.053990e-02
1.597868e+01	1.053910e-02
1.620621e+01	1.053920e-02
1.643195e+01	1.053860e-02
1.665986e+01	1.054110e-02
1.688658e+01	1.054010e-02
1.711894e+01	1.053980e-02
1.734343e+01	1.053780e-02
1.757178e+01	1.053960e-02
1.780013e+01	1.054080e-02
1.802981e+01	1.053700e-02
1.825843e+01	1.053820e-02
1.848637e+01	1.053890e-02
1.871414e+01	1.053870e-02
1.894420e+01	1.053870e-02
1.916964e+01	1.053770e-02
1.941784e+01	1.053950e-02
1.966215e+01	1.053930e-02
1.988627e+01	1.053740e-02
2.011205e+01	1.053830e-02
2.033773e+01	1.053920e-02
2.056785e+01	1.053910e-02
2.079427e+01	1.054080e-02
2.102057e+01	1.054110e-02
2.124610e+01	1.053870e-02
2.147850e+01	1.054000e-02
2.172228e+01	1.053720e-02
2.194654e+01	1.053760e-02
2.217544e+01	1.053850e-02
2.240213e+01	1.053560e-02
2.262896e+01	1.053880e-02
2.285648e+01	1.053940e-02
2.308420e+01	1.053850e-02
2.331673e+01	1.053720e-02
2.356117e+01	1.053780e-02
2.378542e+01	1.053940e-02
2.401205e+01	1.053950e-02
2.424161e+01	1.054080e-02
2.447133e+01	1.053990e-02
2.469920e+01	1.053850e-02
2.492901e+01	1.053800e-02
2.515714e+01	1.053720e-02
2.538614e+01	1.053920e-02
2.560960e+01	1.053880e-02
2.583914e+01	1.053850e-02
2.606885e+01	1.053760e-02
2.629690e+01	1.053820e-02
2.654377e+01	1.053770e-02
2.678632e+01	1.053710e-02
2.701168e+01	1.053730e-02
2.723796e+01	1.053810e-02
2.746738e+01	1.053860e-02
2.770510e+01	1.053670e-02
2.792969e+01	1.053760e-02
2.815661e+01	1.053780e-02
2.838102e+01	1.053930e-02
2.861310e+01	1.053970e-02
2.883695e+01	1.053730e-02
2.906802e+01	1.053720e-02
2.929877e+01	1.053700e-02
2.953337e+01	1.053940e-02
2.975767e+01	1.053920e-02
2.998443e+01	1.053920e-02
3.021115e+01	1.053780e-02
3.043717e+01	1.053970e-02
3.066326e+01	1.054000e-02
3.093528e+01	1.053930e-02
3.117948e+01	1.054100e-02
3.140415e+01	1.054040e-02
3.163250e+01	1.053750e-02
3.186102e+01	1.053830e-02
3.209321e+01	1.053770e-02
3.231625e+01	1.053880e-02
3.254996e+01	1.053780e-02
3.277461e+01	1.053870e-02
3.299990e+01	1.053790e-02
3.322799e+01	1.053910e-02
3.345543e+01	1.053810e-02
3.368344e+01	1.053940e-02
3.391186e+01	1.053820e-02
3.413818e+01	1.053680e-02
3.436735e+01	1.053550e-02
3.463623e+01	1.053740e-02
3.486204e+01	1.053740e-02
3.509039e+01	1.053570e-02
3.532014e+01	1.053550e-02
3.554812e+01	1.053760e-02
3.577464e+01	1.053640e-02
3.600270e+01	1.053470e-02
3.622928e+01	1.053310e-02
3.645814e+01	1.053490e-02
3.668523e+01	1.053770e-02
3.691525e+01	1.053710e-02
3.714405e+01	1.053700e-02
3.737396e+01	1.053710e-02
3.760199e+01	1.053800e-02
3.783331e+01	1.053650e-02
3.805927e+01	1.053770e-02
3.828823e+01	1.053540e-02
3.851539e+01	1.053480e-02
3.874440e+01	1.053560e-02
3.897477e+01	1.053470e-02
3.920613e+01	1.053570e-02
3.943059e+01	1.053560e-02
3.965790e+01	1.053380e-02
3.988721e+01	1.053570e-02
4.011720e+01	1.053510e-02
4.034803e+01	1.053460e-02
4.057595e+01	1.053500e-02
4.080314e+01	1.053790e-02
4.103110e+01	1.053630e-02
4.126526e+01	1.053650e-02
4.150802e+01	1.053490e-02
4.173364e+01	1.053750e-02
4.196124e+01	1.053640e-02
4.218749e+01	1.053820e-02
4.242252e+01	1.053750e-02
4.265189e+01	1.053840e-02
4.288549e+01	1.053790e-02
4.311029e+01	1.053590e-02
4.334128e+01	1.053670e-02
4.356646e+01	1.053820e-02
4.379416e+01	1.053970e-02
4.402324e+01	1.054000e-02
4.425297e+01	1.054100e-02
4.448609e+01	1.054000e-02
4.471097e+01	1.053970e-02
4.493621e+01	1.053850e-02
4.516400e+01	1.053920e-02
4.539158e+01	1.053800e-02
4.562763e+01	1.053800e-02
4.585313e+01	1.054000e-02
4.612183e+01	1.053930e-02
4.635417e+01	1.053600e-02
4.657666e+01	1.053310e-02
4.682308e+01	1.053680e-02
4.705289e+01	1.053730e-02
4.728080e+01	1.053710e-02
4.751121e+01	1.053760e-02
4.773905e+01	1.053510e-02
4.797365e+01	1.053630e-02
4.819609e+01	1.053790e-02
4.842973e+01	1.053780e-02
4.865367e+01	1.053730e-02
4.888518e+01	1.053850e-02
4.910741e+01	1.053860e-02
4.933499e+01	1.053720e-02
4.956417e+01	1.053660e-02
4.979700e+01	1.053760e-02
5.004002e+01	1.053900e-02
5.026564e+01	1.053910e-02
5.049542e+01	1.053830e-02
5.072234e+01	1.053830e-02
5.095056e+01	1.053960e-02
5.118010e+01	1.053820e-02
5.140600e+01	1.053850e-02
5.163727e+01	1.053940e-02
5.186210e+01	1.053990e-02
5.209158e+01	1.053790e-02
5.232032e+01	1.053680e-02
5.254783e+01	1.053950e-02
5.277767e+01	1.053860e-02
5.299861e+01	1.053740e-02
5.322512e+01	1.053810e-02
5.345520e+01	1.053660e-02
5.367928e+01	1.053680e-02
5.390562e+01	1.053530e-02
5.413377e+01	1.053620e-02
5.436619e+01	1.053710e-02
5.459557e+01	1.053700e-02
5.482525e+01	1.053610e-02
5.505264e+01	1.053610e-02
5.528181e+01	1.053700e-02
5.551026e+01	1.053680e-02
5.573857e+01	1.053750e-02
5.596694e+01	1.053750e-02
5.619815e+01	1.053720e-02
5.642583e+01	1.053660e-02
5.665185e+01	1.053780e-02
5.688397e+01	1.053720e-02
5.712786e+01	1.053800e-02
5.735163e+01	1.053730e-02
5.758314e+01	1.053600e-02
5.780603e+01	1.053660e-02
5.803484e+01	1.053800e-02
5.826455e+01	1.053730e-02
5.849349e+01	1.053660e-02
5.872313e+01	1.053710e-02
5.895045e+01	1.054080e-02
5.917915e+01	1.053880e-02
5.940570e+01	1.053530e-02
5.963448e+01	1.053460e-02
5.986315e+01	1.053690e-02
6.009115e+01	1.053910e-02
6.031697e+01	1.053810e-02
6.055040e+01	1.053660e-02
6.078125e+01	1.053930e-02
6.101121e+01	1.053790e-02
6.128200e+01	1.053680e-02
6.150889e+01	1.053650e-02
6.173673e+01	1.053320e-02
6.197103e+01	1.053700e-02
6.221525e+01	1.053760e-02
6.243951e+01	1.053690e-02
6.266719e+01	1.053510e-02
6.289779e+01	1.053540e-02
6.312911e+01	1.053530e-02
6.335934e+01	1.053710e-02
6.358958e+01	1.053650e-02
6.381817e+01	1.053500e-02
6.406575e+01	1.053700e-02
6.431121e+01	1.053700e-02
6.453572e+01	1.053940e-02
6.476358e+01	1.053780e-02
6.499418e+01	1.053820e-02
6.522629e+01	1.053620e-02
6.545546e+01	1.053640e-02
6.568517e+01	1.053730e-02
6.591219e+01	1.053690e-02
6.614430e+01	1.053690e-02
6.637397e+01	1.053600e-02
6.660196e+01	1.053450e-02
6.683410e+01	1.053440e-02
6.705683e+01	1.053540e-02
6.728757e+01	1.053360e-02
6.751221e+01	1.053480e-02
6.774130e+01	1.053320e-02
6.797453e+01	1.053510e-02
6.819712e+01	1.053110e-02
6.842543e+01	1.053540e-02
6.865347e+01	1.053690e-02
6.888003e+01	1.053480e-02
6.911402e+01	1.053740e-02
6.935686e+01	1.056010e-02
6.958415e+01	1.056870e-02
6.981340e+01	1.058660e-02
7.003977e+01	1.060190e-02
7.027307e+01	1.061410e-02
7.049780e+01	1.062740e-02
7.072502e+01	1.064000e-02
7.095335e+01	1.065530e-02
7.118019e+01	1.066610e-02
7.140833e+01	1.067650e-02
7.163757e+01	1.068550e-02
7.186588e+01	1.070060e-02
7.209420e+01	1.071210e-02
7.232855e+01	1.072690e-02
7.255126e+01	1.073620e-02
7.278105e+01	1.075150e-02
7.300990e+01	1.076190e-02
7.323623e+01	1.077500e-02
7.346720e+01	1.078830e-02
7.369190e+01	1.080440e-02
7.391921e+01	1.081460e-02
7.416734e+01	1.082630e-02
7.439108e+01	1.084010e-02
7.461711e+01	1.084740e-02
7.484896e+01	1.085540e-02
7.507264e+01	1.086570e-02
7.533854e+01	1.087420e-02
7.556803e+01	1.088270e-02
7.579528e+01	1.089310e-02
7.602125e+01	1.090000e-02
7.625181e+01	1.091260e-02
7.652028e+01	1.091760e-02
7.675027e+01	1.092900e-02
7.697862e+01	1.093820e-02
