Tiempo	Corriente
8.427690e-01	1.137530e-02
1.118003e+00	1.137110e-02
1.361329e+00	1.136540e-02
1.612718e+00	1.136610e-02
1.856737e+00	1.135890e-02
2.097851e+00	1.135990e-02
2.334243e+00	1.136000e-02
2.575568e+00	1.135950e-02
2.818908e+00	1.136010e-02
3.042599e+00	1.135840e-02
3.275089e+00	1.135510e-02
3.505922e+00	1.135420e-02
3.737952e+00	1.135710e-02
3.969491e+00	1.135770e-02
4.203007e+00	1.137240e-02
4.433876e+00	1.135430e-02
4.668293e+00	1.135550e-02
4.892202e+00	1.135680e-02
5.127224e+00	1.135760e-02
5.372990e+00	1.135350e-02
5.615377e+00	1.135370e-02
5.840594e+00	1.135430e-02
6.068076e+00	1.135540e-02
6.299169e+00	1.135580e-02
6.527233e+00	1.135510e-02
6.758715e+00	1.135530e-02
6.989262e+00	1.135570e-02
7.228676e+00	1.135760e-02
7.456210e+00	1.135270e-02
7.689249e+00	1.135570e-02
7.933946e+00	1.135610e-02
8.159474e+00	1.135630e-02
8.390004e+00	1.135770e-02
8.622441e+00	1.135720e-02
8.852186e+00	1.135240e-02
9.081027e+00	1.135360e-02
9.311208e+00	1.135440e-02
9.539882e+00	1.135430e-02
9.773402e+00	1.135350e-02
1.001765e+01	1.135520e-02
1.024513e+01	1.135310e-02
1.047204e+01	1.135390e-02
1.070179e+01	1.135450e-02
1.093116e+01	1.135870e-02
1.116268e+01	1.135550e-02
1.138922e+01	1.135600e-02
1.161962e+01	1.135240e-02
1.185242e+01	1.135460e-02
1.207553e+01	1.135470e-02
1.230673e+01	1.135480e-02
1.253729e+01	1.135500e-02
1.277001e+01	1.135150e-02
1.300135e+01	1.135370e-02
1.323140e+01	1.135320e-02
1.346187e+01	1.135090e-02
1.369532e+01	1.135260e-02
1.391936e+01	1.135040e-02
1.415123e+01	1.134980e-02
1.438351e+01	1.135590e-02
1.461536e+01	1.135700e-02
1.484357e+01	1.135440e-02
1.507241e+01	1.135330e-02
1.530216e+01	1.135470e-02
1.552638e+01	1.135470e-02
1.579874e+01	1.135190e-02
1.602949e+01	1.135260e-02
1.626211e+01	1.135450e-02
1.650127e+01	1.135690e-02
1.674660e+01	1.135670e-02
1.699001e+01	1.135480e-02
1.723517e+01	1.135880e-02
1.747780e+01	1.135730e-02
1.770250e+01	1.135390e-02
1.793560e+01	1.135840e-02
1.817872e+01	1.135560e-02
1.842328e+01	1.135700e-02
1.866869e+01	1.135500e-02
1.891204e+01	1.135430e-02
1.915738e+01	1.135570e-02
1.940186e+01	1.135190e-02
1.962559e+01	1.135450e-02
1.985711e+01	1.135500e-02
2.008554e+01	1.135680e-02
2.031621e+01	1.135700e-02
2.054236e+01	1.135780e-02
2.077195e+01	1.135780e-02
2.100035e+01	1.135660e-02
2.123326e+01	1.139330e-02
2.145852e+01	1.145690e-02
2.168930e+01	1.151290e-02
2.193019e+01	1.155970e-02
2.215529e+01	1.159710e-02
2.238242e+01	1.162230e-02
2.261737e+01	1.164120e-02
2.286281e+01	1.165530e-02
2.310623e+01	1.167170e-02
2.333075e+01	1.168380e-02
2.355986e+01	1.169450e-02
2.378926e+01	1.170040e-02
2.403105e+01	1.170860e-02
2.425725e+01	1.171200e-02
2.448552e+01	1.172230e-02
2.471612e+01	1.172580e-02
2.494728e+01	1.173180e-02
2.517629e+01	1.173850e-02
2.540815e+01	1.174400e-02
2.563855e+01	1.174630e-02
2.586702e+01	1.174990e-02
2.609517e+01	1.175340e-02
2.632730e+01	1.175800e-02
2.656024e+01	1.175810e-02
2.679124e+01	1.176070e-02
2.702331e+01	1.176610e-02
2.725494e+01	1.176540e-02
2.748732e+01	1.176700e-02
2.772162e+01	1.177200e-02
2.794922e+01	1.177260e-02
2.818183e+01	1.177660e-02
2.840533e+01	1.177640e-02
2.863935e+01	1.177680e-02
2.888469e+01	1.178090e-02
2.912958e+01	1.178170e-02
2.937336e+01	1.178310e-02
2.959878e+01	1.178700e-02
2.983089e+01	1.179040e-02
3.006107e+01	1.179100e-02
3.028749e+01	1.178990e-02
3.052152e+01	1.179190e-02
3.074591e+01	1.179170e-02
3.101656e+01	1.179310e-02
3.124691e+01	1.179420e-02
3.147730e+01	1.179410e-02
3.171114e+01	1.179500e-02
3.195434e+01	1.179600e-02
3.218199e+01	1.179920e-02
3.241167e+01	1.179990e-02
3.264337e+01	1.179970e-02
3.287762e+01	1.179980e-02
3.310229e+01	1.180010e-02
3.333118e+01	1.180390e-02
3.356104e+01	1.180450e-02
3.379129e+01	1.180530e-02
3.402110e+01	1.180580e-02
3.425042e+01	1.181100e-02
3.447434e+01	1.181250e-02
3.470629e+01	1.181350e-02
3.493635e+01	1.181520e-02
3.516897e+01	1.181560e-02
3.539373e+01	1.181500e-02
3.562328e+01	1.181500e-02
3.585345e+01	1.181670e-02
3.608306e+01	1.181660e-02
3.631315e+01	1.181910e-02
3.654526e+01	1.181930e-02
3.679006e+01	1.181890e-02
3.703523e+01	1.181920e-02
3.727890e+01	1.181950e-02
3.752199e+01	1.182020e-02
3.776806e+01	1.182140e-02
3.801016e+01	1.181960e-02
3.825530e+01	1.182410e-02
3.847923e+01	1.182480e-02
3.871042e+01	1.182190e-02
3.894533e+01	1.190310e-02
3.917613e+01	1.189640e-02
3.940383e+01	1.189780e-02
3.963698e+01	1.190150e-02
3.986008e+01	1.189730e-02
4.009188e+01	1.190360e-02
4.032189e+01	1.189990e-02
4.054932e+01	1.189730e-02
4.077732e+01	1.189860e-02
4.100695e+01	1.190230e-02
4.123981e+01	1.190350e-02
4.148480e+01	1.190270e-02
4.172912e+01	1.190090e-02
4.197354e+01	1.191010e-02
4.221749e+01	1.190450e-02
4.245976e+01	1.191080e-02
4.268386e+01	1.190370e-02
4.292535e+01	1.190290e-02
4.315098e+01	1.190530e-02
4.338133e+01	1.190660e-02
4.361189e+01	1.190580e-02
4.384142e+01	1.190750e-02
4.406919e+01	1.190820e-02
4.429758e+01	1.191080e-02
4.452907e+01	1.191060e-02
4.476034e+01	1.191040e-02
4.499417e+01	1.191210e-02
4.523771e+01	1.191120e-02
4.548129e+01	1.190840e-02
4.572660e+01	1.190830e-02
4.597129e+01	1.190720e-02
4.623538e+01	1.190940e-02
4.646549e+01	1.190980e-02
4.669829e+01	1.191130e-02
4.692633e+01	1.190870e-02
4.716705e+01	1.191400e-02
4.739178e+01	1.191330e-02
4.762298e+01	1.191410e-02
4.785119e+01	1.191660e-02
4.808051e+01	1.191840e-02
4.831043e+01	1.192100e-02
4.853705e+01	1.191610e-02
4.876447e+01	1.191880e-02
4.899100e+01	1.192050e-02
4.922143e+01	1.191920e-02
4.945162e+01	1.192000e-02
4.968573e+01	1.192130e-02
4.991306e+01	1.192160e-02
5.014331e+01	1.191700e-02
5.037325e+01	1.191850e-02
5.060713e+01	1.191910e-02
5.083291e+01	1.191620e-02
5.106644e+01	1.191430e-02
5.129128e+01	1.191760e-02
5.151876e+01	1.191820e-02
5.175106e+01	1.192030e-02
5.198329e+01	1.191660e-02
5.222097e+01	1.191620e-02
5.246571e+01	1.191920e-02
5.271017e+01	1.191940e-02
5.295348e+01	1.191990e-02
5.318023e+01	1.173090e-02
5.341223e+01	1.173350e-02
5.364332e+01	1.173230e-02
5.387534e+01	1.173290e-02
5.410331e+01	1.172960e-02
5.433247e+01	1.172060e-02
5.456395e+01	1.171330e-02
5.478957e+01	1.170800e-02
5.501943e+01	1.170720e-02
5.525076e+01	1.170080e-02
5.547640e+01	1.169610e-02
5.570517e+01	1.169470e-02
5.593417e+01	1.168990e-02
5.616368e+01	1.168440e-02
5.639408e+01	1.167970e-02
5.662424e+01	1.167930e-02
5.685495e+01	1.167730e-02
5.708588e+01	1.167430e-02
5.731908e+01	1.166910e-02
5.754396e+01	1.166380e-02
5.777005e+01	1.166440e-02
5.800234e+01	1.165980e-02
5.823360e+01	1.165880e-02
5.846331e+01	1.165190e-02
5.869523e+01	1.165290e-02
5.892468e+01	1.164850e-02
5.915438e+01	1.164980e-02
5.938672e+01	1.164870e-02
5.961121e+01	1.164470e-02
5.983846e+01	1.164190e-02
6.006842e+01	1.163840e-02
6.029676e+01	1.163830e-02
6.052407e+01	1.163730e-02
6.075659e+01	1.163550e-02
6.098729e+01	1.163430e-02
6.122142e+01	1.162940e-02
6.150607e+01	1.162760e-02
6.173047e+01	1.162740e-02
6.195770e+01	1.162560e-02
6.218974e+01	1.162580e-02
6.241788e+01	1.162160e-02
6.264433e+01	1.162150e-02
6.287858e+01	1.162050e-02
6.310230e+01	1.162090e-02
6.333027e+01	1.161750e-02
6.355687e+01	1.161430e-02
6.378944e+01	1.161290e-02
6.401212e+01	1.161380e-02
6.424223e+01	1.161040e-02
