Tiempo	Corriente
6.601118e+00	1.065730e-02
6.845662e+00	1.065920e-02
7.074260e+00	1.065830e-02
7.305993e+00	1.065770e-02
7.535943e+00	1.065550e-02
7.787142e+00	1.065480e-02
8.031341e+00	1.065500e-02
8.259327e+00	1.065250e-02
8.489353e+00	1.065490e-02
8.717308e+00	1.065540e-02
8.954094e+00	1.065360e-02
9.189312e+00	1.065200e-02
9.433345e+00	1.065610e-02
9.658046e+00	1.065270e-02
9.886488e+00	1.065180e-02
1.011363e+01	1.065220e-02
1.034517e+01	1.065410e-02
1.057317e+01	1.065160e-02
1.080377e+01	1.065190e-02
1.105235e+01	1.065260e-02
1.127975e+01	1.065010e-02
1.150871e+01	1.065330e-02
1.173687e+01	1.065260e-02
1.196480e+01	1.065130e-02
1.219418e+01	1.065430e-02
1.241897e+01	1.065350e-02
1.264984e+01	1.065410e-02
1.288145e+01	1.065580e-02
1.312653e+01	1.065260e-02
1.335156e+01	1.065320e-02
1.357873e+01	1.065050e-02
1.380831e+01	1.065200e-02
1.403655e+01	1.065290e-02
1.426900e+01	1.065400e-02
1.449295e+01	1.065300e-02
1.472439e+01	1.065240e-02
1.494808e+01	1.065260e-02
1.517592e+01	1.065260e-02
1.540177e+01	1.064960e-02
1.566727e+01	1.065200e-02
1.589357e+01	1.065350e-02
1.612023e+01	1.065490e-02
1.634708e+01	1.065270e-02
1.657222e+01	1.065410e-02
1.679801e+01	1.065110e-02
1.702764e+01	1.065430e-02
1.725704e+01	1.065370e-02
1.748624e+01	1.065080e-02
1.771385e+01	1.065060e-02
1.793995e+01	1.065240e-02
1.817337e+01	1.065130e-02
1.840198e+01	1.065270e-02
1.862826e+01	1.065150e-02
1.885688e+01	1.065190e-02
1.908286e+01	1.065390e-02
1.931563e+01	1.065160e-02
1.954016e+01	1.065060e-02
1.977050e+01	1.065470e-02
2.001633e+01	1.065130e-02
2.024001e+01	1.065190e-02
2.047009e+01	1.065090e-02
2.069744e+01	1.065260e-02
2.092294e+01	1.065120e-02
2.115488e+01	1.065040e-02
2.137939e+01	1.065200e-02
2.160805e+01	1.064990e-02
2.183665e+01	1.065160e-02
2.206568e+01	1.064900e-02
2.229256e+01	1.064850e-02
2.252094e+01	1.064860e-02
2.274871e+01	1.064910e-02
2.297592e+01	1.064870e-02
2.320369e+01	1.064750e-02
2.342931e+01	1.064970e-02
2.366008e+01	1.065040e-02
2.389204e+01	1.065110e-02
2.411667e+01	1.065130e-02
2.434204e+01	1.065030e-02
2.457284e+01	1.065250e-02
2.480309e+01	1.065210e-02
2.502984e+01	1.065240e-02
2.527720e+01	1.065100e-02
2.550166e+01	1.065180e-02
2.572770e+01	1.065190e-02
2.595445e+01	1.065060e-02
2.619195e+01	1.065060e-02
2.641630e+01	1.065030e-02
2.664393e+01	1.064980e-02
2.687305e+01	1.065130e-02
2.710059e+01	1.065160e-02
2.734571e+01	1.065340e-02
2.757052e+01	1.065050e-02
2.779789e+01	1.065270e-02
2.802659e+01	1.065310e-02
2.825423e+01	1.065220e-02
2.848416e+01	1.065210e-02
2.870985e+01	1.064960e-02
2.893890e+01	1.065150e-02
2.916504e+01	1.064970e-02
2.939030e+01	1.064890e-02
2.962008e+01	1.065140e-02
2.984712e+01	1.065010e-02
3.007340e+01	1.064980e-02
3.030044e+01	1.064900e-02
3.053074e+01	1.065090e-02
3.079692e+01	1.065080e-02
3.102084e+01	1.064640e-02
3.124959e+01	1.064780e-02
3.148009e+01	1.064720e-02
3.170881e+01	1.065020e-02
3.193444e+01	1.065020e-02
3.216603e+01	1.064860e-02
3.239041e+01	1.065020e-02
3.261796e+01	1.088570e-02
3.284392e+01	1.104130e-02
3.307340e+01	1.108950e-02
3.330115e+01	1.111690e-02
3.353413e+01	1.113440e-02
3.375852e+01	1.114710e-02
3.398496e+01	1.115760e-02
3.421088e+01	1.116390e-02
3.443560e+01	1.120420e-02
3.466566e+01	1.120390e-02
3.489504e+01	1.120750e-02
3.512128e+01	1.121170e-02
3.534756e+01	1.125640e-02
3.557708e+01	1.125330e-02
3.580371e+01	1.125460e-02
3.603545e+01	1.125090e-02
3.625939e+01	1.125150e-02
3.648777e+01	1.124970e-02
3.671594e+01	1.124750e-02
3.694701e+01	1.124690e-02
3.717110e+01	1.124380e-02
3.739731e+01	1.124830e-02
3.762372e+01	1.124730e-02
3.785134e+01	1.124360e-02
3.807726e+01	1.124690e-02
3.830500e+01	1.124840e-02
3.853802e+01	1.124230e-02
3.876517e+01	1.123980e-02
3.899251e+01	1.123750e-02
3.922334e+01	1.123560e-02
3.945305e+01	1.127510e-02
3.968076e+01	1.126510e-02
3.990962e+01	1.126130e-02
4.013680e+01	1.126390e-02
4.036406e+01	1.126100e-02
4.061094e+01	1.125900e-02
4.083333e+01	1.125510e-02
4.105828e+01	1.126050e-02
4.128651e+01	1.126310e-02
4.151624e+01	1.125990e-02
4.174334e+01	1.125630e-02
4.197365e+01	1.125300e-02
4.220365e+01	1.125440e-02
4.242840e+01	1.127530e-02
4.266317e+01	1.126240e-02
4.290722e+01	1.126290e-02
4.313167e+01	1.125970e-02
4.335943e+01	1.125620e-02
4.358549e+01	1.125910e-02
4.381118e+01	1.125950e-02
4.403923e+01	1.127610e-02
4.427012e+01	1.127270e-02
4.449573e+01	1.126930e-02
4.472467e+01	1.126660e-02
4.495906e+01	1.126280e-02
4.518246e+01	1.126500e-02
4.541102e+01	1.127450e-02
4.563985e+01	1.127440e-02
4.590908e+01	1.126840e-02
4.613708e+01	1.126190e-02
4.636392e+01	1.125980e-02
4.659999e+01	1.125470e-02
4.682679e+01	1.124730e-02
4.705423e+01	1.124550e-02
4.728307e+01	1.124610e-02
4.750875e+01	1.124620e-02
4.773602e+01	1.124650e-02
4.796714e+01	1.124750e-02
4.819096e+01	1.124550e-02
4.842424e+01	1.124610e-02
4.864812e+01	1.124440e-02
4.889879e+01	1.124300e-02
4.912222e+01	1.124250e-02
4.934835e+01	1.123730e-02
4.958189e+01	1.123720e-02
4.980440e+01	1.123720e-02
5.003423e+01	1.130680e-02
5.026602e+01	1.129170e-02
5.049421e+01	1.128570e-02
5.072251e+01	1.128140e-02
5.094944e+01	1.127720e-02
5.117877e+01	1.127520e-02
5.140329e+01	1.127380e-02
5.163397e+01	1.127500e-02
5.185934e+01	1.127360e-02
5.208893e+01	1.126970e-02
5.231515e+01	1.127370e-02
5.254413e+01	1.127000e-02
5.277269e+01	1.126740e-02
5.299914e+01	1.126840e-02
5.322495e+01	1.126630e-02
5.345227e+01	1.126350e-02
5.367766e+01	1.126510e-02
5.390609e+01	1.126640e-02
5.413283e+01	1.126310e-02
5.435858e+01	1.125970e-02
5.458830e+01	1.126280e-02
5.482032e+01	1.131040e-02
5.504625e+01	1.130000e-02
5.527452e+01	1.129680e-02
5.550607e+01	1.129750e-02
5.573735e+01	1.129700e-02
5.595989e+01	1.129220e-02
5.618940e+01	1.129290e-02
5.641977e+01	1.129220e-02
5.664910e+01	1.129130e-02
5.687349e+01	1.129110e-02
5.710022e+01	1.128760e-02
5.732900e+01	1.128860e-02
5.755480e+01	1.128620e-02
5.778414e+01	1.128970e-02
5.800890e+01	1.128570e-02
5.823792e+01	1.128720e-02
5.846587e+01	1.128360e-02
5.869191e+01	1.135290e-02
5.891775e+01	1.133690e-02
5.914589e+01	1.132780e-02
5.937656e+01	1.132380e-02
5.960903e+01	1.131860e-02
5.983162e+01	1.131720e-02
6.005770e+01	1.134470e-02
6.028920e+01	1.133420e-02
6.051887e+01	1.133420e-02
6.076430e+01	1.132610e-02
6.102960e+01	1.132530e-02
6.125963e+01	1.132480e-02
6.148982e+01	1.132360e-02
6.172512e+01	1.132110e-02
6.194792e+01	1.131260e-02
6.217583e+01	1.131060e-02
6.240405e+01	1.130990e-02
6.263528e+01	1.131360e-02
6.286568e+01	1.130940e-02
6.309037e+01	1.130540e-02
6.331603e+01	1.130140e-02
6.354529e+01	1.129790e-02
6.377256e+01	1.129560e-02
6.400105e+01	1.130050e-02
6.422907e+01	1.130020e-02
6.446187e+01	1.130070e-02
6.470466e+01	1.129440e-02
6.492951e+01	1.129600e-02
6.515577e+01	1.129280e-02
6.538454e+01	1.129250e-02
6.561580e+01	1.129250e-02
6.583920e+01	1.129940e-02
6.606485e+01	1.129080e-02
6.629220e+01	1.128950e-02
6.652108e+01	1.129180e-02
6.674936e+01	1.133090e-02
6.697732e+01	1.130940e-02
6.720630e+01	1.130190e-02
6.743598e+01	1.130360e-02
6.766437e+01	1.130590e-02
6.789184e+01	1.129670e-02
