Tiempo	Corriente
8.459870e-01	1.057620e-02
1.091510e+00	1.056630e-02
1.332481e+00	1.056090e-02
1.563934e+00	1.055460e-02
1.814187e+00	1.055650e-02
2.058059e+00	1.055370e-02
2.282657e+00	1.055260e-02
2.512833e+00	1.055210e-02
2.744115e+00	1.055140e-02
2.973544e+00	1.054700e-02
3.203362e+00	1.054730e-02
3.430810e+00	1.054810e-02
3.659264e+00	1.054710e-02
3.886802e+00	1.054620e-02
4.109021e+00	1.054810e-02
4.335193e+00	1.054810e-02
4.567289e+00	1.054730e-02
4.795207e+00	1.054870e-02
5.021986e+00	1.054660e-02
5.250672e+00	1.054910e-02
5.477235e+00	1.054640e-02
5.705637e+00	1.054850e-02
5.932056e+00	1.054650e-02
6.165438e+00	1.054780e-02
6.391670e+00	1.054730e-02
6.619636e+00	1.054540e-02
6.846627e+00	1.054340e-02
7.073350e+00	1.054640e-02
7.303329e+00	1.054540e-02
7.531206e+00	1.054280e-02
7.757272e+00	1.054330e-02
8.006388e+00	1.054120e-02
8.251099e+00	1.054260e-02
8.473713e+00	1.054510e-02
8.701882e+00	1.054790e-02
8.930223e+00	1.054380e-02
9.169369e+00	1.054570e-02
9.414228e+00	1.054460e-02
9.638489e+00	1.054360e-02
9.865143e+00	1.054250e-02
1.009044e+01	1.054260e-02
1.031674e+01	1.054350e-02
1.054216e+01	1.054200e-02
1.077263e+01	1.054620e-02
1.100328e+01	1.054600e-02
1.123010e+01	1.054380e-02
1.145504e+01	1.054210e-02
1.168532e+01	1.054440e-02
1.191047e+01	1.054270e-02
1.214017e+01	1.054620e-02
1.236607e+01	1.054260e-02
1.259645e+01	1.054290e-02
1.282212e+01	1.054130e-02
1.304861e+01	1.054210e-02
1.328037e+01	1.054130e-02
1.350488e+01	1.053950e-02
1.373340e+01	1.054270e-02
1.396213e+01	1.054280e-02
1.419311e+01	1.054440e-02
1.441721e+01	1.054360e-02
1.465017e+01	1.054500e-02
1.487458e+01	1.054640e-02
1.512216e+01	1.054480e-02
1.534755e+01	1.054290e-02
1.557801e+01	1.054400e-02
1.584467e+01	1.054620e-02
1.607087e+01	1.054240e-02
1.630237e+01	1.054340e-02
1.653036e+01	1.054330e-02
1.675614e+01	1.054450e-02
1.698309e+01	1.054370e-02
1.721242e+01	1.054380e-02
1.744316e+01	1.054440e-02
1.767299e+01	1.054350e-02
1.790336e+01	1.054630e-02
1.815129e+01	1.054630e-02
1.837544e+01	1.054350e-02
1.860186e+01	1.054480e-02
1.882923e+01	1.054440e-02
1.905650e+01	1.054020e-02
1.929025e+01	1.054190e-02
1.953398e+01	1.054370e-02
1.975862e+01	1.054370e-02
1.998499e+01	1.054350e-02
2.021232e+01	1.054180e-02
2.043923e+01	1.054350e-02
2.066732e+01	1.054310e-02
2.089559e+01	1.054590e-02
2.112486e+01	1.054420e-02
2.135094e+01	1.054550e-02
2.157908e+01	1.054700e-02
2.180662e+01	1.054660e-02
2.203587e+01	1.054250e-02
2.226972e+01	1.053840e-02
2.249408e+01	1.054400e-02
2.272222e+01	1.054110e-02
2.294881e+01	1.054180e-02
2.317455e+01	1.054170e-02
2.340363e+01	1.054250e-02
2.363310e+01	1.054260e-02
2.385903e+01	1.054260e-02
2.408577e+01	1.054070e-02
2.431604e+01	1.054110e-02
2.454202e+01	1.054080e-02
2.476874e+01	1.054100e-02
2.499738e+01	1.053810e-02
2.524529e+01	1.053590e-02
2.547637e+01	1.053310e-02
2.570071e+01	1.053220e-02
2.592747e+01	1.053690e-02
2.616116e+01	1.053960e-02
2.638388e+01	1.054170e-02
2.661911e+01	1.054090e-02
2.686327e+01	1.053960e-02
2.708664e+01	1.054110e-02
2.731656e+01	1.054010e-02
2.754126e+01	1.054180e-02
2.776672e+01	1.054050e-02
2.799840e+01	1.053830e-02
2.822134e+01	1.054160e-02
2.846377e+01	1.054150e-02
2.870762e+01	1.053960e-02
2.893255e+01	1.053960e-02
2.916050e+01	1.054140e-02
2.938927e+01	1.053620e-02
2.961936e+01	1.053740e-02
2.985122e+01	1.054060e-02
3.009520e+01	1.054020e-02
3.032005e+01	1.054230e-02
3.054984e+01	1.054270e-02
3.077634e+01	1.054150e-02
3.104955e+01	1.053690e-02
3.127459e+01	1.053720e-02
3.150463e+01	1.053410e-02
3.173104e+01	1.053530e-02
3.195998e+01	1.053570e-02
3.218993e+01	1.054140e-02
3.242168e+01	1.054330e-02
3.264609e+01	1.054340e-02
3.287766e+01	1.053500e-02
3.310204e+01	1.054180e-02
3.335087e+01	1.054010e-02
3.357531e+01	1.053380e-02
3.380150e+01	1.053450e-02
3.402891e+01	1.053630e-02
3.425799e+01	1.053710e-02
3.448336e+01	1.054260e-02
3.470987e+01	1.054130e-02
3.493894e+01	1.053880e-02
3.517095e+01	1.053860e-02
3.539392e+01	1.180990e-02
3.562321e+01	1.196370e-02
3.585193e+01	1.201880e-02
3.607806e+01	1.204770e-02
3.630935e+01	1.206000e-02
3.653428e+01	1.206780e-02
3.676552e+01	1.207160e-02
3.699011e+01	1.207870e-02
3.721624e+01	1.208150e-02
3.744313e+01	1.208180e-02
3.767298e+01	1.208040e-02
3.789761e+01	1.208120e-02
3.812877e+01	1.208340e-02
3.835440e+01	1.208050e-02
3.858811e+01	1.208280e-02
3.883087e+01	1.208620e-02
3.905582e+01	1.208150e-02
3.928638e+01	1.208100e-02
3.951001e+01	1.207950e-02
3.973821e+01	1.208190e-02
3.998506e+01	1.207680e-02
4.022968e+01	1.207540e-02
4.047435e+01	1.207730e-02
4.069857e+01	1.207630e-02
