Tiempo	Corriente
2.869397e+00	1.068190e-02
3.111666e+00	1.068350e-02
3.341044e+00	1.067950e-02
3.574504e+00	1.068060e-02
3.808300e+00	1.067970e-02
4.051373e+00	1.067860e-02
4.285017e+00	1.067850e-02
4.514346e+00	1.067800e-02
4.745918e+00	1.067690e-02
4.975748e+00	1.067950e-02
5.207945e+00	1.068100e-02
5.453446e+00	1.068310e-02
5.675927e+00	1.067960e-02
5.908633e+00	1.068060e-02
6.134295e+00	1.068210e-02
6.364239e+00	1.068070e-02
6.591614e+00	1.068210e-02
6.822347e+00	1.068130e-02
7.052512e+00	1.068080e-02
7.284093e+00	1.067810e-02
7.517363e+00	1.067940e-02
7.741130e+00	1.068160e-02
7.976584e+00	1.067870e-02
8.200494e+00	1.067820e-02
8.436541e+00	1.067580e-02
8.661334e+00	1.067520e-02
8.890128e+00	1.067650e-02
9.118245e+00	1.067570e-02
9.348610e+00	1.067610e-02
9.579848e+00	1.067330e-02
9.806278e+00	1.067520e-02
1.003921e+01	1.067580e-02
1.028328e+01	1.067500e-02
1.050796e+01	1.067630e-02
1.073623e+01	1.067740e-02
1.096511e+01	1.067720e-02
1.119661e+01	1.067560e-02
1.142417e+01	1.067780e-02
1.164887e+01	1.068070e-02
1.187476e+01	1.067880e-02
1.210075e+01	1.067760e-02
1.232900e+01	1.067810e-02
1.255968e+01	1.067730e-02
1.278949e+01	1.067770e-02
1.301740e+01	1.068020e-02
1.324843e+01	1.067960e-02
1.347658e+01	1.068220e-02
1.370332e+01	1.068130e-02
1.393037e+01	1.068090e-02
1.415851e+01	1.067970e-02
1.441203e+01	1.068050e-02
1.463739e+01	1.067910e-02
1.486546e+01	1.067710e-02
1.509763e+01	1.067840e-02
1.534338e+01	1.067400e-02
1.558648e+01	1.067850e-02
1.587172e+01	1.067700e-02
1.611569e+01	1.067870e-02
1.633834e+01	1.067860e-02
1.656856e+01	1.067750e-02
1.680142e+01	1.067650e-02
1.704565e+01	1.067810e-02
1.728827e+01	1.067540e-02
1.751268e+01	1.067580e-02
1.774138e+01	1.067780e-02
1.796745e+01	1.067840e-02
1.820035e+01	1.067930e-02
1.846878e+01	1.067880e-02
1.869338e+01	1.067740e-02
1.892559e+01	1.067790e-02
1.915051e+01	1.067820e-02
1.938056e+01	1.067840e-02
1.960728e+01	1.067880e-02
1.983417e+01	1.067650e-02
2.006089e+01	1.067650e-02
2.029034e+01	1.068000e-02
2.051828e+01	1.067960e-02
2.074480e+01	1.067840e-02
2.098074e+01	1.067810e-02
2.122501e+01	1.068070e-02
2.144894e+01	1.067810e-02
2.167759e+01	1.067860e-02
2.192575e+01	1.067720e-02
2.214842e+01	1.067710e-02
