Tiempo	Corriente
8.748830e-01	1.078240e-02
1.115752e+00	1.077600e-02
1.363584e+00	1.077190e-02
1.610139e+00	1.076860e-02
1.852256e+00	1.076450e-02
2.097865e+00	1.076530e-02
2.341952e+00	1.076420e-02
2.566303e+00	1.076210e-02
2.792457e+00	1.076230e-02
3.017016e+00	1.076200e-02
3.243912e+00	1.076320e-02
3.470594e+00	1.076060e-02
3.697765e+00	1.076050e-02
3.924102e+00	1.075880e-02
4.151610e+00	1.075710e-02
4.378919e+00	1.076020e-02
4.620697e+00	1.076000e-02
4.845075e+00	1.075650e-02
5.076661e+00	1.075950e-02
5.299153e+00	1.075840e-02
5.524599e+00	1.075770e-02
5.749986e+00	1.075680e-02
6.015764e+00	1.075440e-02
6.243881e+00	1.075140e-02
6.473256e+00	1.075270e-02
6.701071e+00	1.075500e-02
6.933089e+00	1.075500e-02
7.175470e+00	1.075410e-02
7.400128e+00	1.075750e-02
7.631966e+00	1.075900e-02
7.856775e+00	1.075920e-02
8.083227e+00	1.075540e-02
8.309568e+00	1.075510e-02
8.536051e+00	1.075700e-02
8.763404e+00	1.075630e-02
8.988440e+00	1.075790e-02
9.221157e+00	1.075610e-02
9.465635e+00	1.075550e-02
9.699907e+00	1.075490e-02
9.935760e+00	1.075770e-02
1.016009e+01	1.075620e-02
1.039084e+01	1.075550e-02
1.061465e+01	1.075350e-02
1.084353e+01	1.075390e-02
1.107252e+01	1.075470e-02
1.130175e+01	1.075510e-02
1.153398e+01	1.075710e-02
1.175883e+01	1.075560e-02
1.198764e+01	1.075810e-02
1.221860e+01	1.075570e-02
1.244163e+01	1.075490e-02
1.267309e+01	1.075340e-02
1.289757e+01	1.075580e-02
1.312677e+01	1.075560e-02
1.335240e+01	1.075530e-02
1.358521e+01	1.075640e-02
1.381105e+01	1.075610e-02
1.404443e+01	1.075480e-02
1.427359e+01	1.075750e-02
1.450457e+01	1.075610e-02
1.472794e+01	1.075630e-02
1.495666e+01	1.076260e-02
1.518592e+01	1.077900e-02
1.541697e+01	1.079370e-02
1.568279e+01	1.081000e-02
1.591198e+01	1.082900e-02
1.613663e+01	1.084470e-02
1.636768e+01	1.085970e-02
1.661197e+01	1.087620e-02
1.683478e+01	1.089070e-02
1.706351e+01	1.090800e-02
1.729600e+01	1.091950e-02
1.752090e+01	1.093380e-02
1.775236e+01	1.094710e-02
1.797774e+01	1.095680e-02
1.820719e+01	1.096740e-02
1.843222e+01	1.098030e-02
1.866192e+01	1.099240e-02
1.888693e+01	1.100620e-02
1.911648e+01	1.101340e-02
1.934260e+01	1.102280e-02
1.957165e+01	1.103390e-02
1.980335e+01	1.104160e-02
2.002631e+01	1.105240e-02
2.025792e+01	1.105730e-02
2.048127e+01	1.106560e-02
2.070991e+01	1.107410e-02
2.093484e+01	1.108260e-02
2.116366e+01	1.109080e-02
2.139257e+01	1.109660e-02
2.162346e+01	1.110200e-02
2.184596e+01	1.110950e-02
2.207665e+01	1.111610e-02
2.232094e+01	1.112300e-02
2.254506e+01	1.112790e-02
2.277420e+01	1.113300e-02
2.299967e+01	1.113580e-02
2.322886e+01	1.113860e-02
2.345612e+01	1.114270e-02
2.368480e+01	1.114760e-02
2.391357e+01	1.115420e-02
2.414284e+01	1.116070e-02
2.436814e+01	1.116340e-02
2.459873e+01	1.116770e-02
2.483000e+01	1.117240e-02
2.505305e+01	1.117640e-02
2.528607e+01	1.117970e-02
2.551067e+01	1.118540e-02
2.574114e+01	1.118460e-02
2.596458e+01	1.118830e-02
2.619578e+01	1.119260e-02
2.641875e+01	1.119790e-02
2.665074e+01	1.120040e-02
2.687402e+01	1.120350e-02
2.710541e+01	1.120640e-02
2.732878e+01	1.120720e-02
2.756014e+01	1.121080e-02
2.778435e+01	1.121430e-02
2.801351e+01	1.121630e-02
2.823873e+01	1.121670e-02
2.847004e+01	1.122070e-02
2.869373e+01	1.122350e-02
2.892313e+01	1.122540e-02
2.914794e+01	1.123100e-02
2.937926e+01	1.122960e-02
2.960365e+01	1.123120e-02
2.983412e+01	1.123460e-02
3.007775e+01	1.123730e-02
3.030122e+01	1.123920e-02
3.053265e+01	1.123820e-02
3.079588e+01	1.124170e-02
3.102740e+01	1.124530e-02
3.125193e+01	1.124610e-02
3.148072e+01	1.124710e-02
3.170679e+01	1.124910e-02
3.193807e+01	1.124920e-02
3.216293e+01	1.125400e-02
3.239368e+01	1.125090e-02
3.261740e+01	1.125650e-02
3.284643e+01	1.125790e-02
3.307538e+01	1.125860e-02
3.330076e+01	1.126400e-02
3.353167e+01	1.126130e-02
3.375610e+01	1.126430e-02
3.398484e+01	1.126320e-02
3.420992e+01	1.126240e-02
3.443877e+01	1.126410e-02
3.466962e+01	1.126930e-02
3.493376e+01	1.127080e-02
3.515765e+01	1.127200e-02
3.538680e+01	1.127050e-02
3.561761e+01	1.127130e-02
3.584130e+01	1.127150e-02
3.607007e+01	1.127560e-02
3.629893e+01	1.127610e-02
3.652937e+01	1.127690e-02
3.675432e+01	1.127760e-02
3.698393e+01	1.128130e-02
3.721440e+01	1.128130e-02
3.743817e+01	1.128190e-02
3.766967e+01	1.128340e-02
3.789237e+01	1.128440e-02
3.812099e+01	1.128560e-02
3.834974e+01	1.128730e-02
3.858070e+01	1.128630e-02
3.880362e+01	1.128970e-02
3.903514e+01	1.129140e-02
3.926048e+01	1.129200e-02
3.948999e+01	1.129160e-02
3.971513e+01	1.129350e-02
3.994768e+01	1.129440e-02
4.017062e+01	1.129300e-02
4.039927e+01	1.129390e-02
4.062779e+01	1.129540e-02
4.085867e+01	1.129840e-02
4.108378e+01	1.130060e-02
4.131475e+01	1.129920e-02
4.153732e+01	1.133700e-02
4.176884e+01	1.131650e-02
4.199237e+01	1.130880e-02
4.222180e+01	1.130760e-02
4.245279e+01	1.130600e-02
4.267556e+01	1.130710e-02
4.290522e+01	1.130770e-02
4.313491e+01	1.130960e-02
4.336078e+01	1.131110e-02
4.359249e+01	1.131390e-02
4.381597e+01	1.131480e-02
4.404779e+01	1.131340e-02
4.427734e+01	1.131680e-02
4.450872e+01	1.131770e-02
4.473356e+01	1.131580e-02
4.496482e+01	1.131920e-02
4.518929e+01	1.131740e-02
4.542052e+01	1.131830e-02
4.564443e+01	1.131650e-02
4.591730e+01	1.131520e-02
4.614061e+01	1.131590e-02
4.637172e+01	1.131370e-02
4.659561e+01	1.131430e-02
4.682672e+01	1.131170e-02
4.704966e+01	1.130930e-02
4.728066e+01	1.130800e-02
4.750563e+01	1.130700e-02
4.773478e+01	1.130890e-02
4.796569e+01	1.130790e-02
4.819092e+01	1.130510e-02
4.842027e+01	1.130520e-02
4.865122e+01	1.130380e-02
4.887633e+01	1.130090e-02
4.910737e+01	1.130420e-02
4.933217e+01	1.130280e-02
