Tiempo Corriente
8.380360000000000031e-01 1.055919999999999949e-02
1.099922000000000066e+00 1.055380000000000033e-02
1.345175000000000010e+00 1.054599999999999982e-02
1.589604999999999935e+00 1.054489999999999941e-02
1.834000999999999992e+00 1.054210000000000043e-02
2.076922999999999853e+00 1.053809999999999990e-02
2.322328000000000170e+00 1.053879999999999921e-02
2.565342999999999929e+00 1.053879999999999921e-02
2.790084999999999926e+00 1.053779999999999994e-02
3.019569999999999865e+00 1.053680000000000068e-02
3.262230000000000185e+00 1.053729999999999944e-02
3.486670999999999854e+00 1.053300000000000070e-02
3.715946999999999889e+00 1.053420000000000051e-02
3.942108999999999863e+00 1.053270000000000074e-02
4.171719999999999651e+00 1.053370000000000001e-02
4.399655000000000094e+00 1.053310000000000010e-02
4.630765000000000242e+00 1.053270000000000074e-02
4.860947999999999602e+00 1.053240000000000079e-02
5.084678000000000253e+00 1.052990000000000002e-02
5.311373999999999818e+00 1.053310000000000010e-02
5.537148000000000181e+00 1.053169999999999974e-02
5.766610000000000014e+00 1.053179999999999915e-02
5.994780000000000442e+00 1.053399999999999996e-02
6.221682999999999630e+00 1.053409999999999937e-02
6.448819000000000301e+00 1.053250000000000020e-02
6.675657000000000174e+00 1.053340000000000005e-02
6.901384000000000185e+00 1.053149999999999920e-02
7.127403000000000155e+00 1.053169999999999974e-02
7.352472999999999814e+00 1.053119999999999924e-02
7.583029999999999937e+00 1.053280000000000015e-02
7.810851999999999684e+00 1.053169999999999974e-02
8.039253000000000426e+00 1.052999999999999943e-02
8.286849000000000132e+00 1.053319999999999951e-02
8.510811999999999600e+00 1.053070000000000048e-02
8.736292000000000613e+00 1.052960000000000007e-02
8.962891000000000830e+00 1.053390000000000055e-02
9.191966999999999999e+00 1.052920000000000071e-02
9.434317999999999316e+00 1.053139999999999979e-02
9.677827000000000623e+00 1.053220000000000024e-02
9.903311999999999671e+00 1.053459999999999987e-02
1.012983000000000011e+01 1.053489999999999982e-02
1.035781000000000063e+01 1.053310000000000010e-02
1.058464999999999989e+01 1.053340000000000005e-02
1.081316999999999950e+01 1.053160000000000034e-02
1.103870000000000040e+01 1.053310000000000010e-02
1.126482000000000028e+01 1.053100000000000043e-02
1.149189999999999934e+01 1.052999999999999943e-02
1.171715000000000018e+01 1.052939999999999952e-02
1.194275999999999982e+01 1.052840000000000026e-02
1.216899000000000086e+01 1.052799999999999916e-02
1.239873000000000047e+01 1.052789999999999976e-02
1.262599999999999945e+01 1.052819999999999971e-02
1.285276999999999958e+01 1.053059999999999934e-02
1.307989000000000068e+01 1.053109999999999984e-02
1.331479000000000035e+01 1.052950000000000066e-02
1.353885999999999967e+01 1.053119999999999924e-02
1.376514000000000060e+01 1.052939999999999952e-02
1.399165999999999954e+01 1.053220000000000024e-02
1.421770000000000067e+01 1.053010000000000057e-02
1.444458999999999982e+01 1.053319999999999951e-02
1.467319999999999958e+01 1.053340000000000005e-02
1.489929000000000059e+01 1.053280000000000015e-02
