Tiempo	Corriente
8.699510e-01	1.055210e-02
1.118031e+00	1.054430e-02
1.347958e+00	1.054040e-02
1.580743e+00	1.053840e-02
1.821764e+00	1.053620e-02
2.063824e+00	1.053290e-02
2.306688e+00	1.053280e-02
2.532054e+00	1.052940e-02
2.763633e+00	1.052780e-02
2.992018e+00	1.053050e-02
3.219572e+00	1.052640e-02
3.451405e+00	1.052870e-02
3.678237e+00	1.052960e-02
3.905628e+00	1.052670e-02
4.131809e+00	1.052630e-02
4.361617e+00	1.052670e-02
4.587121e+00	1.052450e-02
4.814911e+00	1.052530e-02
5.047732e+00	1.052280e-02
5.275544e+00	1.052130e-02
5.501389e+00	1.052180e-02
5.731406e+00	1.052290e-02
5.962999e+00	1.052500e-02
6.207046e+00	1.052490e-02
6.450722e+00	1.052520e-02
6.696076e+00	1.052500e-02
6.920217e+00	1.052620e-02
7.168470e+00	1.052680e-02
7.392068e+00	1.052430e-02
7.619815e+00	1.052420e-02
7.845851e+00	1.052560e-02
8.071548e+00	1.052520e-02
8.309198e+00	1.052720e-02
8.532777e+00	1.052740e-02
8.761251e+00	1.052740e-02
8.989991e+00	1.052690e-02
9.217337e+00	1.052900e-02
9.446099e+00	1.052860e-02
9.671379e+00	1.052800e-02
9.902787e+00	1.052730e-02
1.013094e+01	1.052740e-02
1.035757e+01	1.052520e-02
1.058400e+01	1.052460e-02
1.081113e+01	1.052600e-02
1.103962e+01	1.052500e-02
1.126863e+01	1.052660e-02
1.149488e+01	1.052690e-02
1.172139e+01	1.052580e-02
1.194834e+01	1.052590e-02
1.218114e+01	1.052530e-02
1.240528e+01	1.052550e-02
1.263118e+01	1.052350e-02
1.286140e+01	1.052200e-02
1.308997e+01	1.052300e-02
1.332150e+01	1.052500e-02
1.354437e+01	1.052480e-02
1.376965e+01	1.052290e-02
1.399650e+01	1.052460e-02
1.422769e+01	1.052320e-02
1.445308e+01	1.052450e-02
1.468294e+01	1.052320e-02
1.490797e+01	1.052260e-02
1.513466e+01	1.052310e-02
1.536086e+01	1.052420e-02
1.559170e+01	1.052260e-02
1.585920e+01	1.052370e-02
1.608597e+01	1.052390e-02
1.632219e+01	1.052300e-02
1.656605e+01	1.052100e-02
1.679173e+01	1.052370e-02
1.702147e+01	1.052530e-02
1.724614e+01	1.052590e-02
1.747348e+01	1.052270e-02
1.770571e+01	1.052310e-02
1.793585e+01	1.052080e-02
1.816920e+01	1.052260e-02
1.839323e+01	1.052220e-02
1.861929e+01	1.052330e-02
1.885045e+01	1.052130e-02
1.908043e+01	1.052160e-02
1.930642e+01	1.052250e-02
1.953359e+01	1.052250e-02
1.975767e+01	1.179100e-02
1.998903e+01	1.195720e-02
2.021992e+01	1.200700e-02
2.044607e+01	1.202660e-02
2.067156e+01	1.203390e-02
2.089721e+01	1.204150e-02
2.112658e+01	1.204920e-02
2.135777e+01	1.204820e-02
2.158683e+01	1.205330e-02
2.181472e+01	1.205180e-02
2.204199e+01	1.205280e-02
2.226978e+01	1.205470e-02
2.249832e+01	1.205620e-02
2.272397e+01	1.205950e-02
2.295440e+01	1.205160e-02
2.318393e+01	1.205580e-02
2.341093e+01	1.205520e-02
2.364230e+01	1.205530e-02
2.388535e+01	1.205500e-02
2.410873e+01	1.205480e-02
2.433600e+01	1.205990e-02
2.456606e+01	1.205820e-02
2.479561e+01	1.205770e-02
2.502362e+01	1.205740e-02
2.525115e+01	1.206090e-02
2.547819e+01	1.205540e-02
2.570655e+01	1.205520e-02
2.593783e+01	1.205720e-02
2.616173e+01	1.205240e-02
2.638884e+01	1.205030e-02
2.661981e+01	1.205280e-02
2.684441e+01	1.205190e-02
2.707250e+01	1.205590e-02
2.730297e+01	1.205160e-02
2.753910e+01	1.205640e-02
2.776342e+01	1.205330e-02
