Tiempo	Corriente
8.529760e-01	1.053980e-02
1.116451e+00	1.053150e-02
1.359896e+00	1.052790e-02
1.611244e+00	1.052380e-02
1.874249e+00	1.052170e-02
2.118245e+00	1.052280e-02
2.341946e+00	1.051960e-02
2.570289e+00	1.052000e-02
2.797093e+00	1.051550e-02
3.022757e+00	1.051830e-02
3.255643e+00	1.051750e-02
3.499831e+00	1.051670e-02
3.723445e+00	1.051840e-02
3.953155e+00	1.051860e-02
4.180542e+00	1.051820e-02
4.408472e+00	1.051960e-02
4.655925e+00	1.051610e-02
4.879751e+00	1.051670e-02
5.105974e+00	1.051780e-02
5.333697e+00	1.051480e-02
5.559873e+00	1.051540e-02
5.791365e+00	1.051490e-02
6.035154e+00	1.051450e-02
6.260889e+00	1.051370e-02
6.491123e+00	1.051240e-02
6.719000e+00	1.051340e-02
6.953114e+00	1.050990e-02
7.180994e+00	1.051000e-02
7.410514e+00	1.050740e-02
7.638647e+00	1.051120e-02
7.863727e+00	1.051090e-02
8.089384e+00	1.050910e-02
8.320884e+00	1.051020e-02
8.545724e+00	1.051090e-02
8.774955e+00	1.051180e-02
9.005428e+00	1.051360e-02
9.236870e+00	1.051130e-02
9.460295e+00	1.051190e-02
9.686764e+00	1.051230e-02
9.917830e+00	1.051150e-02
1.014314e+01	1.051060e-02
1.037079e+01	1.051460e-02
1.059762e+01	1.051340e-02
1.082862e+01	1.051320e-02
1.105854e+01	1.051180e-02
1.128580e+01	1.051240e-02
1.151359e+01	1.051210e-02
1.174203e+01	1.051360e-02
1.196790e+01	1.051130e-02
1.219743e+01	1.051370e-02
1.242243e+01	1.051470e-02
1.264890e+01	1.051230e-02
1.287588e+01	1.051340e-02
1.310593e+01	1.051620e-02
1.333390e+01	1.051430e-02
1.355970e+01	1.051090e-02
1.379020e+01	1.051360e-02
1.401915e+01	1.051310e-02
1.424534e+01	1.051180e-02
1.447228e+01	1.051230e-02
1.471859e+01	1.051120e-02
1.496203e+01	1.051150e-02
1.518637e+01	1.051250e-02
1.541619e+01	1.051220e-02
1.568287e+01	1.051420e-02
1.591065e+01	1.051370e-02
1.614543e+01	1.051230e-02
1.637089e+01	1.051230e-02
1.659826e+01	1.051580e-02
1.682674e+01	1.051190e-02
1.705752e+01	1.051330e-02
1.729028e+01	1.051160e-02
1.753460e+01	1.051430e-02
1.775778e+01	1.051150e-02
1.798788e+01	1.051500e-02
1.821367e+01	1.051130e-02
1.844190e+01	1.051220e-02
1.866749e+01	1.051200e-02
1.889806e+01	1.051410e-02
1.914495e+01	1.051280e-02
1.936972e+01	1.051090e-02
1.959677e+01	1.051010e-02
1.982645e+01	1.050970e-02
2.006389e+01	1.051130e-02
2.028833e+01	1.051150e-02
2.051445e+01	1.051260e-02
2.074618e+01	1.051350e-02
2.096962e+01	1.051130e-02
2.119600e+01	1.050990e-02
2.142286e+01	1.050970e-02
2.165095e+01	1.051010e-02
2.187888e+01	1.051020e-02
2.210603e+01	1.050960e-02
2.233751e+01	1.051160e-02
2.256231e+01	1.051190e-02
2.279245e+01	1.051080e-02
2.302442e+01	1.051040e-02
2.324737e+01	1.051040e-02
2.347445e+01	1.050970e-02
2.370086e+01	1.050810e-02
2.392750e+01	1.051270e-02
2.415594e+01	1.050750e-02
2.438535e+01	1.050770e-02
2.461269e+01	1.050930e-02
2.484087e+01	1.050970e-02
2.506638e+01	1.050930e-02
2.529501e+01	1.050870e-02
2.552400e+01	1.051030e-02
2.575570e+01	1.050750e-02
2.599982e+01	1.050830e-02
2.624286e+01	1.050890e-02
2.646723e+01	1.051250e-02
2.669312e+01	1.051230e-02
2.691971e+01	1.051000e-02
2.714578e+01	1.051020e-02
2.737401e+01	1.051240e-02
2.760242e+01	1.051320e-02
2.783084e+01	1.051310e-02
2.805842e+01	1.051290e-02
2.828788e+01	1.051100e-02
2.851344e+01	1.051070e-02
2.874197e+01	1.051260e-02
2.897501e+01	1.051220e-02
2.920456e+01	1.051150e-02
2.943110e+01	1.050830e-02
2.967885e+01	1.050980e-02
2.990344e+01	1.050900e-02
3.013296e+01	1.051160e-02
3.036497e+01	1.050960e-02
3.058901e+01	1.050880e-02
3.085885e+01	1.050820e-02
3.108808e+01	1.050880e-02
3.131410e+01	1.050770e-02
3.154479e+01	1.050940e-02
3.177405e+01	1.050890e-02
3.200161e+01	1.050660e-02
3.223199e+01	1.051110e-02
3.245691e+01	1.050750e-02
3.268315e+01	1.050960e-02
3.291411e+01	1.051190e-02
3.313844e+01	1.050980e-02
3.336609e+01	1.050950e-02
3.359597e+01	1.050990e-02
3.382175e+01	1.050970e-02
3.405301e+01	1.051180e-02
3.427724e+01	1.051220e-02
3.451487e+01	1.051340e-02
3.473747e+01	1.051070e-02
3.496390e+01	1.051160e-02
3.519258e+01	1.051160e-02
3.542525e+01	1.050980e-02
3.564963e+01	1.051120e-02
3.587588e+01	1.051210e-02
3.610422e+01	1.051160e-02
3.635526e+01	1.051420e-02
3.660032e+01	1.051240e-02
3.682434e+01	1.051350e-02
3.705091e+01	1.051210e-02
3.728256e+01	1.051150e-02
3.750795e+01	1.051080e-02
3.773407e+01	1.050920e-02
3.796308e+01	1.050970e-02
3.819002e+01	1.051060e-02
3.841755e+01	1.051220e-02
3.864503e+01	1.051200e-02
3.887254e+01	1.051280e-02
3.910418e+01	1.051030e-02
3.932758e+01	1.050970e-02
3.955680e+01	1.051120e-02
3.978706e+01	1.051100e-02
4.002089e+01	1.050990e-02
4.024479e+01	1.050960e-02
4.047560e+01	1.051180e-02
4.070224e+01	1.051150e-02
4.093326e+01	1.051000e-02
4.115693e+01	1.051110e-02
4.138386e+01	1.051260e-02
4.161272e+01	1.051350e-02
4.184211e+01	1.051390e-02
4.207025e+01	1.051130e-02
4.230215e+01	1.051300e-02
4.252578e+01	1.051340e-02
4.276008e+01	1.051490e-02
4.298520e+01	1.051340e-02
4.323186e+01	1.051320e-02
4.345521e+01	1.051500e-02
4.368091e+01	1.051480e-02
4.391189e+01	1.051860e-02
4.413526e+01	1.052140e-02
4.437484e+01	1.052980e-02
4.459977e+01	1.053210e-02
4.483062e+01	1.053270e-02
4.505588e+01	1.054020e-02
4.528510e+01	1.054370e-02
4.551205e+01	1.054910e-02
4.574594e+01	1.055350e-02
4.600926e+01	1.056080e-02
4.623592e+01	1.056370e-02
4.646296e+01	1.056690e-02
4.669002e+01	1.057150e-02
4.691683e+01	1.057710e-02
4.714443e+01	1.058200e-02
4.737674e+01	1.058730e-02
4.760125e+01	1.058950e-02
4.782963e+01	1.059590e-02
4.807480e+01	1.059360e-02
4.832012e+01	1.059770e-02
4.854350e+01	1.060100e-02
4.877164e+01	1.060510e-02
4.899975e+01	1.061090e-02
4.923116e+01	1.061410e-02
4.945625e+01	1.061720e-02
4.968311e+01	1.061800e-02
4.990843e+01	1.062050e-02
5.013930e+01	1.062840e-02
5.037096e+01	1.063060e-02
5.059307e+01	1.063430e-02
5.082082e+01	1.064010e-02
5.104904e+01	1.064080e-02
5.127543e+01	1.064290e-02
5.151163e+01	1.064270e-02
5.173696e+01	1.064880e-02
5.196281e+01	1.065220e-02
5.219744e+01	1.065450e-02
5.242222e+01	1.066030e-02
5.265166e+01	1.066570e-02
5.288397e+01	1.066500e-02
5.310889e+01	1.067060e-02
5.334113e+01	1.067400e-02
5.356612e+01	1.067490e-02
5.379493e+01	1.067980e-02
5.402487e+01	1.068210e-02
5.425797e+01	1.068570e-02
5.448309e+01	1.068630e-02
5.471167e+01	1.069090e-02
5.494115e+01	1.069580e-02
5.516816e+01	1.070000e-02
5.541897e+01	1.070290e-02
5.564885e+01	1.070930e-02
5.587536e+01	1.071300e-02
5.610306e+01	1.071510e-02
5.633005e+01	1.071890e-02
5.656506e+01	1.072480e-02
5.680857e+01	1.072950e-02
5.703430e+01	1.073520e-02
5.726302e+01	1.073590e-02
5.749094e+01	1.073830e-02
5.771706e+01	1.073840e-02
5.794992e+01	1.074240e-02
5.817342e+01	1.074470e-02
5.840389e+01	1.074700e-02
5.862999e+01	1.075460e-02
5.886308e+01	1.075540e-02
5.909103e+01	1.075670e-02
5.931969e+01	1.076030e-02
5.955083e+01	1.076250e-02
