====== H (10) into Layer 1                      =======
        SRIM-2013.00
==================================================
      ION and final RECOIL ATOM Distributions     
 See  SRIM Outputs\TDATA.txt for calculation details
==================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
----------------------------------------------------------------
  There are NO RECOILS unless a full TRIM calculation is made.   
----------------------------------------------------------------
See file :  SRIM Outputs\TDATA.txt   for details of calculation
 Ion    =  H   Energy = 10000  keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     2.E+07 A   Layer # 1- Density = 9.695E22 atoms/cm3 = 1.059 g/cm3
  Layer # 1-  C = 50.6 Atomic Percent = 92.4 Mass Percent
  Layer # 1-  H = 49.3 Atomic Percent = 7.56 Mass Percent
====================================================================
 Total Ions calculated =500.00
 Ion Average Range =   116.1E+05 A   Straggling =   168.7E+03 A
 Ion Lateral Range =   163.9E+03 A   Straggling =   310.3E+03 A
 Ion Radial  Range =   247.6E+03 A   Straggling =   281.1E+03 A
====================================================================
 Range Skewne- = -003.0244  &= [-(X-Rp)^3]/[N*Straggle^3]
 Range Kurtosis = 036.9409  &= [-(X-Rp)^4]/[N*Straggle^4]
 Statistical definitions above are those used in VLSI implant modelling.
====================================================================
=================================================================
  Table Distribution Units are >>>  (Atoms/cm3) / (Atoms/cm2)  <<<  
=================================================================
   DEPTH          H       Recoil     
   (Ang.)       Ions     Distribution
-----------  ----------  ------------
200000.E+00  0.0000E+00  0.0000E+00
400000.E+00  0.0000E+00  0.0000E+00
600000.E+00  0.0000E+00  0.0000E+00
800000.E+00  0.0000E+00  0.0000E+00
100000.E+01  0.0000E+00  0.0000E+00
120000.E+01  0.0000E+00  0.0000E+00
140000.E+01  0.0000E+00  0.0000E+00
160000.E+01  0.0000E+00  0.0000E+00
180000.E+01  0.0000E+00  0.0000E+00
200000.E+01  0.0000E+00  0.0000E+00
220000.E+01  0.0000E+00  0.0000E+00
240000.E+01  0.0000E+00  0.0000E+00
260000.E+01  0.0000E+00  0.0000E+00
280000.E+01  0.0000E+00  0.0000E+00
300000.E+01  0.0000E+00  0.0000E+00
320000.E+01  0.0000E+00  0.0000E+00
340000.E+01  0.0000E+00  0.0000E+00
360000.E+01  0.0000E+00  0.0000E+00
380000.E+01  0.0000E+00  0.0000E+00
400000.E+01  0.0000E+00  0.0000E+00
420000.E+01  0.0000E+00  0.0000E+00
440000.E+01  0.0000E+00  0.0000E+00
460000.E+01  0.0000E+00  0.0000E+00
480000.E+01  0.0000E+00  0.0000E+00
500000.E+01  0.0000E+00  0.0000E+00
520000.E+01  0.0000E+00  0.0000E+00
540000.E+01  0.0000E+00  0.0000E+00
560000.E+01  0.0000E+00  0.0000E+00
580000.E+01  0.0000E+00  0.0000E+00
