Pos [°2Th]	Iobs [cts]
199973	0
200233	-850352
200493	83230
200753	-131623
201013	66146
201273	-314053
201533	-107580
201793	-557447
202053	99405
202313	677886
202573	157669
202833	553921
203093	-415761
203353	1416738
203613	174468
203873	-196515
204133	518428
204393	-52979
204653	201620
204913	1144810
205173	498481
205433	926866
205693	348466
205953	-4358
206213	-78364
206473	-27145
206733	-128361
206993	93934
207253	257977
207513	-163147
207773	-433131
208033	-399983
208293	295418
208553	519598
208813	-449464
209073	-247174
209333	-205121
209593	-200802
209853	-17525
210113	664878
210373	1370740
210633	803426
210893	412069
211153	639370
211413	162390
211673	494936
211933	350164
212193	-145742
212453	-54913
212713	115136
212973	463129
213233	258713
213493	-325749
213753	-321026
214013	193265
214273	37842
214533	-269854
214793	108301
215053	123860
215313	-261353
215573	-621104
215833	-409099
216093	505568
216353	396582
216613	-481990
216873	606334
217133	658429
217393	67884
217653	-184666
217913	126495
218173	-19375
218433	-57129
218693	75899
218953	122256
219213	-93762
219473	-440785
219733	-54047
219993	984286
220253	272161
220513	190609
220773	-90685
221033	10247
221293	228570
221553	-45273
221813	-540649
222073	-410238
222333	220742
222593	608306
222853	-567370
223113	-2704
223373	33097
223633	353057
223893	936510
224153	734014
224413	504597
224673	-278270
224933	821673
225193	-111628
225453	-252647
225713	-305117
225973	1323084
226233	1526938
226493	940436
226753	792334
227013	-204191
227273	493161
227533	221032
227793	907658
228053	647045
228313	806578
228573	1267552
228833	188537
229093	-489707
229353	-413237
229613	369387
229873	1183283
230133	719815
230393	1058017
230653	724910
230913	471820
231173	-288456
231433	315657
231693	-45948
231953	309903
232213	749822
232473	-153506
232733	-909777
232993	596326
233253	-50752
233513	352212
233773	121559
234033	883963
234293	858170
234553	245779
234813	507048
235073	270506
235333	438780
235593	272632
235853	969610
236113	1347953
236373	1312308
236633	1319240
236893	1586973
237153	2058563
237413	1927902
237673	2262848
237933	2688556
238193	3244593
238453	3984264
238713	4114965
238973	5004954
239233	5836647
239493	5937877
239753	7365842
240013	8747780
240273	9711698
240533	11367100
240793	12180010
241053	12833390
241313	13770460
241573	15042060
241833	16760280
242093	17884240
242353	19529730
242613	20459400
242873	21538400
243133	23122880
243393	23303390
243653	23800760
243913	24850360
244173	25287360
244433	25504420
244693	24222220
244953	22318450
245213	22380480
245473	22140320
245733	20633590
245993	20376020
246253	19902480
246513	19362240
246773	17026310
247033	16969310
247293	18001100
247553	16922500
247813	18482700
248073	19463270
248333	18601170
248593	19236060
248853	20966680
249113	22033760
249373	23017770
249633	23184900
249893	23583240
250153	24784790
250413	23831510
250673	25010320
250933	25141760
251193	21961940
251453	21881060
251713	20016130
251973	18205190
252233	16760640
252493	14420270
252753	12316450
253013	11277370
253273	8592334
253533	7976030
253793	6768552
254053	5957772
254313	4589828
254573	4124813
254833	3962391
255093	3229214
255353	1902314
255613	2389334
255873	2009693
256133	947429
256393	1173719
256653	1074700
256913	791887
257173	525449
257433	395079
257693	1162987
257953	-126465
258213	456840
258473	187830
258733	428236
258993	309122
259253	381453
259513	486181
259773	281397
260033	298824
260293	173803
260553	-624190
260813	-368342
261073	-10432
261333	-364833
261593	-697403
261853	-579657
262113	188958
262373	-118869
262633	366864
262893	410280
263153	584476
263413	485434
263673	-129769
263933	-49644
264193	258606
264453	146849
264713	-180884
264973	-138743
265233	321428
265493	517633
265753	762189
266013	606713
266273	396090
266533	856139
266793	910325
267053	896939
267313	289758
267573	-80251
267833	1492594
268093	2923496
268353	2989148
268613	2757276
268873	2537143
269133	2070549
269393	2544349
269653	2729997
269913	3164968
270173	3254875
270433	3125312
270693	3454780
270953	3973415
271213	3998628
271473	4565835
271733	5109523
271993	5559745
272253	6037916
272513	7298786
272773	7674960
273033	7931627
273293	8869870
273553	10591430
273813	11868730
274073	13199700
274333	13855070
274593	14109880
274853	17706920
275113	20521100
275373	23015490
275633	25383700
275893	29361350
276153	33931160
276413	36670910
276673	40417910
276933	45647540
277193	50929360
277453	57801260
277713	63104570
277973	68085390
278233	71603650
278493	75632060
278753	80301700
279013	80613920
279273	81522490
279533	80147520
279793	76792680
280053	72914190
280313	69981380
280573	64852830
280833	59225600
281093	54311750
281353	47825750
281613	41427910
281873	36023710
282133	32337500
282393	28249780
282653	24649520
282913	21600980
283173	18276170
283433	16595820
283693	14549000
283953	12262200
284213	10758740
284473	9510802
284733	8597201
284993	7604239
285253	6174820
285513	5873346
285773	5278772
286033	3821179
286293	3255311
286553	2946635
286813	3694276
287073	3513553
287333	2746991
287593	3212267
287853	3115178
288113	2562766
288373	1323278
288633	1377987
288893	1232082
289153	1028298
289413	625894
289673	91527
289933	563719
290193	748101
290453	589427
290713	39539
290973	-437402
291233	33591
291493	401563
291753	420751
292013	231235
292273	2603
292533	168533
292793	-35196
293053	-150164
293313	503978
293573	405121
293833	-359340
294093	-440153
294353	-84488
294613	-12275
294873	21701
295133	225098
295393	-128645
295653	-92599
295913	-92262
296173	181550
296433	106540
296693	-154486
296953	425784
297213	210545
297473	105371
297733	-66768
297993	238174
298253	-343761
298513	-157683
298773	-329237
299033	-240884
299293	156882
299553	614932
299813	22768
300073	-410487
300333	170975
300593	189129
300853	-182029
301113	208077
301373	119452
301633	-91738
301893	-349579
302153	437338
302413	323177
302673	610224
302933	-218008
303193	-466294
303453	268980
303713	777229
303973	632382
304233	453149
304493	143540
304753	293355
305013	-41327
305273	330647
305533	223046
305793	442754
306053	6208
306313	-566252
306573	-119354
306833	-158852
307093	-386531
307353	103981
307613	514114
307873	131219
308133	726396
308393	-310173
308653	453319
308913	294309
309173	97349
309433	-580533
309693	699185
309953	229466
310213	388560
310473	933404
310733	629479
310993	95630
311253	78551
311513	44095
311773	367138
312033	-340102
312293	150758
312553	94223
312813	-210114
313073	-43519
313333	581307
313593	-92083
313853	40986
314113	42051
314373	74086
314633	100891
314893	-18484
315153	-173468
315413	-232375
315673	-239324
315933	-12006
316193	475673
316453	569229
316713	104584
316973	140427
317233	-165195
317493	-458386
317753	-593767
318013	-538617
318273	21316
318533	275705
318793	117061
319053	-323173
319313	-181427
319573	231272
319833	294362
320093	489818
320353	532777
