nm, A
700.000000, 0.645251
699.000000, 0.646324
698.000000, 0.647291
697.000000, 0.648213
696.000000, 0.649240
695.000000, 0.650226
694.000000, 0.651275
693.000000, 0.652199
692.000000, 0.653364
691.000000, 0.654266
690.000000, 0.655323
689.000000, 0.656312
688.000000, 0.657379
687.000000, 0.658401
686.000000, 0.659449
685.000000, 0.660480
684.000000, 0.661539
683.000000, 0.662472
682.000000, 0.663510
681.000000, 0.664597
680.000000, 0.665671
679.000000, 0.666748
678.000000, 0.667792
677.000000, 0.668966
676.000000, 0.670048
675.000000, 0.671109
674.000000, 0.672135
673.000000, 0.673279
672.000000, 0.674347
671.000000, 0.675393
670.000000, 0.676421
669.000000, 0.677571
668.000000, 0.678593
667.000000, 0.679652
666.000000, 0.680783
665.000000, 0.681852
664.000000, 0.682896
663.000000, 0.684089
662.000000, 0.685296
661.000000, 0.686327
660.000000, 0.687438
659.000000, 0.688503
658.000000, 0.689726
657.000000, 0.690867
656.000000, 0.692017
655.000000, 0.693180
654.000000, 0.694297
653.000000, 0.695570
652.000000, 0.696678
651.000000, 0.697911
650.000000, 0.699105
649.000000, 0.700302
648.000000, 0.701558
647.000000, 0.702763
646.000000, 0.703924
645.000000, 0.705232
644.000000, 0.706407
643.000000, 0.707619
642.000000, 0.708838
641.000000, 0.710025
640.000000, 0.711324
639.000000, 0.712527
638.000000, 0.713867
637.000000, 0.715084
636.000000, 0.716302
635.000000, 0.717645
634.000000, 0.718859
633.000000, 0.720181
632.000000, 0.721484
631.000000, 0.722803
630.000000, 0.724122
629.000000, 0.725439
628.000000, 0.726670
627.000000, 0.728030
626.000000, 0.729367
625.000000, 0.730572
624.000000, 0.732047
623.000000, 0.733358
622.000000, 0.734844
621.000000, 0.736115
620.000000, 0.737509
619.000000, 0.738846
618.000000, 0.740343
617.000000, 0.741752
616.000000, 0.743173
615.000000, 0.744684
614.000000, 0.746109
613.000000, 0.747530
612.000000, 0.748932
611.000000, 0.750316
610.000000, 0.751826
609.000000, 0.753407
608.000000, 0.754868
607.000000, 0.756335
