	blanco	PS 260:265-510	Cef3 5 260:265-510	Cef3 10 260:265-510	Naf 5 260:265-510	Naf 10 260:265-510	Naf 15 260:265-510	Naf 20 260:265-510	Emcorri	WG280 %T
265	360.034	416.714	396.71	443.385	386.707	520.072	313.36	426.715	4.93484	3.882861137
266	600.095	446.724	433.384	396.709	336.697	450.054	450.055	443.386	5.547325	4.890387058
267	520.072	380.039	476.727	396.71	433.388	300.024	493.398	396.709	6.15981	5.867950439
268	470.059	296.691	330.029	456.723	420.05	360.034	473.394	320.027	5.481575	6.828295231
269	420.047	346.702	316.693	326.696	450.054	390.04	403.376	320.028	4.80334	8.324011803
270	330.029	303.358	380.039	463.391	430.05	330.029	436.717	423.381	4.49386	9.860377312
271	360.034	380.039	360.035	416.713	346.699	520.072	376.706	366.703	4.18438	11.53734875
272	380.038	366.703	406.712	306.692	456.724	300.024	406.712	420.049	4.371635	13.2042141
273	380.038	323.361	356.702	440.051	350.033	240.015	356.701	410.045	4.55889	14.85483932
274	240.015	426.716	403.378	286.689	396.711	390.04	360.036	403.377	4.31687	17.20119095
275	520.072	376.707	370.037	326.695	366.703	470.059	330.029	463.394	4.208185361	19.40528297
276	490.064	323.362	303.358	320.028	453.39	450.054	376.705	376.707	4.401569581	21.73467064
277	530.074	293.357	340.031	350.033	373.371	290.022	423.384	336.697	4.366415368	24.19181824
278	520.072	320.027	333.366	383.373	326.695	470.059	403.377	363.369	4.031093334	26.39494896
279	480.061	363.37	330.03	270.02	340.031	600.095	460.057	466.725	3.802248839	29.03180504
280	390.04	310.026	406.711	336.697	353.367	450.054	420.048	396.709	3.71347234	31.96199036
281	380.038	333.363	280.022	310.026	330.03	340.031	403.378	423.381	3.835671348	34.88673782
282	300.024	430.049	343.366	276.688	350.034	460.056	346.701	313.359	3.895643428	37.53077698
283	370.036	336.698	366.703	383.373	346.7	420.047	346.7	390.04	3.926206329	39.91796494
284	460.056	313.36	346.699	363.368	463.391	490.064	293.357	333.364	3.848215963	42.4909935
285	370.036	373.371	390.042	256.685	386.708	330.029	396.709	390.041	3.746548057	45.40718079
286	500.066	320.028	346.701	376.704	343.365	230.014	370.037	403.377	3.547659729	48.12622452
