ps excitado a 230 los demas a 259								
								
								
								
8								
4096								
PS 5%naf DeltaDiode:329.9964(2)	PS 5%naf DeltaDiode:329.9964(2)	Pulso DeltaDiode:259.9963	PS DeltaDiode:329.9964(2)	5 Cef3 DeltaDiode:329.9964(2)	10 CeF3 DeltaDiode:329.9964(2)	10 NF DeltaDiode:329.9964(2)	15 NF DeltaDiode:329.9964(2)	20 NF DeltaDiode:329.9964(2)
X	Y	Y	Y	Y	Y	Y	Y	Y
0	9	0	11	10	8	7	5	6
0.206838608	7	0	6	2	11	10	7	9
0.413677216	6	0	4	3	5	9	9	12
0.6205158	5	0	4	8	14	9	9	8
0.827354431	12	0	4	6	9	9	11	3
1.034193	9	1	3	7	9	16	8	10
1.24103165	6	0	4	6	7	14	8	8
1.44787025	14	0	6	4	7	9	6	8
1.65470886	9	1	8	5	9	11	5	8
1.86154747	8	0	6	4	7	9	10	6
2.068386	12	0	5	6	4	9	8	8
2.27522469	9	0	4	2	5	7	6	6
2.48206329	10	0	5	6	5	12	6	7
2.688902	7	0	2	8	10	8	10	4
2.89574051	10	0	7	5	8	14	9	5
3.102579	11	0	0	2	3	10	6	6
3.30941772	9	0	4	7	5	8	6	7
3.51625633	7	1	3	1	4	8	7	11
3.723095	3	1	6	6	7	6	8	9
3.92993355	5	0	7	5	4	6	15	5
4.136772	13	0	5	4	9	9	11	8
4.343611	12	0	8	6	10	8	3	9
4.55044937	9	0	7	6	9	10	6	10
4.757288	13	0	9	8	6	4	4	5
4.96412659	7	0	7	9	9	9	6	7
5.170965	4	1	4	3	8	7	11	5
5.377804	12	0	9	7	8	8	8	13
5.58464241	12	0	6	8	6	10	7	13
5.791481	11	0	9	3	7	5	11	9
5.99831963	7	1	6	7	6	11	7	12
6.205158	5	0	4	9	7	4	9	10
6.411997	11	0	7	8	8	8	7	7
6.61883545	4	0	11	10	5	7	8	10
6.825674	11	0	7	8	8	1	9	9
7.03251266	7	0	2	9	4	8	11	16
7.23935127	8	2	7	12	6	5	9	10
7.44619	6	0	4	8	8	15	9	13
7.65302849	8	0	5	7	9	17	7	6
7.859867	10	0	7	6	5	13	6	11
8.066706	5	0	7	6	4	8	6	9
8.273544	9	1	7	3	6	9	7	7
8.480383	12	0	9	6	5	4	11	9
8.687222	9	0	10	11	4	7	12	7
8.89406	5	0	4	9	10	13	14	7
9.100899	13	0	9	5	6	9	14	7
9.307737	8	0	8	7	8	7	7	8
9.514576	11	0	3	9	12	7	12	13
9.721415	7	1	5	3	7	4	8	9
9.928253	14	0	5	8	10	9	8	9
10.1350918	13	1	5	7	2	12	5	7
10.34193	13	1	4	5	9	6	5	10
10.548769	10	0	3	8	7	10	8	9
10.7556076	6	0	5	6	10	4	7	7
10.9624462	8	0	4	6	9	8	14	5
11.1692848	10	0	6	8	8	4	7	4
11.3761234	6	0	8	3	7	3	7	5
11.582962	6	0	6	9	7	9	8	11
11.7898006	12	0	1	6	9	7	7	9
11.9966393	5	0	8	8	8	5	7	5
12.2034779	2	0	11	2	12	9	14	10
12.4103165	8	2	5	7	10	5	10	12
12.6171551	8	1	3	6	9	13	13	10
12.8239937	6	0	4	7	5	3	7	11
