nm, A
700.000000, 0.571899
699.000000, 0.573068
698.000000, 0.574038
697.000000, 0.575116
696.000000, 0.576226
695.000000, 0.577265
694.000000, 0.578442
693.000000, 0.579403
692.000000, 0.580469
691.000000, 0.581611
690.000000, 0.582760
689.000000, 0.583888
688.000000, 0.584893
687.000000, 0.586107
686.000000, 0.587311
685.000000, 0.588338
684.000000, 0.589510
683.000000, 0.590973
682.000000, 0.592489
681.000000, 0.593712
680.000000, 0.594757
679.000000, 0.595973
678.000000, 0.597189
677.000000, 0.598225
676.000000, 0.599488
675.000000, 0.600644
674.000000, 0.601780
673.000000, 0.602972
672.000000, 0.603914
671.000000, 0.605068
670.000000, 0.606309
669.000000, 0.607515
668.000000, 0.608517
667.000000, 0.609662
666.000000, 0.610869
665.000000, 0.612020
664.000000, 0.613189
663.000000, 0.614314
662.000000, 0.615598
661.000000, 0.616857
660.000000, 0.617922
659.000000, 0.619244
658.000000, 0.620383
657.000000, 0.621591
656.000000, 0.622891
655.000000, 0.624087
654.000000, 0.625340
653.000000, 0.626652
652.000000, 0.627780
651.000000, 0.629102
650.000000, 0.630383
649.000000, 0.631574
648.000000, 0.632999
647.000000, 0.634273
646.000000, 0.635624
645.000000, 0.636864
644.000000, 0.638184
643.000000, 0.639467
642.000000, 0.640864
641.000000, 0.642072
640.000000, 0.643481
639.000000, 0.644726
638.000000, 0.646153
637.000000, 0.647410
636.000000, 0.648752
635.000000, 0.650107
634.000000, 0.651553
633.000000, 0.652771
632.000000, 0.654247
631.000000, 0.655704
630.000000, 0.657070
629.000000, 0.658413
628.000000, 0.659788
627.000000, 0.661160
626.000000, 0.662648
625.000000, 0.664064
624.000000, 0.665514
623.000000, 0.666917
622.000000, 0.668361
621.000000, 0.669894
620.000000, 0.671257
619.000000, 0.672805
618.000000, 0.674191
617.000000, 0.675644
616.000000, 0.677135
615.000000, 0.678638
614.000000, 0.680164
613.000000, 0.681694
612.000000, 0.683246
611.000000, 0.684721
610.000000, 0.686341
609.000000, 0.687726
608.000000, 0.689404
607.000000, 0.691000
606.000000, 0.692523
605.000000, 0.694082
604.000000, 0.695762
603.000000, 0.697313
602.000000, 0.698926
601.000000, 0.700514
600.000000, 0.702259
599.000000, 0.703876
598.000000, 0.705528
597.000000, 0.707159
596.000000, 0.709030
595.000000, 0.710781
594.000000, 0.712587
593.000000, 0.714350
592.000000, 0.716156
591.000000, 0.718007
590.000000, 0.719826
589.000000, 0.721648
588.000000, 0.723572
587.000000, 0.725269
586.000000, 0.727060
585.000000, 0.728843
584.000000, 0.730436
583.000000, 0.732148
582.000000, 0.733819
581.000000, 0.735432
580.000000, 0.736996
579.000000, 0.738606
578.000000, 0.740140
577.000000, 0.741709
576.000000, 0.743402
575.000000, 0.744997
574.000000, 0.746706
573.000000, 0.748395
572.000000, 0.750002
571.000000, 0.751533
570.000000, 0.753290
569.000000, 0.755063
568.000000, 0.756690
567.000000, 0.758452
566.000000, 0.760290
565.000000, 0.762050
564.000000, 0.763784
563.000000, 0.765496
562.000000, 0.767339
561.000000, 0.769205
560.000000, 0.770991
559.000000, 0.772789
558.000000, 0.774950
557.000000, 0.776935
556.000000, 0.778840
555.000000, 0.780765
554.000000, 0.782677
553.000000, 0.784555
552.000000, 0.786499
551.000000, 0.788521
550.000000, 0.790400
549.000000, 0.792333
548.000000, 0.794334
547.000000, 0.796277
546.000000, 0.798292
545.000000, 0.800359
544.000000, 0.802369
543.000000, 0.804549
542.000000, 0.806695
541.000000, 0.808830
540.000000, 0.810926
539.000000, 0.813110
538.000000, 0.815267
537.000000, 0.817400
536.000000, 0.819537
535.000000, 0.821733
534.000000, 0.823989
533.000000, 0.826226
532.000000, 0.828486
531.000000, 0.830690
530.000000, 0.832913
529.000000, 0.835163
528.000000, 0.837482
527.000000, 0.839764
526.000000, 0.842134
525.000000, 0.844441
524.000000, 0.846707
523.000000, 0.849100
522.000000, 0.851330
521.000000, 0.853786
520.000000, 0.856259
519.000000, 0.858597
518.000000, 0.861132
517.000000, 0.863563
516.000000, 0.866013
515.000000, 0.868558
514.000000, 0.871087
513.000000, 0.873561
512.000000, 0.876144
511.000000, 0.878560
510.000000, 0.881194
509.000000, 0.883776
508.000000, 0.886355
507.000000, 0.888920
506.000000, 0.891538
505.000000, 0.894258
504.000000, 0.896902
503.000000, 0.899599
502.000000, 0.902162
501.000000, 0.905001
500.000000, 0.907675
499.000000, 0.910521
498.000000, 0.913353
497.000000, 0.916080
496.000000, 0.918959
495.000000, 0.921608
494.000000, 0.924468
493.000000, 0.927338
492.000000, 0.930148
491.000000, 0.933099
490.000000, 0.936000
489.000000, 0.939048
488.000000, 0.941995
487.000000, 0.944997
486.000000, 0.948012
485.000000, 0.950913
484.000000, 0.954133
483.000000, 0.957062
482.000000, 0.960186
481.000000, 0.963371
480.000000, 0.966448
479.000000, 0.969568
478.000000, 0.972743
477.000000, 0.975740
476.000000, 0.978937
475.000000, 0.982314
474.000000, 0.985377
473.000000, 0.988592
472.000000, 0.991921
471.000000, 0.995198
470.000000, 0.998439
469.000000, 1.001740
468.000000, 1.005007
467.000000, 1.008253
466.000000, 1.011768
465.000000, 1.014986
464.000000, 1.018192
463.000000, 1.021745
462.000000, 1.025008
461.000000, 1.028416
460.000000, 1.031843
459.000000, 1.035259
458.000000, 1.038738
457.000000, 1.042343
456.000000, 1.045852
455.000000, 1.049254
454.000000, 1.052811
453.000000, 1.056357
452.000000, 1.059873
451.000000, 1.063568
450.000000, 1.067255
449.000000, 1.071058
448.000000, 1.074699
447.000000, 1.078476
446.000000, 1.082370
445.000000, 1.086116
444.000000, 1.089881
443.000000, 1.093642
442.000000, 1.097686
441.000000, 1.101798
440.000000, 1.105742
439.000000, 1.109676
438.000000, 1.113619
437.000000, 1.117786
436.000000, 1.121763
435.000000, 1.125606
434.000000, 1.129927
433.000000, 1.134061
432.000000, 1.138123
431.000000, 1.142252
430.000000, 1.146141
429.000000, 1.150809
428.000000, 1.155117
427.000000, 1.159482
426.000000, 1.163910
425.000000, 1.168356
424.000000, 1.173061
423.000000, 1.177323
422.000000, 1.181721
421.000000, 1.185001
420.000000, 1.189458
419.000000, 1.194074
418.000000, 1.198715
417.000000, 1.203464
416.000000, 1.208083
415.000000, 1.212829
414.000000, 1.217748
413.000000, 1.222697
412.000000, 1.227456
411.000000, 1.232398
410.000000, 1.237430
409.000000, 1.242631
408.000000, 1.247309
407.000000, 1.252630
406.000000, 1.257881
405.000000, 1.263102
404.000000, 1.268253
403.000000, 1.273202
402.000000, 1.278887
401.000000, 1.284173
400.000000, 1.289661
399.000000, 1.295046
398.000000, 1.300679
397.000000, 1.306339
396.000000, 1.311959
395.000000, 1.317346
394.000000, 1.323500
393.000000, 1.329623
392.000000, 1.335433
391.000000, 1.341216
390.000000, 1.347290
389.000000, 1.353352
388.000000, 1.359846
387.000000, 1.365621
386.000000, 1.372704
385.000000, 1.379468
384.000000, 1.389247
383.000000, 1.394956
382.000000, 1.408210
381.000000, 1.408723
380.000000, 1.412063
379.000000, 1.410895
378.000000, 1.426497
377.000000, 1.440182
376.000000, 1.442705
375.000000, 1.451880
374.000000, 1.466407
373.000000, 1.473086
372.000000, 1.482479
371.000000, 1.479554
370.000000, 1.501137
369.000000, 1.506973
368.000000, 1.511756
367.000000, 1.518581
366.000000, 1.530526
365.000000, 1.540816
364.000000, 1.547959
363.000000, 1.550415
362.000000, 1.562492
361.000000, 1.573956
360.000000, 1.581226
359.000000, 1.595767
358.000000, 1.604596
357.000000, 1.616118
356.000000, 1.621191
355.000000, 1.619061
354.000000, 1.636611
353.000000, 1.646475
352.000000, 1.658670
351.000000, 1.675985
350.000000, 1.679577
349.000000, 1.684929
348.000000, 1.701898
347.000000, 1.688897
346.000000, 1.716986
345.000000, 1.730098
344.000000, 1.740477
343.000000, 1.738554
342.000000, 1.764218
341.000000, 1.760192
340.000000, 1.773213
339.000000, 1.776657
338.000000, 1.810515
337.000000, 1.826554
336.000000, 1.830489
335.000000, 1.858236
334.000000, 1.843106
333.000000, 1.863802
332.000000, 1.891950
331.000000, 1.843675
330.000000, 1.891784
329.000000, 1.926400
328.000000, 1.913156
327.000000, 1.950715
326.000000, 1.964591
325.000000, 1.969413
324.000000, 1.987554
323.000000, 1.994417
322.000000, 2.013498
321.000000, 2.027207
320.000000, 2.038108
319.000000, 2.055402
318.000000, 2.070660
317.000000, 2.090886
316.000000, 2.107113
315.000000, 2.118749
314.000000, 2.143296
313.000000, 2.173090
312.000000, 2.192965
311.000000, 2.198300
310.000000, 2.205062
309.000000, 2.224416
308.000000, 2.246854
307.000000, 2.269022
306.000000, 2.295655
305.000000, 2.319610
304.000000, 2.347634
303.000000, 2.384705
302.000000, 2.418553
301.000000, 2.442400
300.000000, 2.484938
299.000000, 2.533674
298.000000, 2.613716
297.000000, 2.686611
296.000000, 2.805358
295.000000, 2.957847
294.000000, 3.041502
293.000000, 3.208269
292.000000, 3.360905
291.000000, 3.434296
290.000000, 3.508715
289.000000, 3.582232
288.000000, 3.691372
287.000000, 3.508340
286.000000, 3.690947
285.000000, 3.837062
284.000000, 3.971786
283.000000, 3.711976
282.000000, 3.711929
281.000000, 3.836953
280.000000, 3.808835
279.000000, 3.898877
278.000000, 3.933740
277.000000, 3.757813
276.000000, 3.836982
275.000000, 3.598163
274.000000, 3.757822
273.000000, 3.867143
272.000000, 3.809320
271.000000, 3.867337
270.000000, 3.734918
269.000000, 3.837626
268.000000, 3.691637
267.000000, 3.735191
266.000000, 3.735427
265.000000, 3.810115
264.000000, 3.838169
263.000000, 3.759076
262.000000, 3.868266
261.000000, 3.810275
260.000000, 3.868418
259.000000, 3.713512
258.000000, 3.973250
257.000000, 3.810455
256.000000, 3.900678
255.000000, 4.014739
254.000000, 3.973405
253.000000, 3.900766
252.000000, 4.014777
251.000000, 3.784185
250.000000, 4.014550
249.000000, 4.060320
248.000000, 4.111599
247.000000, 4.111649
246.000000, 4.111829
245.000000, 3.935919
244.000000, 4.112106
243.000000, 3.973971
242.000000, 3.974072
241.000000, 4.015666
240.000000, 4.170656
239.000000, 4.061729
238.000000, 4.113028
237.000000, 4.113145
236.000000, 4.016398
235.000000, 4.016528
234.000000, 3.975361
233.000000, 3.975603
232.000000, 3.937977
231.000000, 3.903545
230.000000, 3.976500
229.000000, 3.904453
228.000000, 3.905003
227.000000, 3.843648
226.000000, 3.979118
225.000000, 3.980086
224.000000, 3.943272
223.000000, 4.023425
222.000000, 3.910284
221.000000, 4.179609
220.000000, 4.024912
219.000000, 3.848915
218.000000, 4.024912
217.000000, 4.121995
216.000000, 4.025027
215.000000, 4.025162
214.000000, 4.122261
213.000000, 3.984372
212.000000, 3.984617
211.000000, 3.880017
210.000000, 4.026464
209.000000, 4.072952
208.000000, 4.027545
207.000000, 4.073470
206.000000, 3.986670
205.000000, 4.029221
204.000000, 3.950592
203.000000, 3.826253
202.000000, 3.952138
201.000000, 4.032949
200.000000, 3.954247
