nm, A
700.000000, 0.550869
699.000000, 0.551896
698.000000, 0.552952
697.000000, 0.553916
696.000000, 0.554953
695.000000, 0.556065
694.000000, 0.557082
693.000000, 0.558175
692.000000, 0.559153
691.000000, 0.560380
690.000000, 0.561454
689.000000, 0.562609
688.000000, 0.563659
687.000000, 0.564751
686.000000, 0.565893
685.000000, 0.566994
684.000000, 0.568236
683.000000, 0.569454
682.000000, 0.570740
681.000000, 0.571896
680.000000, 0.573091
679.000000, 0.574333
678.000000, 0.575500
677.000000, 0.576671
676.000000, 0.577916
675.000000, 0.579023
674.000000, 0.580128
673.000000, 0.581211
672.000000, 0.582237
671.000000, 0.583347
670.000000, 0.584450
669.000000, 0.585517
668.000000, 0.586554
667.000000, 0.587653
666.000000, 0.588784
665.000000, 0.589829
664.000000, 0.590917
663.000000, 0.592107
662.000000, 0.593277
661.000000, 0.594439
660.000000, 0.595667
659.000000, 0.596844
658.000000, 0.597996
657.000000, 0.599172
656.000000, 0.600387
655.000000, 0.601613
654.000000, 0.602931
653.000000, 0.604154
652.000000, 0.605364
651.000000, 0.606618
650.000000, 0.607944
649.000000, 0.609231
648.000000, 0.610518
647.000000, 0.611805
646.000000, 0.613084
645.000000, 0.614404
644.000000, 0.615739
643.000000, 0.616953
642.000000, 0.618362
641.000000, 0.619668
640.000000, 0.621021
639.000000, 0.622283
638.000000, 0.623705
637.000000, 0.624909
636.000000, 0.626317
635.000000, 0.627668
634.000000, 0.629026
633.000000, 0.630263
632.000000, 0.631784
631.000000, 0.633082
630.000000, 0.634514
629.000000, 0.635906
628.000000, 0.637297
627.000000, 0.638632
626.000000, 0.640147
625.000000, 0.641580
624.000000, 0.643058
623.000000, 0.644584
622.000000, 0.645932
621.000000, 0.647513
620.000000, 0.648982
619.000000, 0.650381
618.000000, 0.652016
617.000000, 0.653357
616.000000, 0.654970
615.000000, 0.656579
614.000000, 0.658062
613.000000, 0.659606
612.000000, 0.661227
611.000000, 0.662756
610.000000, 0.664294
609.000000, 0.665755
608.000000, 0.667369
607.000000, 0.668960
606.000000, 0.670630
605.000000, 0.672184
604.000000, 0.673764
603.000000, 0.675351
602.000000, 0.677109
601.000000, 0.678613
600.000000, 0.680254
599.000000, 0.681959
598.000000, 0.683543
597.000000, 0.685319
596.000000, 0.686936
595.000000, 0.688530
594.000000, 0.690253
593.000000, 0.691895
592.000000, 0.693610
591.000000, 0.695351
590.000000, 0.697073
589.000000, 0.698698
588.000000, 0.700377
587.000000, 0.701914
586.000000, 0.703703
585.000000, 0.705359
584.000000, 0.707079
583.000000, 0.708794
582.000000, 0.710553
581.000000, 0.712342
580.000000, 0.714088
579.000000, 0.715862
578.000000, 0.717669
577.000000, 0.719607
576.000000, 0.721450
575.000000, 0.723316
574.000000, 0.725167
573.000000, 0.727045
572.000000, 0.728805
571.000000, 0.730712
570.000000, 0.732644
569.000000, 0.734486
568.000000, 0.736344
567.000000, 0.738132
566.000000, 0.740128
565.000000, 0.742009
564.000000, 0.743958
563.000000, 0.745751
562.000000, 0.747622
561.000000, 0.749618
560.000000, 0.751480
559.000000, 0.753449
558.000000, 0.755779
557.000000, 0.757909
556.000000, 0.759994
555.000000, 0.761841
554.000000, 0.763770
553.000000, 0.765953
552.000000, 0.767842
551.000000, 0.769783
550.000000, 0.772118
549.000000, 0.773976
548.000000, 0.776047
547.000000, 0.778038
546.000000, 0.780244
545.000000, 0.782332
544.000000, 0.784435
543.000000, 0.786531
542.000000, 0.788765
541.000000, 0.790941
540.000000, 0.793178
539.000000, 0.795404
538.000000, 0.797524
537.000000, 0.799903
536.000000, 0.802007
535.000000, 0.804273
534.000000, 0.806622
533.000000, 0.808875
532.000000, 0.811283
531.000000, 0.813455
530.000000, 0.815910
529.000000, 0.818232
528.000000, 0.820598
527.000000, 0.822981
526.000000, 0.825369
525.000000, 0.827779
524.000000, 0.830153
523.000000, 0.832485
522.000000, 0.834933
521.000000, 0.837298
520.000000, 0.839960
519.000000, 0.842408
518.000000, 0.844964
517.000000, 0.847449
516.000000, 0.850011
515.000000, 0.852550
514.000000, 0.855191
513.000000, 0.857749
512.000000, 0.860447
511.000000, 0.863073
510.000000, 0.865554
509.000000, 0.868344
508.000000, 0.870952
507.000000, 0.873611
506.000000, 0.876349
505.000000, 0.879070
504.000000, 0.881868
503.000000, 0.884569
502.000000, 0.887449
501.000000, 0.890163
500.000000, 0.893031
499.000000, 0.895911
498.000000, 0.898843
497.000000, 0.901640
496.000000, 0.904622
495.000000, 0.907511
494.000000, 0.910411
493.000000, 0.913322
492.000000, 0.916377
491.000000, 0.919234
490.000000, 0.922349
489.000000, 0.925403
488.000000, 0.928501
487.000000, 0.931441
486.000000, 0.934712
485.000000, 0.937663
484.000000, 0.940712
483.000000, 0.943980
482.000000, 0.947042
481.000000, 0.950347
480.000000, 0.953438
479.000000, 0.956685
478.000000, 0.959834
477.000000, 0.963110
476.000000, 0.966247
475.000000, 0.969601
474.000000, 0.972644
473.000000, 0.976065
472.000000, 0.979371
471.000000, 0.982625
470.000000, 0.985965
469.000000, 0.989406
468.000000, 0.992696
467.000000, 0.995966
466.000000, 0.999333
465.000000, 1.003029
464.000000, 1.006431
463.000000, 1.009926
462.000000, 1.013264
461.000000, 1.016831
460.000000, 1.020334
459.000000, 1.023871
458.000000, 1.027520
457.000000, 1.031249
456.000000, 1.034888
455.000000, 1.038470
454.000000, 1.042299
453.000000, 1.045848
452.000000, 1.049595
451.000000, 1.053481
450.000000, 1.057266
449.000000, 1.061170
448.000000, 1.064960
447.000000, 1.068889
446.000000, 1.072738
445.000000, 1.076494
444.000000, 1.080516
443.000000, 1.084440
442.000000, 1.088441
441.000000, 1.092715
440.000000, 1.096777
439.000000, 1.101252
438.000000, 1.105163
437.000000, 1.109565
436.000000, 1.113623
435.000000, 1.117662
434.000000, 1.122287
433.000000, 1.126398
432.000000, 1.130896
431.000000, 1.135352
430.000000, 1.139578
429.000000, 1.143885
428.000000, 1.148417
427.000000, 1.152654
426.000000, 1.157552
425.000000, 1.161994
424.000000, 1.166813
423.000000, 1.171137
422.000000, 1.175974
421.000000, 1.179021
420.000000, 1.183736
419.000000, 1.188355
418.000000, 1.193197
417.000000, 1.197951
416.000000, 1.202779
415.000000, 1.207602
414.000000, 1.212462
413.000000, 1.217490
412.000000, 1.222401
411.000000, 1.227428
410.000000, 1.232474
409.000000, 1.237616
408.000000, 1.242752
407.000000, 1.247943
406.000000, 1.253062
405.000000, 1.258302
404.000000, 1.263704
403.000000, 1.268756
402.000000, 1.273991
401.000000, 1.279695
400.000000, 1.285126
399.000000, 1.290699
398.000000, 1.296359
397.000000, 1.302046
396.000000, 1.307865
395.000000, 1.313632
394.000000, 1.319296
393.000000, 1.325448
392.000000, 1.331022
391.000000, 1.337109
390.000000, 1.343218
389.000000, 1.349596
388.000000, 1.355844
387.000000, 1.362238
386.000000, 1.368776
385.000000, 1.375975
384.000000, 1.382050
383.000000, 1.386102
382.000000, 1.398542
381.000000, 1.399034
