nm, A
700.000000, 0.394382
699.000000, 0.395280
698.000000, 0.395899
697.000000, 0.396609
696.000000, 0.397340
695.000000, 0.398136
694.000000, 0.398867
693.000000, 0.399627
692.000000, 0.400322
691.000000, 0.401107
690.000000, 0.401916
689.000000, 0.402613
688.000000, 0.403410
687.000000, 0.404269
686.000000, 0.405021
685.000000, 0.405725
684.000000, 0.406577
683.000000, 0.407439
682.000000, 0.408457
681.000000, 0.409256
680.000000, 0.409981
679.000000, 0.410902
678.000000, 0.411771
677.000000, 0.412507
676.000000, 0.413440
675.000000, 0.414269
674.000000, 0.415079
673.000000, 0.415740
672.000000, 0.416440
671.000000, 0.417310
670.000000, 0.418140
669.000000, 0.418933
668.000000, 0.419643
667.000000, 0.420434
666.000000, 0.421225
665.000000, 0.422093
664.000000, 0.422828
663.000000, 0.423675
662.000000, 0.424499
661.000000, 0.425366
660.000000, 0.426224
659.000000, 0.427114
658.000000, 0.427861
657.000000, 0.428741
656.000000, 0.429616
655.000000, 0.430486
654.000000, 0.431434
653.000000, 0.432296
652.000000, 0.433171
651.000000, 0.434081
650.000000, 0.435009
649.000000, 0.435874
648.000000, 0.436839
647.000000, 0.437732
646.000000, 0.438697
645.000000, 0.439564
644.000000, 0.440553
643.000000, 0.441524
642.000000, 0.442408
641.000000, 0.443384
640.000000, 0.444306
639.000000, 0.445219
638.000000, 0.446278
637.000000, 0.447145
636.000000, 0.448184
635.000000, 0.449061
634.000000, 0.450098
633.000000, 0.451041
632.000000, 0.452051
631.000000, 0.453107
630.000000, 0.454086
629.000000, 0.455061
628.000000, 0.456092
627.000000, 0.457058
626.000000, 0.458070
625.000000, 0.459135
624.000000, 0.460184
623.000000, 0.461262
622.000000, 0.462189
621.000000, 0.463449
620.000000, 0.464398
619.000000, 0.465532
618.000000, 0.466622
617.000000, 0.467637
616.000000, 0.468729
615.000000, 0.469950
614.000000, 0.470961
613.000000, 0.472160
612.000000, 0.473249
611.000000, 0.474351
610.000000, 0.475512
609.000000, 0.476574
608.000000, 0.477745
607.000000, 0.478995
606.000000, 0.480101
605.000000, 0.481182
604.000000, 0.482402
603.000000, 0.483558
602.000000, 0.484737
601.000000, 0.485872
600.000000, 0.487158
599.000000, 0.488373
598.000000, 0.489552
597.000000, 0.490764
596.000000, 0.491968
595.000000, 0.493201
594.000000, 0.494385
593.000000, 0.495728
592.000000, 0.496911
591.000000, 0.498305
590.000000, 0.499463
589.000000, 0.500702
588.000000, 0.501969
587.000000, 0.503212
586.000000, 0.504523
585.000000, 0.505744
584.000000, 0.506989
583.000000, 0.508255
582.000000, 0.509533
581.000000, 0.510787
580.000000, 0.512071
579.000000, 0.513304
578.000000, 0.514617
577.000000, 0.515975
576.000000, 0.517260
575.000000, 0.518594
574.000000, 0.519951
573.000000, 0.521320
572.000000, 0.522706
571.000000, 0.523980
570.000000, 0.525428
569.000000, 0.526957
568.000000, 0.528265
567.000000, 0.529676
566.000000, 0.531113
565.000000, 0.532574
564.000000, 0.533938
563.000000, 0.535445
562.000000, 0.536769
561.000000, 0.538323
560.000000, 0.539805
559.000000, 0.541184
558.000000, 0.543056
557.000000, 0.544659
556.000000, 0.546087
555.000000, 0.547617
554.000000, 0.549145
553.000000, 0.550682
552.000000, 0.552154
551.000000, 0.553753
550.000000, 0.555391
549.000000, 0.556835
548.000000, 0.558485
547.000000, 0.560145
546.000000, 0.561679
545.000000, 0.563291
544.000000, 0.564985
543.000000, 0.566643
542.000000, 0.568426
541.000000, 0.570091
540.000000, 0.571738
539.000000, 0.573459
538.000000, 0.575167
537.000000, 0.576904
536.000000, 0.578623
535.000000, 0.580428
534.000000, 0.582177
533.000000, 0.583861
532.000000, 0.585741
531.000000, 0.587507
530.000000, 0.589355
529.000000, 0.591182
528.000000, 0.593106
527.000000, 0.594926
526.000000, 0.596697
525.000000, 0.598677
524.000000, 0.600646
523.000000, 0.602498
522.000000, 0.604301
521.000000, 0.606247
520.000000, 0.608217
519.000000, 0.610168
518.000000, 0.612198
517.000000, 0.614255
516.000000, 0.616229
515.000000, 0.618233
514.000000, 0.620348
513.000000, 0.622330
512.000000, 0.624455
511.000000, 0.626476
510.000000, 0.628581
509.000000, 0.630685
508.000000, 0.632856
507.000000, 0.634945
506.000000, 0.637095
505.000000, 0.639410
504.000000, 0.641466
503.000000, 0.643794
502.000000, 0.645980
501.000000, 0.648315
500.000000, 0.650537
499.000000, 0.652969
498.000000, 0.655309
497.000000, 0.657531
496.000000, 0.660014
495.000000, 0.662304
494.000000, 0.664632
493.000000, 0.667053
492.000000, 0.669531
491.000000, 0.671880
490.000000, 0.674312
489.000000, 0.676882
488.000000, 0.679539
487.000000, 0.682012
486.000000, 0.684675
485.000000, 0.687201
484.000000, 0.689760
483.000000, 0.692468
482.000000, 0.694995
481.000000, 0.697712
480.000000, 0.700326
479.000000, 0.703120
478.000000, 0.705750
477.000000, 0.708345
476.000000, 0.711250
475.000000, 0.714080
474.000000, 0.716790
473.000000, 0.719551
472.000000, 0.722485
471.000000, 0.725270
470.000000, 0.728112
469.000000, 0.731163
468.000000, 0.734043
467.000000, 0.736847
466.000000, 0.739819
465.000000, 0.742763
464.000000, 0.745681
463.000000, 0.748706
462.000000, 0.751602
461.000000, 0.754758
460.000000, 0.757903
459.000000, 0.761009
458.000000, 0.764195
457.000000, 0.767506
456.000000, 0.770590
455.000000, 0.773772
454.000000, 0.777058
453.000000, 0.780379
452.000000, 0.783547
451.000000, 0.786961
450.000000, 0.790389
449.000000, 0.793956
448.000000, 0.797255
447.000000, 0.800710
446.000000, 0.804182
445.000000, 0.807774
444.000000, 0.811387
443.000000, 0.814937
442.000000, 0.818615
441.000000, 0.822407
440.000000, 0.826128
439.000000, 0.829943
438.000000, 0.833854
437.000000, 0.837758
