nm, A
700.000000, -0.044787
699.000000, -0.044712
698.000000, -0.044552
697.000000, -0.044422
696.000000, -0.044293
695.000000, -0.044206
694.000000, -0.044093
693.000000, -0.043967
692.000000, -0.043794
691.000000, -0.043739
690.000000, -0.043598
689.000000, -0.043492
688.000000, -0.043335
687.000000, -0.043217
686.000000, -0.043130
685.000000, -0.042985
684.000000, -0.042875
683.000000, -0.042883
682.000000, -0.042985
681.000000, -0.042835
680.000000, -0.042721
679.000000, -0.042650
678.000000, -0.042576
677.000000, -0.042426
676.000000, -0.042390
675.000000, -0.042229
674.000000, -0.042107
673.000000, -0.041988
672.000000, -0.041886
671.000000, -0.041819
670.000000, -0.041772
669.000000, -0.041716
668.000000, -0.041566
667.000000, -0.041476
666.000000, -0.041444
665.000000, -0.041385
664.000000, -0.041243
663.000000, -0.041199
662.000000, -0.041132
661.000000, -0.041085
660.000000, -0.041037
659.000000, -0.041029
658.000000, -0.040867
657.000000, -0.040836
656.000000, -0.040745
655.000000, -0.040677
654.000000, -0.040697
653.000000, -0.040555
652.000000, -0.040476
651.000000, -0.040452
650.000000, -0.040401
649.000000, -0.040306
648.000000, -0.040254
647.000000, -0.040183
646.000000, -0.040116
645.000000, -0.040036
644.000000, -0.040032
643.000000, -0.039953
642.000000, -0.039949
641.000000, -0.039838
640.000000, -0.039803
639.000000, -0.039755
638.000000, -0.039763
637.000000, -0.039632
636.000000, -0.039616
635.000000, -0.039557
634.000000, -0.039600
633.000000, -0.039537
632.000000, -0.039549
631.000000, -0.039537
630.000000, -0.039501
629.000000, -0.039438
628.000000, -0.039438
627.000000, -0.039394
626.000000, -0.039370
625.000000, -0.039398
624.000000, -0.039327
623.000000, -0.039351
622.000000, -0.039244
621.000000, -0.039295
620.000000, -0.039228
619.000000, -0.039228
618.000000, -0.039192
617.000000, -0.039124
616.000000, -0.039109
615.000000, -0.039136
614.000000, -0.039069
613.000000, -0.039057
612.000000, -0.039061
611.000000, -0.039041
610.000000, -0.039005
609.000000, -0.038962
608.000000, -0.038954
607.000000, -0.038974
606.000000, -0.038954
605.000000, -0.038906
604.000000, -0.038934
603.000000, -0.038906
602.000000, -0.038874
601.000000, -0.038771
600.000000, -0.038779
599.000000, -0.038712
598.000000, -0.038592
597.000000, -0.038465
596.000000, -0.038326
595.000000, -0.038099
594.000000, -0.037857
593.000000, -0.037582
592.000000, -0.037215
591.000000, -0.036904
590.000000, -0.036425
589.000000, -0.035958
588.000000, -0.035474
587.000000, -0.034857
586.000000, -0.034300
585.000000, -0.033657
584.000000, -0.033005
583.000000, -0.032417
582.000000, -0.031820
581.000000, -0.031219
580.000000, -0.030624
579.000000, -0.030130
578.000000, -0.029550
577.000000, -0.029152
576.000000, -0.028689
575.000000, -0.028388
574.000000, -0.028103
573.000000, -0.027879
572.000000, -0.027680
571.000000, -0.027443
570.000000, -0.027309
569.000000, -0.027207
568.000000, -0.027113
567.000000, -0.027007
566.000000, -0.026921
565.000000, -0.026868
564.000000, -0.026852
563.000000, -0.026807
562.000000, -0.026742
561.000000, -0.026860
560.000000, -0.026746
559.000000, -0.026635
558.000000, -0.027341
557.000000, -0.027818
556.000000, -0.027916
555.000000, -0.028026
554.000000, -0.028116
553.000000, -0.028238
552.000000, -0.028319
551.000000, -0.028421
550.000000, -0.028571
549.000000, -0.028669
548.000000, -0.028852
547.000000, -0.028994
546.000000, -0.029124
545.000000, -0.029299
544.000000, -0.029355
543.000000, -0.029445
542.000000, -0.029489
541.000000, -0.029514
540.000000, -0.029514
539.000000, -0.029566
538.000000, -0.029554
537.000000, -0.029534
536.000000, -0.029534
535.000000, -0.029583
534.000000, -0.029599
533.000000, -0.029558
532.000000, -0.029583
531.000000, -0.029595
530.000000, -0.029587
529.000000, -0.029566
528.000000, -0.029603
527.000000, -0.029591
526.000000, -0.029570
525.000000, -0.029558
524.000000, -0.029607
523.000000, -0.029627
522.000000, -0.029558
521.000000, -0.029558
520.000000, -0.029591
519.000000, -0.029562
518.000000, -0.029570
517.000000, -0.029579
516.000000, -0.029562
515.000000, -0.029566
514.000000, -0.029570
513.000000, -0.029534
512.000000, -0.029562
511.000000, -0.029562
510.000000, -0.029550
509.000000, -0.029562
508.000000, -0.029526
507.000000, -0.029554
506.000000, -0.029493
505.000000, -0.029550
504.000000, -0.029514
503.000000, -0.029579
502.000000, -0.029526
501.000000, -0.029538
500.000000, -0.029497
499.000000, -0.029546
498.000000, -0.029562
497.000000, -0.029522
496.000000, -0.029583
495.000000, -0.029530
494.000000, -0.029501
493.000000, -0.029497
492.000000, -0.029518
491.000000, -0.029453
490.000000, -0.029457
489.000000, -0.029412
488.000000, -0.029457
487.000000, -0.029323
486.000000, -0.029323
485.000000, -0.029189
484.000000, -0.029132
483.000000, -0.029128
482.000000, -0.028966
481.000000, -0.028876
480.000000, -0.028766
479.000000, -0.028677
478.000000, -0.028466
477.000000, -0.028242
476.000000, -0.028038
475.000000, -0.027989
474.000000, -0.027716
473.000000, -0.027411
472.000000, -0.027191
471.000000, -0.026929
470.000000, -0.026725
469.000000, -0.026554
468.000000, -0.026321
467.000000, -0.026080
466.000000, -0.025826
465.000000, -0.025498
464.000000, -0.025257
463.000000, -0.025076
462.000000, -0.024834
461.000000, -0.024621
460.000000, -0.024441
459.000000, -0.024219
458.000000, -0.024075
457.000000, -0.023935
456.000000, -0.023758
455.000000, -0.023582
454.000000, -0.023483
453.000000, -0.023343
452.000000, -0.023047
451.000000, -0.022944
450.000000, -0.022750
449.000000, -0.022639
448.000000, -0.022280
447.000000, -0.022020
446.000000, -0.021640
445.000000, -0.021371
444.000000, -0.020982
443.000000, -0.020602
442.000000, -0.020204
441.000000, -0.019880
440.000000, -0.019503
439.000000, -0.019125
438.000000, -0.018659
437.000000, -0.018372
436.000000, -0.018014
435.000000, -0.017701
434.000000, -0.017488
433.000000, -0.017154
432.000000, -0.017104
431.000000, -0.016908
430.000000, -0.016662
429.000000, -0.016682
428.000000, -0.016532
427.000000, -0.016452
426.000000, -0.016390
425.000000, -0.016360
424.000000, -0.016294
423.000000, -0.016235
422.000000, -0.016206
421.000000, -0.016231
420.000000, -0.016181
419.000000, -0.016176
418.000000, -0.016214
417.000000, -0.016176
416.000000, -0.016227
415.000000, -0.016218
414.000000, -0.016260
413.000000, -0.016348
412.000000, -0.016331
411.000000, -0.016444
410.000000, -0.016377
409.000000, -0.016490
408.000000, -0.016465
407.000000, -0.016507
406.000000, -0.016490
405.000000, -0.016532
404.000000, -0.016674
403.000000, -0.016712
402.000000, -0.016716
401.000000, -0.016808
400.000000, -0.016795
399.000000, -0.016774
398.000000, -0.016850
397.000000, -0.016795
396.000000, -0.016795
395.000000, -0.016837
394.000000, -0.016787
393.000000, -0.016795
392.000000, -0.016674
391.000000, -0.016628
390.000000, -0.016607
389.000000, -0.016582
388.000000, -0.016519
387.000000, -0.016511
386.000000, -0.016452
385.000000, -0.016457
384.000000, -0.017534
383.000000, -0.020680
382.000000, -0.019615
381.000000, -0.019170
380.000000, -0.019303
379.000000, -0.018243
378.000000, -0.018118
377.000000, -0.017789
376.000000, -0.017547
375.000000, -0.016783
374.000000, -0.016758
373.000000, -0.016657
372.000000, -0.016632
371.000000, -0.016365
370.000000, -0.016348
369.000000, -0.016310
368.000000, -0.016227
367.000000, -0.015925
366.000000, -0.016390
365.000000, -0.016051
364.000000, -0.016306
363.000000, -0.016243
362.000000, -0.016268
361.000000, -0.016122
360.000000, -0.016114
359.000000, -0.016218
358.000000, -0.015879
357.000000, -0.015791
356.000000, -0.015992
355.000000, -0.015435
354.000000, -0.015372
353.000000, -0.015133
352.000000, -0.015079
351.000000, -0.014840
350.000000, -0.014634
349.000000, -0.014327
348.000000, -0.014075
347.000000, -0.013591
346.000000, -0.013212
345.000000, -0.012947
344.000000, -0.012782
343.000000, -0.012018
342.000000, -0.012436
341.000000, -0.012073
340.000000, -0.011008
339.000000, -0.010414
338.000000, -0.011092
337.000000, -0.010677
336.000000, -0.010902
335.000000, -0.010830
334.000000, -0.010423
333.000000, -0.010241
332.000000, -0.009553
331.000000, -0.010105
330.000000, -0.009387
329.000000, -0.009544
328.000000, -0.009370
327.000000, -0.013297
326.000000, -0.014197
325.000000, -0.013953
324.000000, -0.014088
323.000000, -0.013949
322.000000, -0.013932
321.000000, -0.013978
320.000000, -0.013999
319.000000, -0.013966
318.000000, -0.014155
317.000000, -0.014130
316.000000, -0.013987
315.000000, -0.014172
314.000000, -0.014285
313.000000, -0.014449
312.000000, -0.014479
311.000000, -0.014542
310.000000, -0.014621
309.000000, -0.014701
308.000000, -0.014751
307.000000, -0.014877
306.000000, -0.014987
305.000000, -0.015091
304.000000, -0.015087
303.000000, -0.015133
302.000000, -0.015150
301.000000, -0.015272
300.000000, -0.015138
299.000000, -0.015117
298.000000, -0.015117
297.000000, -0.014991
296.000000, -0.014873
295.000000, -0.014751
294.000000, -0.014630
293.000000, -0.014449
292.000000, -0.014117
291.000000, -0.014079
290.000000, -0.013865
289.000000, -0.013596
288.000000, -0.013591
287.000000, -0.013490
286.000000, -0.013166
285.000000, -0.013153
284.000000, -0.013179
283.000000, -0.013006
282.000000, -0.012959
281.000000, -0.013044
280.000000, -0.012955
279.000000, -0.012820
278.000000, -0.012922
277.000000, -0.013086
276.000000, -0.013073
275.000000, -0.013136
274.000000, -0.013094
273.000000, -0.013271
272.000000, -0.013440
271.000000, -0.013465
270.000000, -0.013671
269.000000, -0.013718
268.000000, -0.013856
267.000000, -0.013945
266.000000, -0.014180
265.000000, -0.014235
264.000000, -0.014260
263.000000, -0.014348
262.000000, -0.014395
261.000000, -0.014395
260.000000, -0.014546
259.000000, -0.014542
258.000000, -0.014642
257.000000, -0.014575
256.000000, -0.014621
255.000000, -0.014739
254.000000, -0.014798
253.000000, -0.014710
252.000000, -0.014777
251.000000, -0.014634
250.000000, -0.014550
249.000000, -0.014563
248.000000, -0.014689
247.000000, -0.014739
246.000000, -0.014919
245.000000, -0.015100
244.000000, -0.015196
243.000000, -0.015364
242.000000, -0.015465
241.000000, -0.015666
240.000000, -0.015754
239.000000, -0.015971
238.000000, -0.016118
237.000000, -0.016235
236.000000, -0.016398
235.000000, -0.016528
234.000000, -0.016753
233.000000, -0.016996
232.000000, -0.017159
231.000000, -0.017488
230.000000, -0.017893
229.000000, -0.018397
228.000000, -0.018946
227.000000, -0.019739
226.000000, -0.020510
225.000000, -0.021479
224.000000, -0.022453
223.000000, -0.023425
222.000000, -0.024227
221.000000, -0.024707
220.000000, -0.024912
219.000000, -0.025007
218.000000, -0.024912
217.000000, -0.025085
216.000000, -0.025027
215.000000, -0.025162
214.000000, -0.025351
213.000000, -0.025765
212.000000, -0.026010
211.000000, -0.026145
210.000000, -0.026464
209.000000, -0.027195
208.000000, -0.027545
207.000000, -0.027712
206.000000, -0.028063
205.000000, -0.029221
204.000000, -0.029773
203.000000, -0.030373
202.000000, -0.031320
201.000000, -0.032949
200.000000, -0.033428
