lambda	Blanco	Ps solo	Ps cef3 5 vieja	Ps cef3 5	PS cef3 10 	Emcorri	WG280 %T
265	360034	820178	590092	630105	500066	4.93484	3.882861137
266	600095	890.21	740145	420047	530074	5.547325	4.890387058
267	520072	940234	730141	510069	680123	6.15981	5.867950439
268	470059	830183	670119	610099	440051	5.481575	6.828295231
269	420047	720137	760153	620102	520072	4.80334	8.324011803
270	330029	790165	780161	520072	540077	4.49386	9.860377312
271	360034	740145	720137	520072	510069	4.18438	11.53734875
272	380038	670119	760153	730141	480061	4.371635	13.2042141
273	380038	990.26	510069	670119	380038	4.55889	14.85483932
274	240015	800.17	970249	650112	500066	4.31687	17.20119095
275	520072	800.17	760153	520072	360034	4.208185361	19.40528297
276	490064	730141	770157	470059	710134	4.401569581	21.73467064
277	530074	860196	860196	580089	460056	4.366415368	24.19181824
278	520072	820178	630105	640109	540077	4.031093334	26.39494896
279	480061	900215	880205	640109	780161	3.802248839	29.03180504
280	390.04	850191	930229	610099	700.13	3.71347234	31.96199036
281	380038	820178	940234	650112	440051	3.835671348	34.88673782
282	300024	950239	860196	590092	480061	3.895643428	37.53077698
283	370036	770157	680123	660115	540077	3.926206329	39.91796494
284	460056	910219	880205	680123	520072	3.848215963	42.4909935
285	370036	790165	820178	650112	540077	3.746548057	45.40718079
286	500066	960244	700.13	800.17	430049	3.547659729	48.12622452
287	390.04	1060.3	610099	920224	570086	3.43699889	50.12465668
288	370036	1030.28	790165	1060.3	850191	3.352787076	52.95035172
289	430049	1110.33	870201	1060.3	600095	3.2313092	55.41016388
290	310025	1090.31	1060.3	930229	940234	3.253956074	57.68437195
291	380038	1620.7	1130.34	1790.85	980255	3.208350947	60.20805359
292	390.04	2021.08	1340.48	2691.92	1930.99	3.14198151	62.0943718
293	380038	2561.74	1930.99	4254.79	2451.59	3.096235352	64.26041412
294	480061	3493.23	2391.51	5487.96	3863.95	2.98800558	66.12650299
295	510069	5648.44	3883.99	7986.85	5227.23	2.902201989	67.99963379
296	420047	7605.28	4655.73	9513.9	7806.1	2.834115992	70.04199982
297	410045	10167.3	5999.52	11857.1	9584.25	2.682126702	71.16272736
298	360034	11716.2	6681.8	14455.1	11816.8	2.684353495	72.47503662
299	480061	14636.4	8840.64	17702.5	14344.2	2.576907673	74.1627655
300	410045	15916.7	10137.1	20945.3	16219.3	2.541461426	75.51767731
301	340031	18621.2	11676	23424.1	19368.7	2.457498654	76.94564819
302	420047	22452.4	13397.3	27204	21885.8	2.39748	77.87284088
303	360034	27001.2	15634.4	30188.7	26483.9	2.30907	78.82378387
304	570086	30290.3	18348.6	34796.5	29396.4	2.26905	80.01312256
305	360034	35234.5	22442.3	38935.6	34093.9	2.22903	80.91944122
306	430049	41897.6	26778	45437.4	37476.7	2.159015	81.82099152
307	740145	48819.6	31753.9	46779.4	43983.9	2.089	82.54047394
308	540077	62014.7	41621.6	57537.8	47404.5	2.09542	83.1991272
309	610099	82423.5	59671.8	71663.4	53410.3	2.10184	83.93270874
310	300024	121333	84699.6	92182.8	61952.8	2.06029	84.54941559
311	440051	150820	106959	105713	70387.4	2.01874	85.03229523
312	540077	176216	121525	116881	76620	2.01172	85.57793427
313	490064	205275	144915	128559	86026.7	2.0047	86.00643921
314	360034	254151	184107	152861	97663.8	1.973145	86.50711823
315	610099	309018	219876	178927	108713	1.94159	86.87857056
316	470059	345393	247208	191664	115300	1.90956	87.18294525
317	570086	377514	272199	205807	123270	1.87753	87.55510712
318	540077	474308	351581	257971	147402	1.84322	87.78924561
319	450054	684095	512485	344686	185862	1.80891	88.12541962
320	530074	877343	658033	442873	221661	1.80132	88.33364868
321	490064	1.02E+11	749022	491719	246011	1.79373	88.528862
322	520072	1.05E+11	778597	506237	251016	1.77478	88.74897003
323	490064	1.05E+11	777508	506892	254174	1.75583	88.93602753
324	560083	1.04E+11	774315	506892	258504	1.75499	89.11177826
325	410045	1.04E+11	767939	502395	257234	1.75415	89.31681061
326	520072	993341	732922	478581	252057	1.71851	89.36154175
327	620102	939177	692094	453611	247874	1.68287	89.46946716
328	660115	915888	686417	452833	244116	1.66355	89.64590454
329	600095	951260	713694	469322	254264	1.64423	89.74259949
330	560083	995187	750473	491455	265210	1.62814	89.83925629
331	540077	1.02E+11	777913	502382	270567	1.61205	89.96324158
332	650112	1.04E+11	791271	516507	276611	1.61231	90.06891632
333	690126	1.06E+11	822947	522755	282420	1.61257	90.09038544
334	590092	1.12E+11	872293	556823	300132	1.59924	90.23290253
335	680123	1.19E+11	928597	594883	316039	1.58591	90.29420471
336	620102	1.20E+11	936378	591818	315201	1.56651	90.34825134
337	590092	1.16E+11	905855	568797	307208	1.54711	90.30892181
338	590092	1.09E+09	854343	539164	292652	1.52987	90.43067932
339	620102	1.03E+09	816179	520281	281456	1.51263	90.54769135
340	880205	1.00E+11	803522	495883	274461	1.504865	90.51291656
341	600095	964594	760163	484097	268628	1.4971	90.62539673
342	710134	914615	726708	455080	257154	1.481225	90.65976715
343	580089	850863	674062	433797	246090	1.46535	90.70008087
344	520072	808087	651546	408020	237272	1.44946	90.71937561
345	630105	780258	636577	405986	229856	1.43357	90.7035675
346	760153	779127	638978	401960	226308	1.41724	90.74420929
347	780161	773855	641540	401054	228266	1.40091	90.81719208
348	740145	777006	637240	395144	225838	1.383775	90.84937286
349	750149	763882	633940	389693	226420	1.36664	90.8616333
350	700.13	736949	622760	385395	221705	1.349195	90.79025269
351	650112	725777	611902	375471	211674	1.33175	90.88872528
352	630105	697919	584451	363127	203006	1.320635	90.90267944
353	690126	649187	551274	332856	196390	1.30952	90.89910126
354	780161	601821	505707	317553	182090	1.31308	90.92018127
355	740145	552236	463814	289198	170805	1.31664	90.94924927
