lambda	blanco	5 cef3	7.3 cef3	10 cef3	Emcorri	WG280 %T
265	360.034	436.721	536.744	576.756	4.93484	3.882861137
266	600.095	500.066	540.078	530.075	5.547325	4.890387058
267	520.072	423.383	496.735	363.371	6.15981	5.867950439
268	470.059	460.057	473.394	510.071	5.481575	6.828295231
269	420.047	476.728	433.385	526.741	4.80334	8.324011803
270	330.029	486.731	403.378	460.059	4.49386	9.860377312
271	360.034	443.386	450.054	353.369	4.18438	11.53734875
272	380.038	460.056	450.055	406.711	4.371635	13.2042141
273	380.038	516.739	426.715	426.716	4.55889	14.85483932
274	240.015	446.72	440.052	463.391	4.31687	17.20119095
275	520.072	436.718	350.033	343.365	4.208185361	19.40528297
276	490.064	420.05	373.37	440.052	4.401569581	21.73467064
277	530.074	400.043	406.711	433.383	4.366415368	24.19181824
278	520.072	416.713	433.383	423.382	4.031093334	26.39494896
279	480.061	536.744	363.369	353.368	3.802248839	29.03180504
280	390.04	406.713	340.031	403.377	3.71347234	31.96199036
281	380.038	430.049	493.398	376.705	3.835671348	34.88673782
282	300.024	410.047	313.36	440.052	3.895643428	37.53077698
283	370.036	446.72	403.379	370.037	3.926206329	39.91796494
284	460.056	456.724	470.059	420.048	3.848215963	42.4909935
285	370.036	426.716	420.047	473.394	3.746548057	45.40718079
286	500.066	573.421	486.73	480.061	3.547659729	48.12622452
287	390.04	566.752	446.72	560.085	3.43699889	50.12465668
288	370.036	780.168	393.376	543.412	3.352787076	52.95035172
289	430.049	986.926	553.415	846.857	3.2313092	55.41016388
290	310.025	1563.99	576.759	910.221	3.253956074	57.68437195
291	380.038	1944.34	703.465	1320.46	3.208350947	60.20805359
292	390.04	2772.04	1073.64	1660.73	3.14198151	62.0943718
293	380.038	3833.89	1357.16	2418.23	3.096235352	64.26041412
294	480.061	5009.98	2131.2	3389.71	2.98800558	66.12650299
295	510.069	6648.39	2928.94	4749.32	2.902201989	67.99963379
296	420.047	8984.66	3279.52	6106.53	2.834115992	70.04199982
297	410.045	11048.9	4234.76	7842.98	2.682126702	71.16272736
298	360.034	13283.2	5157.03	9111.93	2.684353495	72.47503662
299	480.061	15234.5	6270.4	11354	2.576907673	74.1627655
300	410.045	17981.9	7006.31	13253	2.541461426	75.51767731
301	340.031	20942	8492.38	15657.9	2.457498654	76.94564819
302	420.047	23282.3	9406.71	17177.7	2.39748	77.87284088
303	360.034	26200	10388.5	19991.9	2.30907	78.82378387
304	570.086	29061.4	11766.5	22293.9	2.26905	80.01312256
305	360.034	31984.6	13390.7	24777.8	2.22903	80.91944122
306	430.049	34504.7	15372.3	27951.5	2.159015	81.82099152
307	740.145	38095.9	16952.4	30493.6	2.089	82.54047394
308	540.077	41240.2	18628	32604.8	2.09542	83.1991272
309	610.099	43346.3	21110.5	35584.3	2.10184	83.93270874
310	300.024	45813.3	22638	37810.2	2.06029	84.54941559
311	440.051	47363.6	25274.3	39255.5	2.01874	85.03229523
312	540.077	50287.3	28502.9	41240.1	2.01172	85.57793427
313	490.064	52982.3	30933.9	42828.4	2.0047	86.00643921
314	360.034	54123.3	34046.6	45806.6	1.973145	86.50711823
315	610.099	57620.2	37035	46338.8	1.94159	86.87857056
316	470.059	58616.6	41001.9	49493.4	1.90956	87.18294525
317	570.086	61866.8	45857.4	51567.3	1.87753	87.55510712
318	540.077	63471.7	52584.6	52609	1.84322	87.78924561
319	450.054	66539.9	60600.5	56164.6	1.80891	88.12541962
320	530.074	69803.2	68400.7	57472.6	1.80132	88.33364868
321	490.064	72497.4	75597.5	59383.3	1.79373	88.528862
322	520.072	73504.7	78851.5	61787.5	1.77478	88.74897003
323	490.064	75583.7	81801.1	62820.7	1.75583	88.93602753
324	560.083	76301.1	83411.6	62452.2	1.75499	89.11177826
325	410.045	77490.8	83940.7	64236.4	1.75415	89.31681061
326	520.072	76148.8	82315.8	65187.9	1.71851	89.36154175
327	620.102	78465.9	83098.9	64819	1.68287	89.46946716
328	660.115	78163.9	82757.5	66505.6	1.66355	89.64590454
329	600.095	79208.9	86211.4	67430.5	1.64423	89.74259949
