nm, A
700.000000, 0.702561
699.000000, 0.704078
698.000000, 0.705582
697.000000, 0.707091
696.000000, 0.708611
695.000000, 0.710095
694.000000, 0.711659
693.000000, 0.713149
692.000000, 0.714805
691.000000, 0.716357
690.000000, 0.717922
689.000000, 0.719458
688.000000, 0.720985
687.000000, 0.722715
686.000000, 0.724288
685.000000, 0.725884
684.000000, 0.727509
683.000000, 0.729121
682.000000, 0.730608
681.000000, 0.732398
680.000000, 0.734032
679.000000, 0.735746
678.000000, 0.737318
677.000000, 0.739039
676.000000, 0.740842
675.000000, 0.742389
674.000000, 0.743945
673.000000, 0.745665
672.000000, 0.747377
671.000000, 0.748945
670.000000, 0.750624
669.000000, 0.752295
668.000000, 0.753842
667.000000, 0.755456
666.000000, 0.757269
665.000000, 0.758856
664.000000, 0.760542
663.000000, 0.762195
662.000000, 0.764034
661.000000, 0.765619
660.000000, 0.767524
659.000000, 0.769172
658.000000, 0.771033
657.000000, 0.772737
656.000000, 0.774506
655.000000, 0.776332
654.000000, 0.778060
653.000000, 0.779943
652.000000, 0.781786
651.000000, 0.783702
650.000000, 0.785554
649.000000, 0.787243
648.000000, 0.789260
647.000000, 0.791093
646.000000, 0.793005
645.000000, 0.794921
644.000000, 0.796795
643.000000, 0.798630
642.000000, 0.800642
641.000000, 0.802477
640.000000, 0.804495
639.000000, 0.806366
638.000000, 0.808313
637.000000, 0.810321
636.000000, 0.812218
635.000000, 0.814100
634.000000, 0.816153
633.000000, 0.818097
632.000000, 0.820130
631.000000, 0.822197
630.000000, 0.824258
629.000000, 0.826308
628.000000, 0.828271
627.000000, 0.830209
626.000000, 0.832344
625.000000, 0.834238
624.000000, 0.836536
623.000000, 0.838625
622.000000, 0.840705
621.000000, 0.842981
620.000000, 0.845003
619.000000, 0.847130
618.000000, 0.849413
617.000000, 0.851494
616.000000, 0.853695
615.000000, 0.855874
614.000000, 0.858069
613.000000, 0.860287
612.000000, 0.862517
611.000000, 0.864619
610.000000, 0.866939
609.000000, 0.869285
608.000000, 0.871452
607.000000, 0.873811
606.000000, 0.876003
605.000000, 0.878291
604.000000, 0.880627
603.000000, 0.882928
602.000000, 0.885203
601.000000, 0.887516
600.000000, 0.889920
599.000000, 0.892232
598.000000, 0.894651
597.000000, 0.896899
596.000000, 0.899196
595.000000, 0.901554
594.000000, 0.903823
593.000000, 0.906304
592.000000, 0.908621
591.000000, 0.910841
590.000000, 0.913250
589.000000, 0.915397
588.000000, 0.917770
587.000000, 0.920074
586.000000, 0.922357
585.000000, 0.924769
584.000000, 0.927223
583.000000, 0.929943
582.000000, 0.932397
581.000000, 0.934939
580.000000, 0.937483
579.000000, 0.940055
578.000000, 0.942568
577.000000, 0.945257
576.000000, 0.947972
575.000000, 0.950686
574.000000, 0.953393
573.000000, 0.956006
572.000000, 0.958842
571.000000, 0.961485
570.000000, 0.964282
569.000000, 0.966890
