6						
236						
	psnf10hex 260:265-500	Psnf 10 260:265-500	pshex 260:265-500	pvthex 260:265-500	pvtcef3 260:265-500	pvt-cef3 260:265-500
X	Y	Y	Y	Y	Y	Y
265	670.119	620.102	470.059	690.126	690.126	660.115
266	730.141	530.074	390.04	570.086	730.141	670.119
267	570.086	570.086	530.074	580.089	700.13	650.112
268	580.089	650.112	510.069	530.074	660.115	520.072
269	650.112	630.105	490.064	590.092	630.105	610.099
270	710.134	620.102	560.083	540.077	560.083	500.066
271	480.061	690.126	490.064	590.092	700.13	590.092
272	630.105	470.059	580.089	480.061	570.086	540.077
273	580.089	670.119	450.054	330.029	510.069	590.092
274	590.092	700.13	620.102	410.045	620.102	460.056
275	760.153	600.095	510.069	580.089	430.049	410.045
276	540.077	610.099	380.038	690.126	540.077	570.086
277	560.083	680.123	670.119	620.102	530.074	600.095
278	690.126	500.066	750.149	540.077	480.061	490.064
279	730.141	490.064	710.134	450.054	580.089	660.115
280	520.072	680.123	840.187	570.086	620.102	480.061
281	550.08	520.072	910.219	730.141	560.083	540.077
282	750.149	600.095	860.196	550.08	590.092	570.086
283	620.102	660.115	1170.36	590.092	520.072	610.099
284	620.102	550.08	1440.55	480.061	630.105	800.17
285	660.115	510.069	1380.5	550.08	680.123	540.077
286	520.072	680.123	1480.58	620.102	630.105	580.089
287	710.134	580.089	1650.72	670.119	580.089	640.109
288	670.119	680.123	1810.87	590.092	660.115	580.089
289	730.141	690.126	2171.25	680.123	750.149	640.109
290	870.201	870.201	3112.56	750.149	830.183	700.13
291	530.074	750.149	3863.95	1140.34	1230.4	570.086
292	750.149	660.115	4004.24	1030.28	1190.38	700.13
293	770.157	700.13	5558.17	1580.66	1250.41	780.161
294	830.183	700.13	6952.77	1830.89	1740.8	1140.34
295	780.161	700.13	8308.23	2611.81	2391.51	1260.42
296	650.112	680.123	9956.17	3623.47	3593.42	2211.29
297	680.123	640.109	11726.3	5267.34	4334.97	2782.05
298	670.119	720.137	12732.7	7755.89	6210.19	3793.81
299	660.115	520.072	14072.2	11062.3	7916.56	5718.65
300	620.102	730.141	15130.3	14303.9	9674.71	6742.01
301	650.112	660.115	16703.4	17722.7	11786.6	8187.71
302	710.134	760.153	17551.1	21703.8	14052	10117
303	780.161	710.134	20338.7	26443.4	16037.7	12279.8
304	600.095	760.153	23393.7	30015.9	18813.1	13810.3
305	780.161	750.149	23575.9	34379	21491.4	16410.9
306	690.126	850.191	25267.5	38415.2	23798.7	18277.9
307	970.249	930.229	28167.9	44751.5	27305.5	21370
308	800.17	620.102	28848	48635	28066.4	23717.7
309	760.153	810.174	31947.1	52536.5	32272.5	25571.5
310	1050.29	800.17	34043	57475.9	35713.3	27102.6
311	830.183	700.13	35285.4	60889.4	38803	28462.3
312	960.244	850.191	37313.6	63895.2	39701.2	30889.8
313	1270.43	860.196	38547.8	66543.3	41938.5	32313.2
314	1300.45	990.26	40160.7	67558	42684.8	32964.2
315	2621.82	1170.36	43042.7	70895.6	46092.9	35570.6
316	4465.27	1320.46	43943	71269.1	46574.4	35550.3
317	9845.59	2131.2	46431	74748.1	48563.2	36610.1
318	17288.7	3663.55	50574.5	76193.5	51005.8	37864.3
319	30046.4	6099.84	55550.1	79774.9	51991.9	38803
320	47353.3	12340.2	63461.1	85075.7	54356.5	40732.7
321	85086.1	29772.2	64867.2	85211.5	53677.7	42664.3
