Tiempo	Corriente
8.565390e-01	1.131130e-02
1.119157e+00	1.130260e-02
1.363247e+00	1.129800e-02
1.609526e+00	1.129480e-02
1.851066e+00	1.129420e-02
2.098110e+00	1.128970e-02
2.321890e+00	1.128910e-02
2.552109e+00	1.128750e-02
2.798281e+00	1.128860e-02
3.041833e+00	1.128720e-02
3.265268e+00	1.128890e-02
3.492744e+00	1.129180e-02
3.724714e+00	1.128800e-02
3.947519e+00	1.128810e-02
4.174359e+00	1.128930e-02
4.399658e+00	1.128800e-02
4.626766e+00	1.128800e-02
4.857543e+00	1.128720e-02
5.085624e+00	1.128830e-02
5.311381e+00	1.128870e-02
5.538268e+00	1.128850e-02
5.766067e+00	1.128680e-02
5.991754e+00	1.128890e-02
6.219485e+00	1.128700e-02
6.446367e+00	1.128810e-02
6.673859e+00	1.128700e-02
6.905787e+00	1.128740e-02
7.150163e+00	1.128920e-02
7.394608e+00	1.128900e-02
7.618464e+00	1.128930e-02
7.846662e+00	1.128990e-02
8.074825e+00	1.129020e-02
8.302340e+00	1.128880e-02
8.529798e+00	1.128860e-02
8.762285e+00	1.128850e-02
8.984783e+00	1.129080e-02
9.212419e+00	1.129050e-02
9.440551e+00	1.128960e-02
9.668787e+00	1.128720e-02
9.894596e+00	1.128620e-02
1.012224e+01	1.128660e-02
1.035275e+01	1.128580e-02
1.058021e+01	1.128610e-02
1.080854e+01	1.128440e-02
1.103885e+01	1.128570e-02
1.126680e+01	1.128510e-02
1.149262e+01	1.128520e-02
1.171952e+01	1.128730e-02
1.194720e+01	1.128770e-02
1.217585e+01	1.128590e-02
1.240353e+01	1.128820e-02
1.263383e+01	1.128570e-02
1.286424e+01	1.128630e-02
1.309136e+01	1.128670e-02
1.331795e+01	1.128400e-02
1.354380e+01	1.128620e-02
1.377580e+01	1.128540e-02
1.400009e+01	1.128510e-02
1.424106e+01	1.128520e-02
1.446495e+01	1.128450e-02
1.469169e+01	1.128510e-02
1.492152e+01	1.128310e-02
1.514652e+01	1.128420e-02
1.537579e+01	1.128410e-02
1.564194e+01	1.128080e-02
1.587013e+01	1.128290e-02
1.609778e+01	1.128150e-02
1.633858e+01	1.128100e-02
1.658086e+01	1.128080e-02
1.682648e+01	1.128310e-02
1.704969e+01	1.128300e-02
1.727718e+01	1.128390e-02
1.750453e+01	1.128470e-02
1.773267e+01	1.128590e-02
1.796021e+01	1.128640e-02
1.818871e+01	1.128600e-02
1.842678e+01	1.128490e-02
1.865165e+01	1.128660e-02
1.887941e+01	1.128340e-02
1.910778e+01	1.128690e-02
1.933341e+01	1.128580e-02
1.955873e+01	1.128680e-02
1.978466e+01	1.128920e-02
2.001337e+01	1.128910e-02
2.024167e+01	1.128870e-02
2.047173e+01	1.128660e-02
2.069687e+01	1.128750e-02
2.092324e+01	1.128850e-02
2.115102e+01	1.128870e-02
2.137671e+01	1.128750e-02
2.160232e+01	1.128740e-02
2.182851e+01	1.128700e-02
2.205470e+01	1.128710e-02
2.228537e+01	1.128730e-02
2.251992e+01	1.129240e-02
2.274405e+01	1.129380e-02
2.296961e+01	1.130250e-02
2.319737e+01	1.130450e-02
2.342432e+01	1.131170e-02
2.365456e+01	1.131570e-02
2.388104e+01	1.131580e-02
2.410652e+01	1.131660e-02
2.433479e+01	1.132310e-02
2.457507e+01	1.132890e-02
2.481745e+01	1.133180e-02
2.504282e+01	1.133560e-02
2.526984e+01	1.133890e-02
2.549465e+01	1.134200e-02
2.572172e+01	1.134580e-02
2.594865e+01	1.134750e-02
2.617576e+01	1.135320e-02
2.640291e+01	1.135460e-02
2.664166e+01	1.135710e-02
2.686579e+01	1.136190e-02
2.709257e+01	1.136180e-02
2.731984e+01	1.136770e-02
2.754799e+01	1.137230e-02
2.777567e+01	1.137500e-02
2.800466e+01	1.137940e-02
2.823349e+01	1.138350e-02
2.846088e+01	1.138460e-02
2.870309e+01	1.138930e-02
2.892667e+01	1.139200e-02
2.915253e+01	1.139630e-02
2.937973e+01	1.139600e-02
2.960658e+01	1.139910e-02
2.983235e+01	1.140420e-02
3.006179e+01	1.140630e-02
3.028972e+01	1.140900e-02
3.051878e+01	1.141230e-02
3.079219e+01	1.141600e-02
3.101611e+01	1.141540e-02
3.124357e+01	1.142210e-02
3.146945e+01	1.142770e-02
3.169693e+01	1.142720e-02
3.192264e+01	1.143100e-02
3.215099e+01	1.143390e-02
3.237795e+01	1.143860e-02
3.260542e+01	1.143880e-02
3.284391e+01	1.144190e-02
3.306775e+01	1.144580e-02
3.329735e+01	1.144910e-02
3.352420e+01	1.145300e-02
3.375142e+01	1.145290e-02
3.397946e+01	1.145690e-02
3.420702e+01	1.145890e-02
3.443522e+01	1.146060e-02
3.466280e+01	1.146220e-02
3.489270e+01	1.146460e-02
3.512089e+01	1.146520e-02
3.534652e+01	1.146690e-02
3.557455e+01	1.147040e-02
3.580175e+01	1.147170e-02
3.603061e+01	1.147340e-02
3.625776e+01	1.147930e-02
3.648570e+01	1.148080e-02
3.671190e+01	1.148090e-02
3.693920e+01	1.148210e-02
3.716589e+01	1.148720e-02
3.739308e+01	1.148730e-02
3.762068e+01	1.149090e-02
3.784866e+01	1.149430e-02
3.807776e+01	1.149670e-02
3.830458e+01	1.150020e-02
3.853273e+01	1.150010e-02
3.876179e+01	1.150420e-02
3.898844e+01	1.150550e-02
3.921555e+01	1.150570e-02
3.944467e+01	1.150660e-02
3.967050e+01	1.150550e-02
3.990027e+01	1.150820e-02
4.013072e+01	1.150760e-02
4.035749e+01	1.151140e-02
4.058580e+01	1.151360e-02
4.081273e+01	1.151440e-02
4.105283e+01	1.151440e-02
4.127569e+01	1.151700e-02
4.150167e+01	1.151900e-02
4.172887e+01	1.151420e-02
4.195667e+01	1.151760e-02
4.218359e+01	1.151820e-02
4.241280e+01	1.151980e-02
4.264273e+01	1.152190e-02
4.286970e+01	1.152200e-02
4.310919e+01	1.152130e-02
4.335329e+01	1.152400e-02
4.357725e+01	1.152660e-02
4.380529e+01	1.152770e-02
4.403177e+01	1.152890e-02
4.426040e+01	1.152930e-02
4.448628e+01	1.153290e-02
4.471191e+01	1.153350e-02
4.494138e+01	1.153530e-02
4.517185e+01	1.153360e-02
4.540075e+01	1.153520e-02
4.563170e+01	1.153440e-02
4.589973e+01	1.153480e-02
4.612595e+01	1.153530e-02
4.635319e+01	1.153910e-02
4.658167e+01	1.153650e-02
4.680805e+01	1.153820e-02
4.703443e+01	1.153940e-02
4.727079e+01	1.154220e-02
4.749490e+01	1.154180e-02
4.772120e+01	1.154300e-02
4.794941e+01	1.154530e-02
4.817435e+01	1.154200e-02
4.840069e+01	1.154230e-02
4.862863e+01	1.154120e-02
4.885881e+01	1.154500e-02
4.908561e+01	1.154430e-02
4.932455e+01	1.154550e-02
4.954923e+01	1.154680e-02
4.977545e+01	1.155010e-02
5.000157e+01	1.154840e-02
5.024906e+01	1.154650e-02
5.047327e+01	1.155080e-02
5.070070e+01	1.155090e-02
5.092660e+01	1.155130e-02
5.115424e+01	1.155230e-02
5.139468e+01	1.155170e-02
5.161959e+01	1.155440e-02
5.184629e+01	1.155390e-02
5.207484e+01	1.155600e-02
5.230380e+01	1.155830e-02
5.253296e+01	1.155930e-02
5.275950e+01	1.156130e-02
5.298649e+01	1.156210e-02
5.321552e+01	1.156410e-02
5.345785e+01	1.156520e-02
5.370139e+01	1.156390e-02
5.392659e+01	1.155970e-02
5.415465e+01	1.156090e-02
5.438264e+01	1.156440e-02
5.461078e+01	1.156560e-02
5.483845e+01	1.156290e-02
5.506599e+01	1.156530e-02
5.529429e+01	1.156460e-02
5.552174e+01	1.156410e-02
5.575227e+01	1.156590e-02
5.598203e+01	1.156780e-02
5.620676e+01	1.156540e-02
5.643754e+01	1.156640e-02
5.666269e+01	1.156760e-02
5.689021e+01	1.156660e-02
5.711743e+01	1.156820e-02
5.734561e+01	1.156780e-02
5.757115e+01	1.156500e-02
5.779883e+01	1.156870e-02
5.802498e+01	1.165730e-02
5.825293e+01	1.164460e-02
5.848372e+01	1.164790e-02
5.871166e+01	1.164940e-02
5.893849e+01	1.165280e-02
5.916545e+01	1.165450e-02
5.939415e+01	1.165830e-02
5.962165e+01	1.166190e-02
5.985077e+01	1.166430e-02
6.007896e+01	1.166610e-02
6.030784e+01	1.166770e-02
6.053871e+01	1.167300e-02
6.077678e+01	1.167250e-02
6.104167e+01	1.167730e-02
6.126964e+01	1.167760e-02
6.149809e+01	1.167740e-02
6.172637e+01	1.168030e-02
6.195282e+01	1.167990e-02
6.218265e+01	1.167890e-02
6.241162e+01	1.168210e-02
6.263918e+01	1.168410e-02
6.287660e+01	1.168430e-02
6.310144e+01	1.168190e-02
6.332864e+01	1.168450e-02
6.355629e+01	1.168630e-02
6.378262e+01	1.168480e-02
6.401267e+01	1.168380e-02
6.423923e+01	1.168770e-02
6.446503e+01	1.169010e-02
6.469335e+01	1.168910e-02
6.492293e+01	1.169120e-02
6.515168e+01	1.168980e-02
6.537873e+01	1.169080e-02
6.560668e+01	1.169210e-02
6.583355e+01	1.169280e-02
6.606105e+01	1.169500e-02
6.628841e+01	1.169180e-02
6.651559e+01	1.169290e-02
6.674668e+01	1.169390e-02
6.697377e+01	1.169670e-02
6.720292e+01	1.169710e-02
6.743274e+01	1.169600e-02
6.766284e+01	1.169580e-02
6.789370e+01	1.169820e-02
6.812152e+01	1.169770e-02
6.834953e+01	1.170230e-02
6.857774e+01	1.170260e-02
6.880752e+01	1.169970e-02
6.904216e+01	1.170040e-02
6.927992e+01	1.170030e-02
6.950843e+01	1.170320e-02
6.973868e+01	1.170100e-02
6.996759e+01	1.170250e-02
7.019657e+01	1.170670e-02
7.043098e+01	1.170530e-02
7.065440e+01	1.170670e-02
7.088239e+01	1.170930e-02
7.112083e+01	1.170580e-02
7.134414e+01	1.170570e-02
7.157027e+01	1.170720e-02
7.179767e+01	1.170640e-02
7.202556e+01	1.170730e-02
7.225564e+01	1.170730e-02
7.248461e+01	1.170860e-02
7.271480e+01	1.170740e-02
7.294338e+01	1.170970e-02
7.318614e+01	1.170830e-02
7.342870e+01	1.170900e-02
7.367432e+01	1.171300e-02
7.391680e+01	1.171240e-02
7.414279e+01	1.171250e-02
7.437253e+01	1.171130e-02
7.460078e+01	1.171270e-02
7.483000e+01	1.171200e-02
7.506069e+01	1.171230e-02
7.529324e+01	1.171340e-02
7.551728e+01	1.171480e-02
7.574764e+01	1.171440e-02
7.597214e+01	1.171500e-02
7.623853e+01	1.171400e-02
7.646824e+01	1.171510e-02
7.669607e+01	1.171360e-02
7.692679e+01	1.171250e-02
7.715467e+01	1.171590e-02
7.739373e+01	1.171390e-02
7.761806e+01	1.171730e-02
7.784447e+01	1.171720e-02
7.807196e+01	1.171570e-02
7.829873e+01	1.171820e-02
7.852678e+01	1.171680e-02
7.875669e+01	1.171990e-02
7.898679e+01	1.171800e-02
7.921392e+01	1.171920e-02
7.944096e+01	1.172040e-02
7.966833e+01	1.172210e-02
7.989609e+01	1.172090e-02
8.012342e+01	1.172340e-02
8.035013e+01	1.172380e-02
8.058227e+01	1.172210e-02
8.081114e+01	1.171970e-02
8.103906e+01	1.172480e-02
8.126868e+01	1.172520e-02
8.150884e+01	1.172280e-02
8.173348e+01	1.172490e-02
8.196257e+01	1.172290e-02
8.219233e+01	1.172330e-02
8.241808e+01	1.172340e-02
8.264753e+01	1.172440e-02
8.287969e+01	1.172420e-02
8.310347e+01	1.172500e-02
8.333370e+01	1.172210e-02
8.355766e+01	1.172610e-02
8.378542e+01	1.172290e-02
8.401364e+01	1.172130e-02
8.424267e+01	1.172200e-02
8.447167e+01	1.172430e-02
8.469813e+01	1.172280e-02
8.492866e+01	1.172530e-02
8.515821e+01	1.172420e-02
8.538741e+01	1.172510e-02
8.561714e+01	1.172400e-02
8.584473e+01	1.172410e-02
8.607384e+01	1.172470e-02
8.630262e+01	1.172530e-02
8.653197e+01	1.172670e-02
8.675987e+01	1.172700e-02
8.698754e+01	1.172640e-02
8.721472e+01	1.172790e-02
8.744172e+01	1.172830e-02
8.766504e+01	1.172730e-02
8.789351e+01	1.172730e-02
8.812287e+01	1.172850e-02
8.835166e+01	1.172930e-02
8.858111e+01	1.172970e-02
8.880950e+01	1.172990e-02
8.903891e+01	1.172610e-02
8.926673e+01	1.172860e-02
8.949666e+01	1.132640e-02
8.972420e+01	1.133500e-02
8.995065e+01	1.134460e-02
9.017861e+01	1.134960e-02
9.040695e+01	1.135160e-02
9.063661e+01	1.135160e-02
9.086438e+01	1.135270e-02
9.108968e+01	1.135380e-02
9.135657e+01	1.135790e-02
9.158474e+01	1.135660e-02
9.182577e+01	1.135770e-02
9.204893e+01	1.135720e-02
9.227708e+01	1.135890e-02
9.250368e+01	1.135780e-02
9.273227e+01	1.135720e-02
9.296285e+01	1.135640e-02
9.319123e+01	1.135490e-02
