Tiempo	Corriente
8.583010e-01	1.073780e-02
1.119425e+00	1.072750e-02
1.364400e+00	1.072340e-02
1.608637e+00	1.071980e-02
1.851961e+00	1.071610e-02
2.099908e+00	1.071330e-02
2.343782e+00	1.071200e-02
2.571313e+00	1.071010e-02
2.797948e+00	1.071040e-02
3.025854e+00	1.071010e-02
3.252244e+00	1.071190e-02
3.479173e+00	1.070990e-02
3.708128e+00	1.070840e-02
3.935074e+00	1.070920e-02
4.173015e+00	1.070890e-02
4.396701e+00	1.071010e-02
4.623240e+00	1.071030e-02
4.851234e+00	1.070930e-02
5.079298e+00	1.070930e-02
5.306983e+00	1.070480e-02
5.534697e+00	1.070750e-02
5.762168e+00	1.070780e-02
5.988463e+00	1.070630e-02
6.214256e+00	1.070730e-02
6.445238e+00	1.070700e-02
6.670813e+00	1.070840e-02
6.897762e+00	1.070680e-02
7.126143e+00	1.070830e-02
7.354125e+00	1.070650e-02
7.582928e+00	1.070430e-02
7.811239e+00	1.070800e-02
8.036376e+00	1.070690e-02
8.267779e+00	1.070540e-02
8.493206e+00	1.070800e-02
8.720319e+00	1.070890e-02
8.947223e+00	1.070540e-02
9.175227e+00	1.070610e-02
9.404129e+00	1.070620e-02
9.633029e+00	1.070590e-02
9.861163e+00	1.070750e-02
1.009106e+01	1.070740e-02
1.031640e+01	1.070910e-02
1.054317e+01	1.070800e-02
1.077002e+01	1.070790e-02
1.099838e+01	1.070860e-02
1.122733e+01	1.070430e-02
1.147735e+01	1.070590e-02
1.170209e+01	1.070510e-02
1.192802e+01	1.070580e-02
1.215423e+01	1.070270e-02
1.238635e+01	1.070750e-02
1.261065e+01	1.070770e-02
1.283824e+01	1.070740e-02
1.306585e+01	1.070800e-02
1.329247e+01	1.070850e-02
1.352014e+01	1.070660e-02
1.374737e+01	1.070610e-02
1.397449e+01	1.070590e-02
1.420019e+01	1.070300e-02
1.443223e+01	1.070500e-02
1.465613e+01	1.070600e-02
1.488369e+01	1.070770e-02
1.511202e+01	1.070550e-02
1.533926e+01	1.070510e-02
1.556731e+01	1.070740e-02
1.583471e+01	1.070690e-02
1.606299e+01	1.070860e-02
1.628962e+01	1.071000e-02
1.651509e+01	1.070730e-02
1.674331e+01	1.070650e-02
1.697372e+01	1.070640e-02
1.720086e+01	1.070880e-02
1.742928e+01	1.070890e-02
1.765300e+01	1.070600e-02
1.788024e+01	1.070650e-02
1.810831e+01	1.070550e-02
1.833919e+01	1.070510e-02
1.856925e+01	1.070630e-02
1.879651e+01	1.070660e-02
1.902382e+01	1.070640e-02
1.925229e+01	1.070480e-02
1.948019e+01	1.070430e-02
1.972196e+01	1.070620e-02
1.994621e+01	1.070780e-02
2.017404e+01	1.070680e-02
2.040219e+01	1.070560e-02
2.062832e+01	1.070690e-02
2.085727e+01	1.070860e-02
2.108311e+01	1.070860e-02
2.131035e+01	1.070930e-02
2.153782e+01	1.070500e-02
2.176946e+01	1.070660e-02
2.200176e+01	1.070320e-02
2.222762e+01	1.070670e-02
2.245414e+01	1.070510e-02
2.268220e+01	1.070590e-02
2.290820e+01	1.070870e-02
2.313393e+01	1.070590e-02
2.336232e+01	1.070390e-02
2.358927e+01	1.070520e-02
2.381497e+01	1.070610e-02
2.404108e+01	1.070520e-02
2.426779e+01	1.070610e-02
2.449394e+01	1.070800e-02
2.471935e+01	1.071080e-02
2.494523e+01	1.070930e-02
2.517306e+01	1.070610e-02
2.540040e+01	1.070780e-02
2.562750e+01	1.070690e-02
2.585249e+01	1.070620e-02
2.607808e+01	1.071100e-02
2.630370e+01	1.071130e-02
2.655085e+01	1.071300e-02
