Tiempo	Corriente
8.395630e-01	1.060790e-02
1.100123e+00	1.059880e-02
1.345579e+00	1.059300e-02
1.590402e+00	1.058900e-02
1.833386e+00	1.058700e-02
2.094662e+00	1.058680e-02
2.338244e+00	1.058690e-02
2.563957e+00	1.058740e-02
2.795323e+00	1.058510e-02
3.040663e+00	1.058830e-02
3.264300e+00	1.058610e-02
3.493632e+00	1.058960e-02
3.719537e+00	1.058660e-02
3.945699e+00	1.058650e-02
4.170832e+00	1.058390e-02
4.400583e+00	1.058520e-02
4.630071e+00	1.058430e-02
4.859893e+00	1.058350e-02
5.088000e+00	1.058050e-02
5.320574e+00	1.058080e-02
5.555756e+00	1.057990e-02
5.784665e+00	1.058130e-02
6.017414e+00	1.058110e-02
6.241391e+00	1.058010e-02
6.467577e+00	1.058040e-02
6.694645e+00	1.058020e-02
6.923984e+00	1.058360e-02
7.149688e+00	1.057990e-02
7.396364e+00	1.058230e-02
7.619385e+00	1.058220e-02
7.846863e+00	1.058300e-02
8.074263e+00	1.057980e-02
8.305737e+00	1.058050e-02
8.528942e+00	1.057970e-02
8.758955e+00	1.057870e-02
8.984018e+00	1.058050e-02
9.209929e+00	1.182660e-02
9.436660e+00	1.203420e-02
9.666400e+00	1.208240e-02
9.890557e+00	1.211010e-02
1.011784e+01	1.211320e-02
1.034881e+01	1.211610e-02
1.057525e+01	1.211740e-02
1.080491e+01	1.212160e-02
1.103081e+01	1.212470e-02
1.126314e+01	1.211880e-02
1.148791e+01	1.212420e-02
1.171759e+01	1.211900e-02
1.194283e+01	1.212540e-02
1.216854e+01	1.212600e-02
1.239488e+01	1.211760e-02
1.262798e+01	1.211970e-02
1.285515e+01	1.211690e-02
1.308031e+01	1.211730e-02
1.330682e+01	1.212100e-02
1.353397e+01	1.211890e-02
1.376053e+01	1.211800e-02
1.398592e+01	1.211290e-02
1.421170e+01	1.211660e-02
1.444119e+01	1.211320e-02
1.466741e+01	1.211580e-02
1.489450e+01	1.211870e-02
1.512101e+01	1.211350e-02
1.534948e+01	1.211550e-02
1.557950e+01	1.211780e-02
1.584597e+01	1.211960e-02
1.607443e+01	1.210910e-02
1.630269e+01	1.211380e-02
1.652973e+01	1.211220e-02
1.675892e+01	1.211220e-02
1.698674e+01	1.211910e-02
1.721446e+01	1.211650e-02
1.744598e+01	1.211750e-02
1.766998e+01	1.211720e-02
1.789809e+01	1.211380e-02
1.812595e+01	1.211410e-02
1.834940e+01	1.211100e-02
1.857466e+01	1.211030e-02
1.880380e+01	1.210640e-02
1.902978e+01	1.210920e-02
1.925604e+01	1.211330e-02
1.948311e+01	1.210740e-02
1.971325e+01	1.211030e-02
1.993889e+01	1.210610e-02
2.016510e+01	1.210760e-02
2.039635e+01	1.210510e-02
2.062588e+01	1.210760e-02
2.085145e+01	1.210280e-02
2.107797e+01	1.210810e-02
2.130459e+01	1.211000e-02
2.152990e+01	1.210720e-02
2.176356e+01	1.210990e-02
2.198889e+01	1.211040e-02
2.221767e+01	1.210690e-02
2.246085e+01	1.210790e-02
2.268494e+01	1.210590e-02
2.290992e+01	1.210840e-02
2.313582e+01	1.210370e-02
2.336763e+01	1.210490e-02
2.359046e+01	1.210390e-02
2.381595e+01	1.210210e-02
2.404193e+01	1.210410e-02
2.426828e+01	1.211010e-02
2.449589e+01	1.210510e-02
2.472424e+01	1.210460e-02
2.495247e+01	1.210840e-02
2.518485e+01	1.211040e-02
2.540876e+01	1.210610e-02
2.565547e+01	1.210600e-02
2.588664e+01	1.210260e-02
2.611292e+01	1.210420e-02
2.634052e+01	1.210140e-02
2.656585e+01	1.210090e-02
2.678982e+01	1.209640e-02
2.702126e+01	1.210330e-02
2.724652e+01	1.210380e-02
2.749491e+01	1.210460e-02
2.771940e+01	1.210570e-02
2.794463e+01	1.210130e-02
2.817097e+01	1.210120e-02
2.839786e+01	1.209430e-02
2.862774e+01	1.210040e-02
2.885431e+01	1.210010e-02
2.908081e+01	1.209770e-02
2.930443e+01	1.209470e-02
2.953568e+01	1.210060e-02
2.978066e+01	1.209930e-02
3.002300e+01	1.209790e-02
3.024726e+01	1.210230e-02
3.048099e+01	1.209700e-02
3.072454e+01	1.210030e-02
3.098830e+01	1.210470e-02
3.121648e+01	1.210470e-02
3.144300e+01	1.210450e-02
3.167669e+01	1.210060e-02
3.190010e+01	1.210540e-02
3.212859e+01	1.210570e-02
3.236006e+01	1.209960e-02
3.258371e+01	1.209830e-02
3.281583e+01	1.209230e-02
3.304509e+01	1.209960e-02
3.327375e+01	1.209890e-02
3.350290e+01	1.209560e-02
3.373072e+01	1.209410e-02
3.395900e+01	1.210120e-02
3.418364e+01	1.209860e-02
3.441086e+01	1.209690e-02
3.464126e+01	1.209480e-02
3.486409e+01	1.209700e-02
3.509187e+01	1.209650e-02
3.532039e+01	1.209680e-02
3.555067e+01	1.209260e-02
3.582177e+01	1.209490e-02
3.606579e+01	1.209830e-02
3.628994e+01	1.210080e-02
3.651617e+01	1.209530e-02
3.674624e+01	1.209800e-02
3.697751e+01	1.209160e-02
3.720181e+01	1.209030e-02
3.742967e+01	1.209130e-02
3.765881e+01	1.209210e-02
3.788795e+01	1.208810e-02
3.811739e+01	1.209400e-02
3.834511e+01	1.209640e-02
3.857290e+01	1.210110e-02
3.880030e+01	1.209830e-02
3.903401e+01	1.209800e-02
3.925779e+01	1.209270e-02
3.948595e+01	1.209530e-02
3.971491e+01	1.209540e-02
3.994261e+01	1.209380e-02
4.016941e+01	1.209620e-02
4.040096e+01	1.209350e-02
4.062932e+01	1.209720e-02
4.085781e+01	1.209740e-02
4.108897e+01	1.209360e-02
4.131370e+01	1.210000e-02
4.154387e+01	1.209540e-02
4.177634e+01	1.209640e-02
4.201965e+01	1.209380e-02
4.224448e+01	1.209560e-02
4.247205e+01	1.209110e-02
4.270246e+01	1.209420e-02
4.293196e+01	1.209370e-02
4.316074e+01	1.208980e-02
4.338793e+01	1.209360e-02
4.361748e+01	1.209060e-02
4.384323e+01	1.209670e-02
4.407181e+01	1.209760e-02
4.429976e+01	1.209580e-02
4.452603e+01	1.209470e-02
4.475601e+01	1.209190e-02
4.498904e+01	1.209220e-02
4.523342e+01	1.208880e-02
