Tiempo	Corriente
8.814640e-01	1.056650e-02
1.181494e+00	1.055630e-02
1.424576e+00	1.055330e-02
1.677073e+00	1.055140e-02
1.920216e+00	1.054780e-02
2.172130e+00	1.054660e-02
2.417061e+00	1.054520e-02
2.661360e+00	1.054350e-02
2.905723e+00	1.054530e-02
3.148956e+00	1.054140e-02
3.372894e+00	1.054160e-02
3.602871e+00	1.054190e-02
3.827636e+00	1.054040e-02
4.057286e+00	1.054040e-02
4.287524e+00	1.054060e-02
4.533615e+00	1.054080e-02
4.756413e+00	1.054030e-02
4.985255e+00	1.053880e-02
5.213760e+00	1.053920e-02
5.442535e+00	1.053950e-02
5.671763e+00	1.053970e-02
5.899841e+00	1.054040e-02
6.127729e+00	1.053740e-02
6.356874e+00	1.053880e-02
6.594032e+00	1.053880e-02
6.822233e+00	1.054100e-02
7.050366e+00	1.054020e-02
7.276187e+00	1.053900e-02
7.507259e+00	1.053720e-02
7.738374e+00	1.053820e-02
7.963060e+00	1.053650e-02
8.192096e+00	1.053730e-02
8.415948e+00	1.053420e-02
8.642261e+00	1.053830e-02
8.868996e+00	1.053620e-02
9.098601e+00	1.053700e-02
9.330530e+00	1.053740e-02
9.554959e+00	1.071830e-02
9.788562e+00	1.096280e-02
1.001985e+01	1.116730e-02
1.024751e+01	1.132970e-02
1.047730e+01	1.143610e-02
1.070661e+01	1.151760e-02
1.093792e+01	1.157630e-02
1.116386e+01	1.161490e-02
1.139513e+01	1.164110e-02
1.164475e+01	1.167160e-02
1.186852e+01	1.169400e-02
1.209604e+01	1.171300e-02
1.234478e+01	1.172550e-02
1.257420e+01	1.173710e-02
1.280196e+01	1.174760e-02
1.302931e+01	1.175400e-02
1.325444e+01	1.176220e-02
1.348753e+01	1.177070e-02
1.371263e+01	1.177420e-02
1.394122e+01	1.177970e-02
1.416732e+01	1.177970e-02
1.439662e+01	1.178570e-02
1.462216e+01	1.178560e-02
1.484782e+01	1.179670e-02
1.507372e+01	1.180080e-02
1.530253e+01	1.180080e-02
1.552710e+01	1.180620e-02
1.579251e+01	1.180820e-02
1.602184e+01	1.181120e-02
1.624868e+01	1.181120e-02
1.647515e+01	1.181710e-02
1.670474e+01	1.182120e-02
1.693485e+01	1.182010e-02
1.716186e+01	1.182320e-02
1.738954e+01	1.183030e-02
1.762143e+01	1.182990e-02
1.784480e+01	1.183030e-02
1.807201e+01	1.182730e-02
1.830624e+01	1.182550e-02
1.853119e+01	1.182650e-02
1.875852e+01	1.182880e-02
1.898858e+01	1.183250e-02
1.921437e+01	1.183000e-02
1.945917e+01	1.183230e-02
1.968234e+01	1.183790e-02
1.990625e+01	1.184230e-02
2.013235e+01	1.183440e-02
2.037992e+01	1.183430e-02
2.060622e+01	1.183830e-02
2.083523e+01	1.183110e-02
2.106062e+01	1.183790e-02
2.128469e+01	1.183850e-02
2.151156e+01	1.183740e-02
2.173950e+01	1.183840e-02
2.196388e+01	1.183530e-02
2.218951e+01	1.183940e-02
2.242054e+01	1.183710e-02
2.264892e+01	1.183720e-02
2.287331e+01	1.183550e-02
2.310038e+01	1.183500e-02
2.332728e+01	1.183260e-02
2.355448e+01	1.183370e-02
2.378286e+01	1.183510e-02
2.401129e+01	1.183320e-02
2.423747e+01	1.183540e-02
2.446571e+01	1.183690e-02
2.469144e+01	1.184200e-02
2.491810e+01	1.183680e-02
2.514501e+01	1.183810e-02
2.537100e+01	1.183960e-02
2.559698e+01	1.184190e-02
2.582735e+01	1.183980e-02
2.605670e+01	1.184070e-02
2.628235e+01	1.183740e-02
2.650802e+01	1.183910e-02
2.673457e+01	1.183740e-02
2.696043e+01	1.184000e-02
2.718415e+01	1.184120e-02
2.741138e+01	1.183990e-02
2.764005e+01	1.183650e-02
2.786903e+01	1.183960e-02
2.809506e+01	1.183690e-02
2.831873e+01	1.183120e-02
2.854195e+01	1.183540e-02
2.877040e+01	1.183670e-02
2.900415e+01	1.183560e-02
2.922717e+01	1.183710e-02
2.945314e+01	1.183870e-02
2.967915e+01	1.183700e-02
2.990456e+01	1.183770e-02
3.013621e+01	1.184000e-02
3.036025e+01	1.183710e-02
3.062661e+01	1.183330e-02
3.088997e+01	1.183650e-02
3.112158e+01	1.183740e-02
3.136572e+01	1.183680e-02
3.163031e+01	1.183670e-02
3.187362e+01	1.183840e-02
3.209745e+01	1.183810e-02
3.232310e+01	1.183630e-02
3.254846e+01	1.183620e-02
3.277852e+01	1.183680e-02
3.300317e+01	1.183540e-02
3.322974e+01	1.183890e-02
3.345531e+01	1.183140e-02
3.367947e+01	1.183390e-02
3.390484e+01	1.183150e-02
3.412988e+01	1.182940e-02
3.435382e+01	1.182750e-02
3.458297e+01	1.182800e-02
3.481346e+01	1.183060e-02
3.503781e+01	1.183010e-02
3.526365e+01	1.182770e-02
3.549250e+01	1.183010e-02
3.573677e+01	1.183440e-02
3.596136e+01	1.183010e-02
3.618759e+01	1.182850e-02
3.641532e+01	1.183070e-02
3.664468e+01	1.183270e-02
3.688927e+01	1.182960e-02
3.711433e+01	1.183290e-02
3.734010e+01	1.183430e-02
3.757226e+01	1.183290e-02
3.780035e+01	1.183340e-02
3.802585e+01	1.183370e-02
