Tiempo	Corriente
8.672110e-01	1.055050e-02
1.130769e+00	1.054080e-02
1.375699e+00	1.054180e-02
1.605659e+00	1.053630e-02
1.845523e+00	1.053370e-02
2.096773e+00	1.052990e-02
2.340422e+00	1.052900e-02
2.565215e+00	1.052900e-02
2.793308e+00	1.052920e-02
3.020134e+00	1.052840e-02
3.253213e+00	1.052770e-02
3.485889e+00	1.052640e-02
3.729004e+00	1.052370e-02
3.953373e+00	1.052340e-02
4.186912e+00	1.052560e-02
4.411064e+00	1.052660e-02
4.637851e+00	1.052490e-02
4.868021e+00	1.052480e-02
5.093657e+00	1.052360e-02
5.329205e+00	1.052370e-02
5.552260e+00	1.052310e-02
5.782514e+00	1.052190e-02
6.010640e+00	1.052340e-02
6.258265e+00	1.052420e-02
6.481247e+00	1.052270e-02
6.707724e+00	1.052530e-02
6.933705e+00	1.052470e-02
7.161216e+00	1.052550e-02
7.394394e+00	1.052180e-02
7.618625e+00	1.052440e-02
7.845189e+00	1.052340e-02
8.071321e+00	1.052460e-02
8.301428e+00	1.052430e-02
8.538985e+00	1.052310e-02
8.763400e+00	1.052280e-02
8.991953e+00	1.052620e-02
9.222154e+00	1.052520e-02
9.451489e+00	1.052720e-02
9.678259e+00	1.052320e-02
9.905495e+00	1.052370e-02
1.013246e+01	1.052520e-02
1.036191e+01	1.052170e-02
1.059018e+01	1.052200e-02
1.081847e+01	1.052400e-02
1.104712e+01	1.052120e-02
1.127562e+01	1.052210e-02
1.150360e+01	1.052400e-02
1.173069e+01	1.052190e-02
1.195702e+01	1.052190e-02
1.218260e+01	1.052180e-02
1.241529e+01	1.052210e-02
1.264669e+01	1.052160e-02
1.287310e+01	1.052080e-02
1.310535e+01	1.052200e-02
1.334917e+01	1.052090e-02
1.357454e+01	1.051980e-02
1.380443e+01	1.051870e-02
1.403743e+01	1.051930e-02
1.426744e+01	1.052100e-02
1.449188e+01	1.052270e-02
1.471840e+01	1.052320e-02
1.494459e+01	1.052230e-02
1.517804e+01	1.052380e-02
1.540247e+01	1.052280e-02
1.566993e+01	1.052270e-02
1.590231e+01	1.052460e-02
1.612701e+01	1.052190e-02
1.635352e+01	1.052220e-02
1.658621e+01	1.052020e-02
1.680963e+01	1.051990e-02
1.703961e+01	1.052110e-02
1.727144e+01	1.051990e-02
1.750129e+01	1.051870e-02
1.773065e+01	1.051670e-02
1.795706e+01	1.051610e-02
1.818552e+01	1.051880e-02
1.843184e+01	1.051760e-02
1.865416e+01	1.051730e-02
1.888214e+01	1.051840e-02
1.911487e+01	1.051440e-02
1.934234e+01	1.051510e-02
1.957126e+01	1.051650e-02
1.979741e+01	1.051450e-02
2.002561e+01	1.051840e-02
2.025472e+01	1.052080e-02
2.048322e+01	1.052000e-02
2.071236e+01	1.052280e-02
2.093918e+01	1.052100e-02
2.116822e+01	1.052330e-02
2.139486e+01	1.052080e-02
2.162251e+01	1.051850e-02
2.184878e+01	1.051840e-02
2.207437e+01	1.052200e-02
2.230131e+01	1.052090e-02
2.253029e+01	1.052400e-02
2.276103e+01	1.052160e-02
2.298753e+01	1.052330e-02
2.321696e+01	1.052160e-02
2.344414e+01	1.052320e-02
2.367080e+01	1.052180e-02
2.390304e+01	1.052140e-02
2.412752e+01	1.052170e-02
2.436845e+01	1.051910e-02
2.461150e+01	1.052160e-02
2.483617e+01	1.052340e-02
2.506280e+01	1.052150e-02
2.529395e+01	1.051950e-02
2.552134e+01	1.052190e-02
2.574882e+01	1.052100e-02
2.597714e+01	1.052120e-02
2.622310e+01	1.052270e-02
2.644662e+01	1.052210e-02
2.667704e+01	1.052200e-02
2.690436e+01	1.051960e-02
2.713235e+01	1.052050e-02
2.736292e+01	1.052070e-02
2.758954e+01	1.052180e-02
2.782211e+01	1.052240e-02
2.805122e+01	1.051990e-02
2.827833e+01	1.052120e-02
2.850683e+01	1.052960e-02
2.873702e+01	1.053820e-02
2.896675e+01	1.054380e-02
2.919408e+01	1.054870e-02
2.942338e+01	1.055530e-02
2.965569e+01	1.056250e-02
2.989994e+01	1.057000e-02
3.012238e+01	1.057690e-02
3.035433e+01	1.058400e-02
3.059853e+01	1.058890e-02
3.086579e+01	1.059370e-02
3.109754e+01	1.059640e-02
3.132235e+01	1.060320e-02
3.155467e+01	1.060610e-02
3.177821e+01	1.061560e-02
3.200511e+01	1.061960e-02
3.223447e+01	1.062510e-02
3.246314e+01	1.063110e-02
3.268772e+01	1.063740e-02
3.291522e+01	1.064030e-02
3.314204e+01	1.064650e-02
3.337070e+01	1.065020e-02
3.359850e+01	1.065780e-02
3.382593e+01	1.065960e-02
3.405734e+01	1.066730e-02
3.430043e+01	1.067290e-02
3.452628e+01	1.067480e-02
3.475486e+01	1.068250e-02
3.498301e+01	1.068800e-02
3.521125e+01	1.069410e-02
3.544031e+01	1.069910e-02
3.566666e+01	1.070590e-02
3.589428e+01	1.070980e-02
3.612176e+01	1.071520e-02
3.635048e+01	1.072090e-02
3.657711e+01	1.072980e-02
3.680914e+01	1.073340e-02
3.703289e+01	1.073960e-02
3.727868e+01	1.074940e-02
3.752249e+01	1.075470e-02
3.776536e+01	1.076000e-02
3.798968e+01	1.075910e-02
3.821903e+01	1.076590e-02
3.844684e+01	1.077420e-02
3.869714e+01	1.077980e-02
3.892839e+01	1.078660e-02
3.915193e+01	1.078850e-02
3.937799e+01	1.079380e-02
3.960732e+01	1.079790e-02
3.983995e+01	1.079870e-02
4.006476e+01	1.080100e-02
4.029013e+01	1.080730e-02
4.052217e+01	1.081050e-02
4.076677e+01	1.081340e-02
4.099005e+01	1.081290e-02
4.123788e+01	1.081490e-02
4.148153e+01	1.082000e-02
4.170576e+01	1.082870e-02
4.195640e+01	1.083130e-02
4.217895e+01	1.083570e-02
4.240726e+01	1.083790e-02
4.263829e+01	1.083980e-02
4.287014e+01	1.084360e-02
4.309389e+01	1.084660e-02
4.332226e+01	1.084940e-02
4.355166e+01	1.085720e-02
4.378554e+01	1.085910e-02
4.401016e+01	1.086660e-02
4.427606e+01	1.087060e-02
4.450389e+01	1.087460e-02
4.473222e+01	1.088190e-02
4.495876e+01	1.088280e-02
4.518849e+01	1.088830e-02
4.541342e+01	1.089960e-02
4.564172e+01	1.090330e-02
4.587125e+01	1.090530e-02
4.613958e+01	1.090720e-02
4.636928e+01	1.091700e-02
4.660234e+01	1.092090e-02
4.684689e+01	1.092660e-02
4.707302e+01	1.093420e-02
4.730405e+01	1.094010e-02
4.753828e+01	1.094190e-02
4.776308e+01	1.094970e-02
4.799092e+01	1.094870e-02
4.821908e+01	1.095740e-02
4.845174e+01	1.095990e-02
4.867978e+01	1.096530e-02
4.890669e+01	1.096850e-02
4.913554e+01	1.097010e-02
4.936826e+01	1.097520e-02
4.959221e+01	1.097670e-02
4.982241e+01	1.097950e-02
5.006737e+01	1.097880e-02
5.031082e+01	1.098290e-02
5.053661e+01	1.098750e-02
5.077010e+01	1.099190e-02
5.099345e+01	1.099450e-02
5.122520e+01	1.099990e-02
5.145354e+01	1.100070e-02
5.168514e+01	1.100060e-02
5.193025e+01	1.100360e-02
5.216114e+01	1.100680e-02
5.238846e+01	1.101110e-02
5.261674e+01	1.101040e-02
5.284361e+01	1.101380e-02
5.307820e+01	1.101910e-02
5.332283e+01	1.102010e-02
5.354644e+01	1.102420e-02
5.377514e+01	1.102890e-02
5.400230e+01	1.102650e-02
5.422844e+01	1.102900e-02
5.445323e+01	1.103300e-02
5.468420e+01	1.103590e-02
5.491403e+01	1.103900e-02
5.514016e+01	1.104260e-02
5.536542e+01	1.104430e-02
5.559529e+01	1.105110e-02
5.582421e+01	1.105330e-02
5.605331e+01	1.105320e-02
5.628098e+01	1.104960e-02
5.651098e+01	1.105170e-02
5.674249e+01	1.105570e-02
5.698632e+01	1.105900e-02
5.723055e+01	1.106240e-02
5.745537e+01	1.106320e-02
5.768526e+01	1.106690e-02
5.791329e+01	1.107100e-02
5.814036e+01	1.107080e-02
5.837199e+01	1.107120e-02
5.859717e+01	1.107760e-02
5.882498e+01	1.107920e-02
5.907428e+01	1.108070e-02
5.931909e+01	1.108520e-02
5.954230e+01	1.108750e-02
5.976875e+01	1.108860e-02
5.999812e+01	1.108830e-02
6.022856e+01	1.109000e-02
6.045321e+01	1.109050e-02
6.068122e+01	1.109350e-02
6.090686e+01	1.109940e-02
6.113346e+01	1.110030e-02
6.139875e+01	1.110160e-02
6.162381e+01	1.110630e-02
6.185134e+01	1.110960e-02
6.207803e+01	1.110910e-02
6.230398e+01	1.111240e-02
6.253632e+01	1.111490e-02
6.276147e+01	1.112140e-02
6.298960e+01	1.112430e-02
6.321595e+01	1.112340e-02
6.344122e+01	1.112420e-02
6.366540e+01	1.112840e-02
6.389649e+01	1.113160e-02
6.414655e+01	1.113090e-02
6.437492e+01	1.113080e-02
6.460329e+01	1.113530e-02
6.483427e+01	1.113800e-02
6.506345e+01	1.113670e-02
6.529221e+01	1.114050e-02
6.552220e+01	1.114230e-02
6.574692e+01	1.114450e-02
6.597833e+01	1.115050e-02
6.622114e+01	1.114950e-02
6.644610e+01	1.115050e-02
6.667291e+01	1.115360e-02
6.690212e+01	1.115210e-02
6.713119e+01	1.115350e-02
6.736135e+01	1.115470e-02
6.758662e+01	1.115430e-02
6.781315e+01	1.115690e-02
6.803810e+01	1.115450e-02
6.826852e+01	1.115520e-02
6.849528e+01	1.115580e-02
6.872312e+01	1.115710e-02
6.895097e+01	1.115680e-02
6.918147e+01	1.115360e-02
6.941112e+01	1.115630e-02
6.963964e+01	1.115950e-02
6.986733e+01	1.115980e-02
7.009751e+01	1.116000e-02
7.032249e+01	1.115730e-02
7.055079e+01	1.115780e-02
7.078025e+01	1.115470e-02
7.100591e+01	1.115950e-02
7.127640e+01	1.115900e-02
7.150247e+01	1.115770e-02
7.172978e+01	1.116080e-02
7.196148e+01	1.116510e-02
7.218547e+01	1.116640e-02
7.241033e+01	1.116750e-02
7.264134e+01	1.116900e-02
7.286403e+01	1.116970e-02
7.309791e+01	1.117030e-02
7.332226e+01	1.116970e-02
7.355006e+01	1.117050e-02
7.377528e+01	1.117240e-02
7.400203e+01	1.117360e-02
7.423338e+01	1.117470e-02
7.447724e+01	1.117500e-02
7.470061e+01	1.117460e-02
7.493119e+01	1.117330e-02
7.515517e+01	1.117590e-02
7.538158e+01	1.117790e-02
7.560924e+01	1.117720e-02
7.583724e+01	1.118060e-02
7.606735e+01	1.118110e-02
7.629695e+01	1.117950e-02
7.656170e+01	1.118120e-02
7.679112e+01	1.118210e-02
7.701918e+01	1.118420e-02
7.724523e+01	1.118530e-02
7.747549e+01	1.118760e-02
7.770422e+01	1.118790e-02
7.793001e+01	1.118620e-02
7.815724e+01	1.118810e-02
7.838354e+01	1.118700e-02
7.861027e+01	1.119110e-02
7.884089e+01	1.119100e-02
7.906640e+01	1.119300e-02
7.929361e+01	1.119480e-02
7.952108e+01	1.119870e-02
7.974900e+01	1.119780e-02
7.997723e+01	1.120080e-02
8.020270e+01	1.120260e-02
8.042972e+01	1.120470e-02
8.065563e+01	1.120350e-02
8.088948e+01	1.120640e-02
8.111418e+01	1.120760e-02
8.134962e+01	1.121160e-02
8.157533e+01	1.121070e-02
8.180327e+01	1.121300e-02
8.202960e+01	1.121480e-02
8.226092e+01	1.121590e-02
8.250111e+01	1.121900e-02
8.272590e+01	1.122290e-02
8.295427e+01	1.122180e-02
8.318040e+01	1.122580e-02
8.340955e+01	1.123050e-02
8.364038e+01	1.123330e-02
8.388550e+01	1.123060e-02
8.410943e+01	1.123120e-02
8.433732e+01	1.123090e-02
8.456518e+01	1.122670e-02
8.479240e+01	1.122880e-02
8.502266e+01	1.122810e-02
8.525215e+01	1.122880e-02
8.547998e+01	1.123400e-02
8.570651e+01	1.123560e-02
8.593353e+01	1.123330e-02
8.616448e+01	1.123590e-02
8.638849e+01	1.123720e-02
8.662048e+01	1.123770e-02
8.684559e+01	1.123480e-02
8.708143e+01	1.124000e-02
8.730706e+01	1.124180e-02
8.753634e+01	1.123770e-02
8.776343e+01	1.124120e-02
8.799176e+01	1.123830e-02
