Tiempo	Corriente
2.872337e+00	1.071020e-02
3.115140e+00	1.070920e-02
3.342139e+00	1.070660e-02
3.573703e+00	1.071030e-02
3.807627e+00	1.070910e-02
4.058192e+00	1.070810e-02
4.302164e+00	1.070630e-02
4.525735e+00	1.070520e-02
4.759163e+00	1.070620e-02
5.003048e+00	1.070760e-02
5.227055e+00	1.070520e-02
5.456590e+00	1.070520e-02
5.683558e+00	1.070610e-02
5.911717e+00	1.070740e-02
6.141658e+00	1.070580e-02
6.370083e+00	1.070620e-02
6.599435e+00	1.070620e-02
6.824166e+00	1.070540e-02
7.059096e+00	1.070540e-02
7.282315e+00	1.070690e-02
7.512605e+00	1.070580e-02
7.738962e+00	1.070730e-02
7.974098e+00	1.070910e-02
8.196572e+00	1.070730e-02
8.425838e+00	1.070330e-02
8.654930e+00	1.070590e-02
8.885383e+00	1.070560e-02
9.115112e+00	1.070600e-02
9.345183e+00	1.070490e-02
9.578369e+00	1.070490e-02
9.803153e+00	1.070510e-02
1.003130e+01	1.070870e-02
1.025827e+01	1.070510e-02
1.048841e+01	1.070690e-02
1.071757e+01	1.070550e-02
1.094968e+01	1.070470e-02
1.118177e+01	1.070460e-02
1.143110e+01	1.070500e-02
1.166081e+01	1.070440e-02
1.188935e+01	1.070540e-02
1.211773e+01	1.070740e-02
1.234495e+01	1.070700e-02
1.258670e+01	1.070650e-02
1.281121e+01	1.070680e-02
1.303680e+01	1.070670e-02
1.326883e+01	1.070600e-02
1.349269e+01	1.070400e-02
1.372024e+01	1.070250e-02
1.395087e+01	1.070290e-02
1.417816e+01	1.070410e-02
1.440667e+01	1.070560e-02
1.463515e+01	1.070530e-02
1.486392e+01	1.070340e-02
1.509179e+01	1.070430e-02
1.532076e+01	1.070640e-02
1.554918e+01	1.070520e-02
1.581921e+01	1.070480e-02
1.604534e+01	1.070410e-02
1.627354e+01	1.070420e-02
1.649958e+01	1.070310e-02
1.672613e+01	1.070490e-02
1.695878e+01	1.070320e-02
1.720442e+01	1.070680e-02
1.744706e+01	1.070460e-02
1.767234e+01	1.070500e-02
1.790418e+01	1.070210e-02
1.814910e+01	1.070180e-02
1.839399e+01	1.070280e-02
1.863624e+01	1.070390e-02
1.886092e+01	1.070370e-02
1.908883e+01	1.070580e-02
1.931747e+01	1.070660e-02
1.954591e+01	1.070430e-02
1.978438e+01	1.070510e-02
2.002712e+01	1.070510e-02
2.025193e+01	1.070670e-02
2.048239e+01	1.070730e-02
2.072924e+01	1.070540e-02
2.095387e+01	1.070620e-02
2.118017e+01	1.070770e-02
2.140922e+01	1.070500e-02
2.163899e+01	1.070500e-02
2.187185e+01	1.070440e-02
2.209636e+01	1.070350e-02
2.232446e+01	1.070120e-02
2.255172e+01	1.070180e-02
2.278005e+01	1.070220e-02
2.301443e+01	1.070280e-02
2.325841e+01	1.070390e-02
2.348207e+01	1.070490e-02
2.371410e+01	1.070560e-02
2.394397e+01	1.070400e-02
2.417356e+01	1.070430e-02
2.440618e+01	1.070430e-02
2.463075e+01	1.070480e-02
2.486316e+01	1.070810e-02
2.508813e+01	1.070650e-02
2.532031e+01	1.070830e-02
2.556422e+01	1.070860e-02
2.580852e+01	1.070910e-02
2.605282e+01	1.071020e-02
2.627569e+01	1.071220e-02
2.650804e+01	1.071200e-02
2.673229e+01	1.071370e-02
2.696505e+01	1.071790e-02
2.720916e+01	1.071460e-02
2.743202e+01	1.072020e-02
2.766437e+01	1.072160e-02
2.789329e+01	1.072170e-02
2.812790e+01	1.072310e-02
2.837157e+01	1.072530e-02
2.859684e+01	1.072630e-02
2.884406e+01	1.072490e-02
2.906851e+01	1.072530e-02
2.929562e+01	1.072570e-02
2.952304e+01	1.072840e-02
2.975095e+01	1.072720e-02
2.997819e+01	1.072780e-02
3.021076e+01	1.072710e-02
3.043882e+01	1.072880e-02
3.066791e+01	1.073100e-02
3.093538e+01	1.072940e-02
3.116234e+01	1.073030e-02
3.139057e+01	1.073140e-02
3.161958e+01	1.073030e-02
3.184598e+01	1.073200e-02
3.207685e+01	1.073300e-02
3.230591e+01	1.073320e-02
3.253508e+01	1.073190e-02
3.276299e+01	1.073230e-02
3.299376e+01	1.073430e-02
3.322472e+01	1.073460e-02
3.345490e+01	1.073470e-02
3.368317e+01	1.073660e-02
3.391606e+01	1.073950e-02
3.413861e+01	1.073760e-02
3.436644e+01	1.074040e-02
3.459615e+01	1.073850e-02
3.483319e+01	1.074230e-02
3.507819e+01	1.074250e-02
3.530212e+01	1.074580e-02
3.553102e+01	1.074490e-02
3.576018e+01	1.074590e-02
3.598685e+01	1.074560e-02
3.621238e+01	1.074730e-02
3.643877e+01	1.074780e-02
3.667205e+01	1.074940e-02
3.689670e+01	1.075060e-02
3.712725e+01	1.075010e-02
3.737518e+01	1.075350e-02
3.759993e+01	1.075340e-02
3.782682e+01	1.075570e-02
3.805423e+01	1.075540e-02
3.828084e+01	1.075510e-02
3.850894e+01	1.075670e-02
3.873602e+01	1.075860e-02
3.896499e+01	1.075800e-02
3.919546e+01	1.075830e-02
3.942333e+01	1.075620e-02
3.964997e+01	1.075810e-02
3.987794e+01	1.075900e-02
4.010947e+01	1.076130e-02
4.033806e+01	1.076160e-02
4.056481e+01	1.076230e-02
4.081408e+01	1.076480e-02
4.105874e+01	1.076220e-02
4.128211e+01	1.076410e-02
4.151041e+01	1.076380e-02
4.174282e+01	1.076560e-02
4.198605e+01	1.076540e-02
4.220972e+01	1.076340e-02
4.243803e+01	1.076460e-02
4.266484e+01	1.076750e-02
4.291208e+01	1.076870e-02
4.313723e+01	1.076690e-02
4.336638e+01	1.076660e-02
4.359473e+01	1.076800e-02
4.384358e+01	1.076640e-02
4.406771e+01	1.076620e-02
4.431787e+01	1.076530e-02
4.454159e+01	1.076740e-02
4.476890e+01	1.076690e-02
4.500419e+01	1.076740e-02
4.522912e+01	1.076920e-02
4.545655e+01	1.077130e-02
4.568792e+01	1.076810e-02
4.591758e+01	1.076980e-02
4.618528e+01	1.076880e-02
4.641791e+01	1.077060e-02
4.664889e+01	1.077040e-02
4.689807e+01	1.077070e-02
4.712152e+01	1.077170e-02
4.734932e+01	1.077050e-02
4.757945e+01	1.077190e-02
4.780913e+01	1.077290e-02
4.803196e+01	1.077110e-02
4.826378e+01	1.077270e-02
4.849184e+01	1.077270e-02
4.871882e+01	1.077350e-02
4.894864e+01	1.077490e-02
4.917702e+01	1.077530e-02
4.940623e+01	1.077430e-02
4.963435e+01	1.077600e-02
4.986362e+01	1.077720e-02
5.010122e+01	1.077700e-02
5.032494e+01	1.077700e-02
5.055396e+01	1.077580e-02
5.077986e+01	1.077650e-02
5.100933e+01	1.078100e-02
5.124139e+01	1.078190e-02
5.146855e+01	1.078190e-02
5.169725e+01	1.078130e-02
5.192542e+01	1.078400e-02
5.215705e+01	1.078410e-02
5.238380e+01	1.078440e-02
5.261299e+01	1.078540e-02
5.284473e+01	1.078430e-02
5.307497e+01	1.078450e-02
5.330044e+01	1.078480e-02
5.352705e+01	1.078370e-02
5.375395e+01	1.078400e-02
5.398723e+01	1.078650e-02
5.421428e+01	1.078910e-02
5.444118e+01	1.078850e-02
5.466925e+01	1.078960e-02
5.489721e+01	1.079060e-02
5.514111e+01	1.079070e-02
5.538549e+01	1.079160e-02
5.562960e+01	1.079210e-02
5.587207e+01	1.079210e-02
5.609650e+01	1.079190e-02
5.632505e+01	1.079410e-02
5.655499e+01	1.079590e-02
5.678304e+01	1.079750e-02
5.701288e+01	1.079670e-02
5.724281e+01	1.079440e-02
5.746784e+01	1.079450e-02
5.772122e+01	1.079500e-02
5.794445e+01	1.079660e-02
5.816477e+01	1.079590e-02
5.839260e+01	1.079840e-02
5.862311e+01	1.079950e-02
5.885326e+01	1.079900e-02
5.908082e+01	1.080330e-02
5.931161e+01	1.080170e-02
5.954682e+01	1.080140e-02
5.977055e+01	1.080070e-02
5.999887e+01	1.080130e-02
6.022973e+01	1.080230e-02
6.045761e+01	1.080480e-02
6.068624e+01	1.080510e-02
6.091427e+01	1.080430e-02
6.114508e+01	1.080430e-02
6.141617e+01	1.080350e-02
6.164347e+01	1.080600e-02
6.186951e+01	1.080710e-02
6.210092e+01	1.080730e-02
6.232882e+01	1.080810e-02
6.255923e+01	1.080660e-02
6.279188e+01	1.080970e-02
6.303617e+01	1.080930e-02
6.326037e+01	1.081060e-02
6.349457e+01	1.081220e-02
6.373905e+01	1.081200e-02
6.398315e+01	1.081090e-02
6.422775e+01	1.081250e-02
6.445020e+01	1.081290e-02
6.467806e+01	1.081160e-02
