nm, A
700.000000, 0.280292
699.000000, 0.280539
698.000000, 0.280758
697.000000, 0.280965
696.000000, 0.281226
695.000000, 0.281511
694.000000, 0.281666
693.000000, 0.281817
692.000000, 0.282107
691.000000, 0.282318
690.000000, 0.282510
689.000000, 0.282795
688.000000, 0.283052
687.000000, 0.283318
686.000000, 0.283529
685.000000, 0.283724
684.000000, 0.283966
683.000000, 0.284231
682.000000, 0.284294
681.000000, 0.284446
680.000000, 0.284711
679.000000, 0.285022
678.000000, 0.285228
677.000000, 0.285319
676.000000, 0.285661
675.000000, 0.285896
674.000000, 0.286086
673.000000, 0.286324
672.000000, 0.286559
671.000000, 0.286758
670.000000, 0.286971
669.000000, 0.287194
668.000000, 0.287511
667.000000, 0.287637
666.000000, 0.287922
665.000000, 0.288130
664.000000, 0.288359
663.000000, 0.288606
662.000000, 0.288812
661.000000, 0.289018
660.000000, 0.289282
659.000000, 0.289392
658.000000, 0.289757
657.000000, 0.289920
656.000000, 0.290127
655.000000, 0.290470
654.000000, 0.290622
653.000000, 0.290837
652.000000, 0.291025
651.000000, 0.291190
650.000000, 0.291383
649.000000, 0.291618
648.000000, 0.291857
647.000000, 0.292131
646.000000, 0.292315
645.000000, 0.292618
644.000000, 0.292780
643.000000, 0.293052
642.000000, 0.293225
641.000000, 0.293454
640.000000, 0.293718
639.000000, 0.293925
638.000000, 0.294115
637.000000, 0.294353
636.000000, 0.294582
635.000000, 0.294915
634.000000, 0.295099
633.000000, 0.295336
632.000000, 0.295556
631.000000, 0.295850
630.000000, 0.296022
629.000000, 0.296269
628.000000, 0.296524
627.000000, 0.296768
626.000000, 0.296912
625.000000, 0.297192
624.000000, 0.297420
623.000000, 0.297719
622.000000, 0.297908
621.000000, 0.298180
620.000000, 0.298401
619.000000, 0.298622
618.000000, 0.298839
617.000000, 0.299135
616.000000, 0.299432
615.000000, 0.299662
614.000000, 0.299947
613.000000, 0.300125
612.000000, 0.300375
611.000000, 0.300680
610.000000, 0.300911
609.000000, 0.301145
608.000000, 0.301408
607.000000, 0.301630
606.000000, 0.301921
605.000000, 0.302096
604.000000, 0.302459
603.000000, 0.302627
602.000000, 0.302874
601.000000, 0.303130
600.000000, 0.303370
599.000000, 0.303538
598.000000, 0.303815
597.000000, 0.304040
596.000000, 0.304217
595.000000, 0.304452
594.000000, 0.304654
593.000000, 0.304781
592.000000, 0.305005
591.000000, 0.305130
590.000000, 0.305428
589.000000, 0.305534
588.000000, 0.305705
587.000000, 0.305910
586.000000, 0.306039
585.000000, 0.306196
584.000000, 0.306449
583.000000, 0.306604
582.000000, 0.306861
581.000000, 0.307169
580.000000, 0.307325
579.000000, 0.307555
578.000000, 0.307967
577.000000, 0.308169
576.000000, 0.308544
575.000000, 0.308782
574.000000, 0.309108
573.000000, 0.309336
572.000000, 0.309657
571.000000, 0.309968
570.000000, 0.310276
569.000000, 0.310646
568.000000, 0.310928
567.000000, 0.311181
566.000000, 0.311398
565.000000, 0.311830
564.000000, 0.312106
563.000000, 0.312381
562.000000, 0.312700
561.000000, 0.312996
560.000000, 0.313215
559.000000, 0.313375
558.000000, 0.314530
557.000000, 0.315235
556.000000, 0.315538
555.000000, 0.315823
554.000000, 0.316201
553.000000, 0.316521
552.000000, 0.316739
551.000000, 0.317113
550.000000, 0.317447
549.000000, 0.317738
548.000000, 0.318190
547.000000, 0.318319
546.000000, 0.318645
545.000000, 0.318925
544.000000, 0.319297
543.000000, 0.319733
542.000000, 0.320109
541.000000, 0.320427
540.000000, 0.320704
539.000000, 0.321068
538.000000, 0.321342
537.000000, 0.321716
536.000000, 0.321923
535.000000, 0.322263
534.000000, 0.322603
533.000000, 0.322934
532.000000, 0.323143
531.000000, 0.323576
530.000000, 0.323931
529.000000, 0.324197
528.000000, 0.324484
527.000000, 0.324833
526.000000, 0.325094
525.000000, 0.325443
524.000000, 0.325726
523.000000, 0.325997
522.000000, 0.326390
521.000000, 0.326708
520.000000, 0.327053
519.000000, 0.327328
518.000000, 0.327616
517.000000, 0.327947
516.000000, 0.328262
515.000000, 0.328575
514.000000, 0.328915
513.000000, 0.329275
512.000000, 0.329608
511.000000, 0.330010
510.000000, 0.330258
509.000000, 0.330507
508.000000, 0.330921
507.000000, 0.331290
506.000000, 0.331573
505.000000, 0.331916
504.000000, 0.332277
503.000000, 0.332549
502.000000, 0.332925
501.000000, 0.333262
500.000000, 0.333696
499.000000, 0.333989
498.000000, 0.334347
497.000000, 0.334719
496.000000, 0.335073
495.000000, 0.335435
494.000000, 0.335735
493.000000, 0.336035
492.000000, 0.336508
491.000000, 0.336836
490.000000, 0.337218
489.000000, 0.337586
488.000000, 0.337914
487.000000, 0.338311
486.000000, 0.338689
485.000000, 0.339071
484.000000, 0.339384
483.000000, 0.339737
482.000000, 0.340081
481.000000, 0.340364
480.000000, 0.340895
479.000000, 0.341266
478.000000, 0.341568
477.000000, 0.342066
476.000000, 0.342297
475.000000, 0.342719
474.000000, 0.343108
473.000000, 0.343517
472.000000, 0.343803
471.000000, 0.344200
470.000000, 0.344507
469.000000, 0.344888
468.000000, 0.345389
467.000000, 0.345645
466.000000, 0.346138
465.000000, 0.346547
464.000000, 0.346770
463.000000, 0.347296
462.000000, 0.347593
461.000000, 0.348073
460.000000, 0.348410
459.000000, 0.348875
458.000000, 0.349272
457.000000, 0.349632
456.000000, 0.349942
455.000000, 0.350482
454.000000, 0.350803
453.000000, 0.351254
452.000000, 0.351602
451.000000, 0.352048
450.000000, 0.352638
449.000000, 0.352974
448.000000, 0.353483
447.000000, 0.353925
446.000000, 0.354361
445.000000, 0.354797
444.000000, 0.355305
443.000000, 0.355850
442.000000, 0.356279
441.000000, 0.356668
440.000000, 0.357077
439.000000, 0.357457
438.000000, 0.357902
437.000000, 0.358333
436.000000, 0.358778
435.000000, 0.359283
434.000000, 0.359652
433.000000, 0.360107
432.000000, 0.360643
431.000000, 0.360963
430.000000, 0.361456
429.000000, 0.362109
428.000000, 0.362562
427.000000, 0.363061
426.000000, 0.363525
425.000000, 0.364061
424.000000, 0.364573
423.000000, 0.365044
422.000000, 0.365670
421.000000, 0.365323
420.000000, 0.365788
419.000000, 0.366297
418.000000, 0.366818
417.000000, 0.367401
416.000000, 0.367899
415.000000, 0.368474
414.000000, 0.369095
413.000000, 0.369605
412.000000, 0.370201
411.000000, 0.370723
410.000000, 0.371328
409.000000, 0.371957
408.000000, 0.372569
407.000000, 0.373191
406.000000, 0.373626
405.000000, 0.374312
404.000000, 0.374963
403.000000, 0.375648
402.000000, 0.376314
401.000000, 0.376867
400.000000, 0.377544
399.000000, 0.378281
398.000000, 0.378971
397.000000, 0.379697
396.000000, 0.380430
395.000000, 0.381190
394.000000, 0.381905
393.000000, 0.382683
392.000000, 0.383470
391.000000, 0.384173
390.000000, 0.384991
389.000000, 0.385786
388.000000, 0.386692
387.000000, 0.387495
386.000000, 0.388419
385.000000, 0.389405
384.000000, 0.388965
383.000000, 0.388210
382.000000, 0.388645
381.000000, 0.389855
380.000000, 0.390681
379.000000, 0.391891
378.000000, 0.392477
377.000000, 0.392961
376.000000, 0.394915
375.000000, 0.394979
374.000000, 0.396102
373.000000, 0.397219
372.000000, 0.398826
371.000000, 0.399141
370.000000, 0.401095
369.000000, 0.402238
368.000000, 0.403608
367.000000, 0.404725
366.000000, 0.405473
365.000000, 0.408162
364.000000, 0.409296
363.000000, 0.410488
362.000000, 0.412629
361.000000, 0.414446
360.000000, 0.415813
359.000000, 0.418131
358.000000, 0.418762
357.000000, 0.421565
356.000000, 0.423543
355.000000, 0.425199
354.000000, 0.427997
353.000000, 0.430984
352.000000, 0.433799
351.000000, 0.437239
350.000000, 0.439408
349.000000, 0.443806
348.000000, 0.447160
347.000000, 0.450271
346.000000, 0.454323
345.000000, 0.458078
344.000000, 0.462294
343.000000, 0.466131
342.000000, 0.470053
341.000000, 0.475409
340.000000, 0.478998
339.000000, 0.484646
338.000000, 0.491964
337.000000, 0.496446
336.000000, 0.503765
335.000000, 0.510524
334.000000, 0.517092
333.000000, 0.523418
332.000000, 0.532162
331.000000, 0.540029
330.000000, 0.547836
329.000000, 0.556772
328.000000, 0.564233
327.000000, 0.567709
