nm, A
700.000000, 0.289713
699.000000, 0.289970
698.000000, 0.290203
697.000000, 0.290380
696.000000, 0.290657
695.000000, 0.290965
694.000000, 0.291088
693.000000, 0.291361
692.000000, 0.291629
691.000000, 0.291756
690.000000, 0.292046
689.000000, 0.292240
688.000000, 0.292590
687.000000, 0.292757
686.000000, 0.293029
685.000000, 0.293239
684.000000, 0.293442
683.000000, 0.293868
682.000000, 0.294357
681.000000, 0.294577
680.000000, 0.294766
679.000000, 0.295032
678.000000, 0.295252
677.000000, 0.295444
676.000000, 0.295755
675.000000, 0.295960
674.000000, 0.296189
673.000000, 0.296411
672.000000, 0.296683
671.000000, 0.296921
670.000000, 0.297064
669.000000, 0.297404
668.000000, 0.297682
667.000000, 0.297861
666.000000, 0.298139
665.000000, 0.298339
664.000000, 0.298582
663.000000, 0.298853
662.000000, 0.299097
661.000000, 0.299278
660.000000, 0.299581
659.000000, 0.299798
658.000000, 0.300086
657.000000, 0.300271
656.000000, 0.300516
655.000000, 0.300725
654.000000, 0.301010
653.000000, 0.301248
652.000000, 0.301442
651.000000, 0.301724
650.000000, 0.301994
649.000000, 0.302156
648.000000, 0.302387
647.000000, 0.302519
646.000000, 0.302789
645.000000, 0.303140
644.000000, 0.303307
643.000000, 0.303587
642.000000, 0.303823
641.000000, 0.304106
640.000000, 0.304379
639.000000, 0.304599
638.000000, 0.304819
637.000000, 0.305160
636.000000, 0.305245
635.000000, 0.305569
634.000000, 0.305878
633.000000, 0.306020
632.000000, 0.306317
631.000000, 0.306586
630.000000, 0.306812
629.000000, 0.307041
628.000000, 0.307311
627.000000, 0.307666
626.000000, 0.307784
625.000000, 0.308054
624.000000, 0.308322
623.000000, 0.308628
622.000000, 0.308984
621.000000, 0.309135
620.000000, 0.309508
619.000000, 0.309638
618.000000, 0.309911
617.000000, 0.310231
616.000000, 0.310471
615.000000, 0.310804
614.000000, 0.311032
613.000000, 0.311298
612.000000, 0.311594
611.000000, 0.311852
610.000000, 0.312194
609.000000, 0.312402
608.000000, 0.312786
607.000000, 0.313024
606.000000, 0.313338
605.000000, 0.313625
604.000000, 0.314005
603.000000, 0.314245
602.000000, 0.314557
601.000000, 0.314853
600.000000, 0.315274
599.000000, 0.315525
598.000000, 0.315851
597.000000, 0.316185
596.000000, 0.316520
595.000000, 0.316809
594.000000, 0.317196
593.000000, 0.317545
592.000000, 0.317916
591.000000, 0.318231
590.000000, 0.318569
589.000000, 0.318957
588.000000, 0.319285
587.000000, 0.319572
586.000000, 0.319943
585.000000, 0.320310
584.000000, 0.320667
583.000000, 0.320891
582.000000, 0.321296
581.000000, 0.321676
580.000000, 0.322069
579.000000, 0.322260
578.000000, 0.322669
577.000000, 0.322912
576.000000, 0.323263
575.000000, 0.323607
574.000000, 0.323834
573.000000, 0.324190
572.000000, 0.324420
571.000000, 0.324746
570.000000, 0.325045
