nm, A
700.000000, 0.797747
699.000000, 0.798946
698.000000, 0.800011
697.000000, 0.801193
696.000000, 0.802349
695.000000, 0.803538
694.000000, 0.804652
693.000000, 0.805806
692.000000, 0.807018
691.000000, 0.808187
690.000000, 0.809515
689.000000, 0.810558
688.000000, 0.811761
687.000000, 0.813037
686.000000, 0.814292
685.000000, 0.815490
684.000000, 0.816812
683.000000, 0.818220
682.000000, 0.819734
681.000000, 0.820960
680.000000, 0.822279
679.000000, 0.823468
678.000000, 0.824688
677.000000, 0.826026
676.000000, 0.827262
675.000000, 0.828637
674.000000, 0.829788
673.000000, 0.831160
672.000000, 0.832371
671.000000, 0.833603
670.000000, 0.834800
669.000000, 0.836010
668.000000, 0.837339
667.000000, 0.838471
666.000000, 0.839836
665.000000, 0.841089
664.000000, 0.842476
663.000000, 0.843612
662.000000, 0.845003
661.000000, 0.846249
660.000000, 0.847674
659.000000, 0.848948
658.000000, 0.850359
657.000000, 0.851558
656.000000, 0.853090
655.000000, 0.854334
654.000000, 0.855740
653.000000, 0.857056
652.000000, 0.858447
651.000000, 0.859821
650.000000, 0.861233
649.000000, 0.862667
648.000000, 0.864106
647.000000, 0.865543
646.000000, 0.867044
645.000000, 0.868391
644.000000, 0.869853
643.000000, 0.871244
642.000000, 0.872772
641.000000, 0.874240
640.000000, 0.875642
639.000000, 0.877059
638.000000, 0.878453
637.000000, 0.879918
636.000000, 0.881405
635.000000, 0.882886
634.000000, 0.884300
633.000000, 0.885783
632.000000, 0.887217
631.000000, 0.888700
630.000000, 0.890183
629.000000, 0.891623
628.000000, 0.893228
627.000000, 0.894641
626.000000, 0.896188
625.000000, 0.897606
624.000000, 0.899157
623.000000, 0.900629
622.000000, 0.902266
621.000000, 0.903689
620.000000, 0.905258
619.000000, 0.906804
618.000000, 0.908424
617.000000, 0.910010
616.000000, 0.911557
615.000000, 0.913203
614.000000, 0.914669
613.000000, 0.916315
612.000000, 0.918034
611.000000, 0.919603
610.000000, 0.921177
609.000000, 0.922901
608.000000, 0.924495
607.000000, 0.926219
606.000000, 0.927883
605.000000, 0.929518
604.000000, 0.931271
603.000000, 0.932975
602.000000, 0.934644
601.000000, 0.936281
600.000000, 0.938047
599.000000, 0.939843
598.000000, 0.941543
597.000000, 0.943228
596.000000, 0.944890
595.000000, 0.946720
594.000000, 0.948416
593.000000, 0.950168
592.000000, 0.951803
591.000000, 0.953402
590.000000, 0.955130
589.000000, 0.956744
588.000000, 0.958497
587.000000, 0.960169
586.000000, 0.961885
585.000000, 0.963588
584.000000, 0.965291
583.000000, 0.966972
582.000000, 0.968835
581.000000, 0.970630
580.000000, 0.972265
579.000000, 0.974179
578.000000, 0.975946
577.000000, 0.977919
576.000000, 0.979713
575.000000, 0.981685
574.000000, 0.983476
573.000000, 0.985275
572.000000, 0.987210
571.000000, 0.989012
570.000000, 0.991001
569.000000, 0.992780
568.000000, 0.994729
567.000000, 0.996416
566.000000, 0.998419
565.000000, 1.000274
564.000000, 1.002124
563.000000, 1.003728
562.000000, 1.005750
561.000000, 1.007719
560.000000, 1.009748
559.000000, 1.011551
558.000000, 1.013544
557.000000, 1.015523
556.000000, 1.017342
555.000000, 1.019162
554.000000, 1.021179
553.000000, 1.023082
552.000000, 1.025008
551.000000, 1.027078
550.000000, 1.029066
549.000000, 1.031005
548.000000, 1.033234
547.000000, 1.035070
546.000000, 1.037239
545.000000, 1.039356
544.000000, 1.041348
543.000000, 1.043491
542.000000, 1.045551
541.000000, 1.047747
540.000000, 1.049691
539.000000, 1.051971
538.000000, 1.054022
537.000000, 1.056316
536.000000, 1.058630
535.000000, 1.060783
534.000000, 1.063063
533.000000, 1.065284
532.000000, 1.067522
531.000000, 1.069744
530.000000, 1.072172
529.000000, 1.074400
528.000000, 1.076786
527.000000, 1.079068
526.000000, 1.081471
525.000000, 1.083900
524.000000, 1.086231
523.000000, 1.088591
522.000000, 1.090990
521.000000, 1.093418
520.000000, 1.095818
519.000000, 1.098368
518.000000, 1.100748
517.000000, 1.103190
516.000000, 1.105751
515.000000, 1.108153
514.000000, 1.110751
513.000000, 1.113465
512.000000, 1.115960
511.000000, 1.118469
510.000000, 1.120990
509.000000, 1.123736
508.000000, 1.126391
507.000000, 1.128823
506.000000, 1.131514
505.000000, 1.134153
504.000000, 1.136929
503.000000, 1.139590
502.000000, 1.142642
501.000000, 1.145257
500.000000, 1.148080
499.000000, 1.150667
498.000000, 1.153579
497.000000, 1.156499
496.000000, 1.159127
495.000000, 1.162131
494.000000, 1.164979
493.000000, 1.167694
492.000000, 1.170616
491.000000, 1.173297
490.000000, 1.176444
489.000000, 1.179334
488.000000, 1.182233
487.000000, 1.185244
486.000000, 1.188416
485.000000, 1.191254
484.000000, 1.194330
483.000000, 1.197115
482.000000, 1.200150
481.000000, 1.203276
480.000000, 1.206173
479.000000, 1.209391
478.000000, 1.212346
477.000000, 1.215503
476.000000, 1.218580
475.000000, 1.221432
474.000000, 1.224458
473.000000, 1.227731
472.000000, 1.230857
471.000000, 1.233734
470.000000, 1.236861
469.000000, 1.239992
468.000000, 1.243210
467.000000, 1.246072
466.000000, 1.249525
465.000000, 1.252746
464.000000, 1.255953
463.000000, 1.259038
462.000000, 1.262332
461.000000, 1.265587
460.000000, 1.268985
459.000000, 1.272164
458.000000, 1.275728
457.000000, 1.279000
456.000000, 1.282760
455.000000, 1.285944
454.000000, 1.289328
453.000000, 1.292861
452.000000, 1.296406
451.000000, 1.299640
450.000000, 1.303224
449.000000, 1.307217
448.000000, 1.310619
447.000000, 1.313956
446.000000, 1.317695
445.000000, 1.321422
444.000000, 1.325063
443.000000, 1.328391
442.000000, 1.332356
441.000000, 1.336052
440.000000, 1.339964
439.000000, 1.343792
438.000000, 1.347969
437.000000, 1.351382
436.000000, 1.356025
435.000000, 1.359462
434.000000, 1.363198
433.000000, 1.367721
432.000000, 1.371575
431.000000, 1.375228
430.000000, 1.379272
429.000000, 1.383289
428.000000, 1.387431
427.000000, 1.391439
426.000000, 1.395751
425.000000, 1.400103
424.000000, 1.404288
423.000000, 1.408613
422.000000, 1.413125
421.000000, 1.415748
420.000000, 1.420332
419.000000, 1.424454
418.000000, 1.429332
417.000000, 1.433721
416.000000, 1.438368
415.000000, 1.442635
414.000000, 1.447447
413.000000, 1.452011
412.000000, 1.456592
411.000000, 1.461363
410.000000, 1.465999
409.000000, 1.471078
408.000000, 1.475986
407.000000, 1.480706
406.000000, 1.485566
405.000000, 1.490610
404.000000, 1.495510
403.000000, 1.500467
402.000000, 1.505865
401.000000, 1.510930
400.000000, 1.516016
399.000000, 1.521460
398.000000, 1.526678
397.000000, 1.532118
396.000000, 1.537635
395.000000, 1.542538
394.000000, 1.548517
393.000000, 1.553700
392.000000, 1.559464
391.000000, 1.564616
390.000000, 1.570901
389.000000, 1.576657
388.000000, 1.582613
387.000000, 1.588224
386.000000, 1.594918
385.000000, 1.601067
384.000000, 1.614028
383.000000, 1.620800
382.000000, 1.622450
381.000000, 1.639446
380.000000, 1.644292
379.000000, 1.628041
378.000000, 1.643826
377.000000, 1.657908
376.000000, 1.660382
375.000000, 1.672035
374.000000, 1.679679
373.000000, 1.692083
372.000000, 1.698224
371.000000, 1.691788
370.000000, 1.711634
369.000000, 1.715799
368.000000, 1.725305
367.000000, 1.742974
366.000000, 1.739879
365.000000, 1.752048
364.000000, 1.763754
363.000000, 1.755341
362.000000, 1.779934
361.000000, 1.779736
360.000000, 1.792826
359.000000, 1.801232
358.000000, 1.812383
357.000000, 1.811741
356.000000, 1.827686
355.000000, 1.823790
354.000000, 1.857140
353.000000, 1.847784
352.000000, 1.862257
351.000000, 1.863143
350.000000, 1.901605
349.000000, 1.885791
348.000000, 1.902290
347.000000, 1.874025
346.000000, 1.913331
345.000000, 1.942834
344.000000, 1.947270
343.000000, 1.949491
342.000000, 1.951813
341.000000, 1.975032
340.000000, 1.960854
339.000000, 1.934170
338.000000, 2.038438
337.000000, 2.033027
336.000000, 2.051043
335.000000, 2.051590
334.000000, 2.093248
333.000000, 2.103651
332.000000, 2.124750
331.000000, 2.057371
330.000000, 2.103546
329.000000, 2.153866
328.000000, 2.126706
327.000000, 2.161877
326.000000, 2.183131
325.000000, 2.199393
324.000000, 2.208202
323.000000, 2.217606
322.000000, 2.236884
321.000000, 2.256173
320.000000, 2.270068
319.000000, 2.287453
318.000000, 2.299143
317.000000, 2.309227
316.000000, 2.333178
315.000000, 2.335918
314.000000, 2.350807
313.000000, 2.376077
312.000000, 2.395675
311.000000, 2.408420
310.000000, 2.426000
309.000000, 2.447893
308.000000, 2.474691
307.000000, 2.482270
306.000000, 2.515392
305.000000, 2.548308
304.000000, 2.571214
303.000000, 2.598786
302.000000, 2.638749
301.000000, 2.676845
300.000000, 2.718716
299.000000, 2.774710
298.000000, 2.859894
297.000000, 2.925161
296.000000, 3.051333
295.000000, 3.117250
294.000000, 3.243849
293.000000, 3.315462
292.000000, 3.423317
291.000000, 3.423103
290.000000, 3.691826
289.000000, 3.735086
288.000000, 3.837555
287.000000, 3.783147
286.000000, 4.013507
285.000000, 4.314423
284.000000, 3.782869
283.000000, 3.757898
282.000000, 3.866933
281.000000, 4.411001
280.000000, 3.971613
279.000000, 3.866827
278.000000, 4.058818
277.000000, 4.058966
276.000000, 4.109975
275.000000, 3.782747
274.000000, 4.059079
273.000000, 4.168287
272.000000, 3.934339
271.000000, 4.059340
270.000000, 4.110556
269.000000, 4.059475
268.000000, 4.059618
267.000000, 3.809993
266.000000, 4.412133
265.000000, 4.169301
264.000000, 3.973069
263.000000, 4.060177
262.000000, 4.169288
261.000000, 4.060358
260.000000, 4.537571
259.000000, 4.014537
258.000000, 4.236512
257.000000, 4.060480
256.000000, 4.169691
255.000000, 4.315786
254.000000, 4.315794
253.000000, 4.236634
252.000000, 4.236688
251.000000, 4.060450
250.000000, 4.412536
249.000000, 4.412603
248.000000, 4.412641
247.000000, 4.412796
246.000000, 4.315996
245.000000, 4.316079
244.000000, 4.413191
243.000000, 4.170203
242.000000, 4.237288
241.000000, 4.538435
240.000000, 4.316809
239.000000, 4.413974
238.000000, 4.414079
237.000000, 4.539185
236.000000, 4.171359
235.000000, 4.171434
234.000000, 4.414714
233.000000, 4.317942
232.000000, 4.540046
231.000000, 4.318477
230.000000, 4.172774
229.000000, 4.541205
228.000000, 4.115881
227.000000, 4.174500
226.000000, 4.321507
225.000000, 4.544341
224.000000, 4.545319
223.000000, 4.546308
222.000000, 4.422130
221.000000, 4.547467
220.000000, 4.325914
219.000000, 4.024982
218.000000, 4.325922
217.000000, 4.422869
216.000000, 4.246831
215.000000, 4.423061
214.000000, 4.247093
213.000000, 4.247540
212.000000, 4.548684
211.000000, 4.122973
210.000000, 4.072099
209.000000, 4.328123
208.000000, 4.550281
207.000000, 4.425457
206.000000, 4.550876
205.000000, 4.330089
204.000000, 4.184614
203.000000, 4.185105
202.000000, 3.989903
201.000000, 4.129634
200.000000, 3.991914
