nm, A
700.000000, 0.700002
699.000000, 0.701509
698.000000, 0.703101
697.000000, 0.704661
696.000000, 0.706191
695.000000, 0.707847
694.000000, 0.709402
693.000000, 0.710944
692.000000, 0.712531
691.000000, 0.714155
690.000000, 0.715794
689.000000, 0.717383
688.000000, 0.719025
687.000000, 0.720727
686.000000, 0.722354
685.000000, 0.724005
684.000000, 0.725706
683.000000, 0.727458
682.000000, 0.729509
681.000000, 0.731126
680.000000, 0.732903
679.000000, 0.734548
678.000000, 0.736308
677.000000, 0.737961
676.000000, 0.739672
675.000000, 0.741432
674.000000, 0.743137
673.000000, 0.744854
672.000000, 0.746563
671.000000, 0.748282
670.000000, 0.749958
669.000000, 0.751604
668.000000, 0.753328
667.000000, 0.754962
666.000000, 0.756705
665.000000, 0.758381
664.000000, 0.760201
663.000000, 0.761944
662.000000, 0.763758
661.000000, 0.765412
660.000000, 0.767432
659.000000, 0.769056
658.000000, 0.770986
657.000000, 0.772691
656.000000, 0.774647
655.000000, 0.776379
654.000000, 0.778321
653.000000, 0.780181
652.000000, 0.781978
651.000000, 0.783918
650.000000, 0.785844
649.000000, 0.787631
648.000000, 0.789674
647.000000, 0.791558
646.000000, 0.793448
645.000000, 0.795539
644.000000, 0.797391
643.000000, 0.799303
642.000000, 0.801318
641.000000, 0.803308
640.000000, 0.805278
639.000000, 0.807230
638.000000, 0.809257
637.000000, 0.811270
636.000000, 0.813223
635.000000, 0.815213
634.000000, 0.817271
633.000000, 0.819298
632.000000, 0.821311
631.000000, 0.823383
630.000000, 0.825503
629.000000, 0.827479
628.000000, 0.829608
627.000000, 0.831660
626.000000, 0.833667
625.000000, 0.835785
624.000000, 0.837954
623.000000, 0.840105
622.000000, 0.842247
621.000000, 0.844420
620.000000, 0.846589
619.000000, 0.848752
618.000000, 0.851014
617.000000, 0.853161
616.000000, 0.855426
615.000000, 0.857643
614.000000, 0.859818
613.000000, 0.862017
612.000000, 0.864285
611.000000, 0.866454
610.000000, 0.868695
609.000000, 0.871081
608.000000, 0.873375
607.000000, 0.875596
606.000000, 0.877917
605.000000, 0.880215
604.000000, 0.882531
603.000000, 0.884842
602.000000, 0.887219
601.000000, 0.889513
600.000000, 0.891928
599.000000, 0.894314
598.000000, 0.896776
597.000000, 0.898972
596.000000, 0.901503
595.000000, 0.903906
594.000000, 0.906381
593.000000, 0.908782
592.000000, 0.911276
591.000000, 0.913873
590.000000, 0.916202
589.000000, 0.918732
588.000000, 0.921227
587.000000, 0.923723
586.000000, 0.926199
585.000000, 0.928672
584.000000, 0.931326
583.000000, 0.933836
582.000000, 0.936457
581.000000, 0.938923
580.000000, 0.941531
579.000000, 0.944025
578.000000, 0.946639
577.000000, 0.949249
576.000000, 0.951847
575.000000, 0.954478
574.000000, 0.957138
573.000000, 0.959665
572.000000, 0.962489
571.000000, 0.965119
570.000000, 0.967827
569.000000, 0.970457
568.000000, 0.973378
567.000000, 0.975903
566.000000, 0.978702
565.000000, 0.981409
564.000000, 0.984124
563.000000, 0.986805
562.000000, 0.989547
561.000000, 0.992367
560.000000, 0.995334
559.000000, 0.998048
558.000000, 1.001266
557.000000, 1.004437
556.000000, 1.007330
555.000000, 1.010067
554.000000, 1.013091
553.000000, 1.015931
552.000000, 1.018931
551.000000, 1.021871
550.000000, 1.024696
549.000000, 1.027570
548.000000, 1.030741
547.000000, 1.033663
546.000000, 1.036664
545.000000, 1.039667
544.000000, 1.042734
543.000000, 1.045830
542.000000, 1.048944
541.000000, 1.051979
540.000000, 1.055139
539.000000, 1.058234
538.000000, 1.061250
537.000000, 1.064428
536.000000, 1.067542
535.000000, 1.070741
534.000000, 1.073939
533.000000, 1.077089
532.000000, 1.080168
531.000000, 1.083535
530.000000, 1.086735
529.000000, 1.090038
528.000000, 1.093365
527.000000, 1.096644
526.000000, 1.099861
525.000000, 1.103218
524.000000, 1.106536
523.000000, 1.109894
522.000000, 1.113153
521.000000, 1.116555
520.000000, 1.119890
519.000000, 1.123336
518.000000, 1.126837
517.000000, 1.130307
516.000000, 1.133638
515.000000, 1.137203
514.000000, 1.140763
513.000000, 1.144238
512.000000, 1.147774
511.000000, 1.151273
510.000000, 1.154922
509.000000, 1.158417
508.000000, 1.161999
507.000000, 1.165472
506.000000, 1.169237
505.000000, 1.172842
504.000000, 1.176485
503.000000, 1.180011
502.000000, 1.183854
501.000000, 1.187671
500.000000, 1.191290
499.000000, 1.195043
498.000000, 1.198906
497.000000, 1.202670
496.000000, 1.206369
495.000000, 1.210187
494.000000, 1.214024
493.000000, 1.217744
492.000000, 1.221769
491.000000, 1.225471
490.000000, 1.229367
489.000000, 1.233409
488.000000, 1.237526
487.000000, 1.241517
486.000000, 1.245425
485.000000, 1.249390
484.000000, 1.253494
483.000000, 1.257222
482.000000, 1.261457
481.000000, 1.265459
480.000000, 1.269650
479.000000, 1.273473
478.000000, 1.277617
477.000000, 1.281705
476.000000, 1.285863
475.000000, 1.289941
474.000000, 1.294008
473.000000, 1.298389
472.000000, 1.302607
471.000000, 1.306711
470.000000, 1.310777
469.000000, 1.315202
468.000000, 1.319339
