nm, A
700.000000, 0.812655
699.000000, 0.814110
698.000000, 0.815382
697.000000, 0.816767
696.000000, 0.818105
695.000000, 0.819518
694.000000, 0.820986
693.000000, 0.822318
692.000000, 0.823712
691.000000, 0.825151
690.000000, 0.826535
689.000000, 0.828119
688.000000, 0.829445
687.000000, 0.830923
686.000000, 0.832384
685.000000, 0.833845
684.000000, 0.835267
683.000000, 0.836948
682.000000, 0.838648
681.000000, 0.840075
680.000000, 0.841679
679.000000, 0.843142
678.000000, 0.844689
677.000000, 0.846167
676.000000, 0.847682
675.000000, 0.849104
674.000000, 0.850684
673.000000, 0.852077
672.000000, 0.853436
671.000000, 0.854891
670.000000, 0.856428
669.000000, 0.857877
668.000000, 0.859209
667.000000, 0.860576
666.000000, 0.862237
665.000000, 0.863646
664.000000, 0.865122
663.000000, 0.866703
662.000000, 0.868179
661.000000, 0.869768
660.000000, 0.871216
659.000000, 0.872827
658.000000, 0.874230
657.000000, 0.875888
656.000000, 0.877434
655.000000, 0.879040
654.000000, 0.880649
653.000000, 0.882223
652.000000, 0.883715
651.000000, 0.885359
650.000000, 0.887013
649.000000, 0.888660
648.000000, 0.890327
647.000000, 0.891981
646.000000, 0.893646
645.000000, 0.895275
644.000000, 0.896955
643.000000, 0.898597
642.000000, 0.900290
641.000000, 0.901852
640.000000, 0.903494
639.000000, 0.905259
638.000000, 0.907023
637.000000, 0.908623
636.000000, 0.910345
635.000000, 0.911934
634.000000, 0.913762
633.000000, 0.915490
632.000000, 0.917268
631.000000, 0.918996
630.000000, 0.920774
629.000000, 0.922531
628.000000, 0.924360
627.000000, 0.926053
626.000000, 0.927839
625.000000, 0.929752
624.000000, 0.931439
623.000000, 0.933398
622.000000, 0.935030
621.000000, 0.936999
620.000000, 0.938823
619.000000, 0.940688
618.000000, 0.942490
617.000000, 0.944374
616.000000, 0.946178
615.000000, 0.948209
614.000000, 0.950012
613.000000, 0.951915
612.000000, 0.953842
611.000000, 0.955682
