nm, A
700.000000, 0.864506
699.000000, 0.865465
698.000000, 0.866502
697.000000, 0.867439
696.000000, 0.868341
695.000000, 0.869302
694.000000, 0.870197
693.000000, 0.871132
692.000000, 0.872179
691.000000, 0.873028
690.000000, 0.874026
689.000000, 0.874971
688.000000, 0.875948
687.000000, 0.876986
686.000000, 0.877906
685.000000, 0.878858
684.000000, 0.879886
683.000000, 0.881438
682.000000, 0.882956
681.000000, 0.883911
680.000000, 0.885063
679.000000, 0.886025
678.000000, 0.887043
677.000000, 0.888085
676.000000, 0.889030
675.000000, 0.889996
674.000000, 0.891157
673.000000, 0.892172
672.000000, 0.893150
671.000000, 0.894173
670.000000, 0.895216
669.000000, 0.896196
668.000000, 0.897201
667.000000, 0.898133
666.000000, 0.899359
665.000000, 0.900189
664.000000, 0.901371
663.000000, 0.902316
662.000000, 0.903410
661.000000, 0.904535
660.000000, 0.905476
659.000000, 0.906523
658.000000, 0.907641
657.000000, 0.908676
656.000000, 0.909704
655.000000, 0.910751
654.000000, 0.911865
653.000000, 0.912780
652.000000, 0.913977
651.000000, 0.914989
650.000000, 0.916163
649.000000, 0.917309
648.000000, 0.918194
647.000000, 0.919361
646.000000, 0.920565
645.000000, 0.921626
644.000000, 0.922705
643.000000, 0.923741
642.000000, 0.924907
641.000000, 0.926032
640.000000, 0.927256
639.000000, 0.928231
638.000000, 0.929357
637.000000, 0.930540
636.000000, 0.931675
635.000000, 0.932785
634.000000, 0.933962
633.000000, 0.935072
632.000000, 0.936180
631.000000, 0.937427
630.000000, 0.938479
629.000000, 0.939674
628.000000, 0.940810
627.000000, 0.942030
626.000000, 0.943244
625.000000, 0.944362
624.000000, 0.945352
623.000000, 0.946636
622.000000, 0.947838
621.000000, 0.948906
620.000000, 0.950166
619.000000, 0.951410
618.000000, 0.952567
617.000000, 0.953826
616.000000, 0.954993
615.000000, 0.956327
614.000000, 0.957625
613.000000, 0.958800
612.000000, 0.959989
611.000000, 0.961218
610.000000, 0.962458
609.000000, 0.963881
608.000000, 0.965000
607.000000, 0.966283
606.000000, 0.967575
605.000000, 0.968868
604.000000, 0.970074
603.000000, 0.971365
602.000000, 0.972778
601.000000, 0.974107
600.000000, 0.975535
599.000000, 0.976862
598.000000, 0.978266
597.000000, 0.979590
596.000000, 0.980976
595.000000, 0.982216
594.000000, 0.983693
593.000000, 0.985196
592.000000, 0.986597
591.000000, 0.988131
