nm, A
700.000000, 2.327937
699.000000, 2.328697
698.000000, 2.330257
697.000000, 2.330994
696.000000, 2.332509
695.000000, 2.334117
694.000000, 2.333936
693.000000, 2.335519
692.000000, 2.336248
691.000000, 2.336189
690.000000, 2.338633
689.000000, 2.340177
688.000000, 2.340063
687.000000, 2.342564
686.000000, 2.343312
685.000000, 2.344003
684.000000, 2.345669
683.000000, 2.345696
682.000000, 2.348309
681.000000, 2.348210
680.000000, 2.349945
679.000000, 2.351553
678.000000, 2.352305
677.000000, 2.353998
676.000000, 2.353876
675.000000, 2.352853
674.000000, 2.355431
673.000000, 2.356203
672.000000, 2.358022
671.000000, 2.357872
670.000000, 2.359571
669.000000, 2.360369
668.000000, 2.362067
667.000000, 2.360219
666.000000, 2.362855
665.000000, 2.363655
664.000000, 2.364525
663.000000, 2.365377
662.000000, 2.367139
661.000000, 2.366204
660.000000, 2.368860
659.000000, 2.366949
658.000000, 2.369623
657.000000, 2.370562
656.000000, 2.370499
655.000000, 2.372216
654.000000, 2.372169
653.000000, 2.373015
652.000000, 2.374820
651.000000, 2.375731
650.000000, 2.375699
649.000000, 2.378465
648.000000, 2.378335
647.000000, 2.378287
646.000000, 2.380136
645.000000, 2.381946
644.000000, 2.382854
643.000000, 2.381839
642.000000, 2.382763
641.000000, 2.384636
640.000000, 2.385551
639.000000, 2.385452
638.000000, 2.386364
637.000000, 2.388267
636.000000, 2.388251
635.000000, 2.388207
634.000000, 2.390103
633.000000, 2.391062
632.000000, 2.391042
631.000000, 2.393010
630.000000, 2.394928
629.000000, 2.394916
628.000000, 2.395862
627.000000, 2.393865
626.000000, 2.395866
625.000000, 2.397813
624.000000, 2.397789
623.000000, 2.398770
622.000000, 2.400734
621.000000, 2.401674
620.000000, 2.402664
619.000000, 2.401667
618.000000, 2.402617
617.000000, 2.404604
616.000000, 2.405600
615.000000, 2.405608
614.000000, 2.407673
613.000000, 2.407585
612.000000, 2.410601
611.000000, 2.408558
610.000000, 2.410601
609.000000, 2.410601
608.000000, 2.412598
607.000000, 2.413661
606.000000, 2.414660
605.000000, 2.414624
604.000000, 2.415641
603.000000, 2.414600
602.000000, 2.416629
601.000000, 2.417650
600.000000, 2.417579
599.000000, 2.419598
598.000000, 2.420501
597.000000, 2.420385
596.000000, 2.422388
595.000000, 2.422141
594.000000, 2.422987
593.000000, 2.424798
592.000000, 2.425524
591.000000, 2.427250
590.000000, 2.427899
589.000000, 2.428503
588.000000, 2.430165
587.000000, 2.428476
586.000000, 2.431103
585.000000, 2.432692
584.000000, 2.433146
583.000000, 2.433631
582.000000, 2.434032
581.000000, 2.433434
580.000000, 2.435014
579.000000, 2.434553
578.000000, 2.436219
577.000000, 2.436882
576.000000, 2.437608
575.000000, 2.438349
574.000000, 2.439137
573.000000, 2.438913
572.000000, 2.440934
571.000000, 2.437371
570.000000, 2.442855
569.000000, 2.442774
568.000000, 2.443824
567.000000, 2.444744
566.000000, 2.444711
565.000000, 2.444597
564.000000, 2.446974
563.000000, 2.444605
562.000000, 2.447976
561.000000, 2.449209
560.000000, 2.448111
559.000000, 2.450310
558.000000, 2.449687
557.000000, 2.448992
556.000000, 2.450233
555.000000, 2.449187
554.000000, 2.451554
553.000000, 2.453950
552.000000, 2.454076
551.000000, 2.455346
550.000000, 2.455447
549.000000, 2.454426
548.000000, 2.456972
547.000000, 2.457041
546.000000, 2.457200
545.000000, 2.458492
544.000000, 2.459831
543.000000, 2.459860
542.000000, 2.462264
541.000000, 2.459892
540.000000, 2.463512
539.000000, 2.462313
538.000000, 2.463532
537.000000, 2.464718
536.000000, 2.467115
535.000000, 2.465915
534.000000, 2.467079
533.000000, 2.467099
532.000000, 2.468335
531.000000, 2.468286
530.000000, 2.469493
529.000000, 2.471828
528.000000, 2.471933
527.000000, 2.471877
526.000000, 2.474350
525.000000, 2.474237
524.000000, 2.474387
523.000000, 2.474354
522.000000, 2.475566
521.000000, 2.477962
520.000000, 2.478084
519.000000, 2.479261
518.000000, 2.481715
517.000000, 2.481690
516.000000, 2.481723
515.000000, 2.481686
514.000000, 2.484186
513.000000, 2.485409
512.000000, 2.485373
511.000000, 2.486627
510.000000, 2.486623
509.000000, 2.487910
508.000000, 2.487865
507.000000, 2.487898
506.000000, 2.489168
505.000000, 2.491650
504.000000, 2.491626
503.000000, 2.492931
502.000000, 2.494232
501.000000, 2.494244
500.000000, 2.496751
499.000000, 2.494183
498.000000, 2.498031
497.000000, 2.498031
496.000000, 2.499277
495.000000, 2.500617
494.000000, 2.501859
493.000000, 2.503101
492.000000, 2.503101
491.000000, 2.503113
490.000000, 2.503105
489.000000, 2.508274
488.000000, 2.508266
487.000000, 2.508177
486.000000, 2.510752
485.000000, 2.510683
484.000000, 2.510683
483.000000, 2.510569
482.000000, 2.513079
481.000000, 2.515618
480.000000, 2.515553
479.000000, 2.518091
478.000000, 2.517949
477.000000, 2.519027
476.000000, 2.521582
475.000000, 2.519987
474.000000, 2.523836
473.000000, 2.524927
472.000000, 2.523318
471.000000, 2.527148
470.000000, 2.525597
469.000000, 2.526728
468.000000, 2.527871
467.000000, 2.526278
466.000000, 2.530187
465.000000, 2.532603
464.000000, 2.532414
463.000000, 2.533567
462.000000, 2.534679
461.000000, 2.535960
460.000000, 2.535779
459.000000, 2.535541
458.000000, 2.536739
457.000000, 2.542336
456.000000, 2.542102
455.000000, 2.543398
454.000000, 2.544620
453.000000, 2.545991
452.000000, 2.545785
451.000000, 2.542735
450.000000, 2.547099
449.000000, 2.551108
448.000000, 2.550798
447.000000, 2.550546
446.000000, 2.553123
445.000000, 2.554297
444.000000, 2.558369
443.000000, 2.552047
442.000000, 2.556070
441.000000, 2.563298
440.000000, 2.562962
439.000000, 2.567060
438.000000, 2.569765
437.000000, 2.570968
436.000000, 2.567639
435.000000, 2.567331
434.000000, 2.568486
433.000000, 2.574524
432.000000, 2.569704
431.000000, 2.578873
430.000000, 2.578806
429.000000, 2.580382
428.000000, 2.581792
427.000000, 2.573885
426.000000, 2.586554
425.000000, 2.591282
424.000000, 2.589619
423.000000, 2.589628
422.000000, 2.597779
421.000000, 2.601174
420.000000, 2.601153
419.000000, 2.602826
418.000000, 2.607832
417.000000, 2.609640
416.000000, 2.613043
415.000000, 2.614801
414.000000, 2.618295
413.000000, 2.618379
412.000000, 2.623655
411.000000, 2.621917
410.000000, 2.625379
409.000000, 2.632737
408.000000, 2.636216
407.000000, 2.638176
406.000000, 2.639955
405.000000, 2.643582
404.000000, 2.649235
403.000000, 2.647467
402.000000, 2.653187
401.000000, 2.658877
400.000000, 2.662695
399.000000, 2.666614
398.000000, 2.668545
397.000000, 2.670426
396.000000, 2.676380
395.000000, 2.672470
394.000000, 2.680336
393.000000, 2.688428
392.000000, 2.692530
391.000000, 2.696553
390.000000, 2.698586
389.000000, 2.700700
388.000000, 2.708994
387.000000, 2.706881
386.000000, 2.715439
385.000000, 2.717662
384.000000, 2.708121
383.000000, 2.654380
382.000000, 2.810768
381.000000, 2.657737
380.000000, 2.747399
379.000000, 2.580342
378.000000, 2.683826
377.000000, 2.614447
376.000000, 2.671590
375.000000, 2.626261
374.000000, 2.625948
373.000000, 2.709441
372.000000, 2.645915
371.000000, 2.518581
370.000000, 2.708952
369.000000, 2.664521
368.000000, 2.733481
367.000000, 2.685696
366.000000, 2.737498
365.000000, 2.670187
364.000000, 2.691999
363.000000, 2.619902
362.000000, 2.744548
361.000000, 2.790850
360.000000, 2.728429
359.000000, 2.801408
358.000000, 2.630486
357.000000, 2.717047
356.000000, 2.788231
355.000000, 2.611150
354.000000, 2.663353
353.000000, 2.710159
352.000000, 2.718896
351.000000, 2.694949
350.000000, 2.731744
349.000000, 2.818608
348.000000, 2.719689
347.000000, 2.628305
346.000000, 2.765626
345.000000, 2.716556
344.000000, 2.854546
343.000000, 2.774365
342.000000, 2.839149
341.000000, 2.922405
340.000000, 2.591293
339.000000, 2.607565
338.000000, 2.805019
337.000000, 3.029134
336.000000, 3.066999
335.000000, 3.377780
334.000000, 2.993407
333.000000, 2.852243
332.000000, 3.140877
331.000000, 2.692139
330.000000, 2.717946
329.000000, 2.882949
328.000000, 3.071480
327.000000, 3.174738
326.000000, 3.236042
325.000000, 3.351284
324.000000, 3.457777
323.000000, 3.370593
322.000000, 3.599110
321.000000, 3.457878
320.000000, 3.652297
319.000000, 3.566946
318.000000, 3.691919
317.000000, 3.633826
316.000000, 3.551597
315.000000, 3.522907
314.000000, 3.583006
313.000000, 3.672081
312.000000, 3.759311
311.000000, 3.784063
310.000000, 3.583224
309.000000, 3.599669
308.000000, 3.634528
307.000000, 3.634633
306.000000, 3.672488
305.000000, 3.653359
304.000000, 3.617063
303.000000, 3.600164
302.000000, 3.736342
301.000000, 3.672644
300.000000, 3.617135
299.000000, 3.617160
298.000000, 3.634876
297.000000, 3.583505
296.000000, 3.736082
295.000000, 3.713696
294.000000, 3.652789
293.000000, 3.634150
292.000000, 3.691927
291.000000, 3.599098
290.000000, 3.615891
289.000000, 3.712557
288.000000, 3.582152
287.000000, 3.734615
286.000000, 3.712292
285.000000, 3.651396
284.000000, 3.690917
283.000000, 3.535872
282.000000, 3.565793
281.000000, 3.597931
280.000000, 3.597822
279.000000, 3.597855
278.000000, 3.550405
277.000000, 3.651181
276.000000, 3.565688
275.000000, 3.468917
274.000000, 3.565970
273.000000, 3.651552
272.000000, 3.633064
271.000000, 3.536222
270.000000, 3.691204
269.000000, 3.671068
268.000000, 3.651885
267.000000, 3.522503
266.000000, 3.671631
265.000000, 3.652419
264.000000, 3.810014
263.000000, 3.671774
262.000000, 3.810014
261.000000, 3.713247
260.000000, 3.692205
259.000000, 3.713394
258.000000, 3.692360
257.000000, 3.838324
256.000000, 3.784021
255.000000, 3.759252
254.000000, 3.735943
253.000000, 3.838467
252.000000, 3.759294
251.000000, 3.713474
250.000000, 3.735616
249.000000, 3.868321
248.000000, 3.810350
247.000000, 3.868460
246.000000, 3.759437
245.000000, 3.810678
244.000000, 3.868846
243.000000, 3.692822
242.000000, 3.839134
241.000000, 3.901454
240.000000, 3.811386
239.000000, 3.936556
238.000000, 3.901982
237.000000, 3.869973
236.000000, 3.840160
235.000000, 3.737619
234.000000, 3.902576
233.000000, 3.937597
232.000000, 3.903052
231.000000, 3.813126
230.000000, 3.813485
229.000000, 3.813994
228.000000, 3.939561
227.000000, 3.815316
226.000000, 3.874188
225.000000, 3.907258
224.000000, 3.876069
223.000000, 3.876993
222.000000, 3.944754
221.000000, 3.982958
220.000000, 3.820567
