nm, A
700.000000, 1.106105
699.000000, 1.107584
698.000000, 1.109080
697.000000, 1.110492
696.000000, 1.111944
695.000000, 1.113438
694.000000, 1.114788
693.000000, 1.116261
692.000000, 1.117681
691.000000, 1.119170
690.000000, 1.120656
689.000000, 1.122094
688.000000, 1.123544
687.000000, 1.125028
686.000000, 1.126433
685.000000, 1.127996
684.000000, 1.129561
683.000000, 1.132728
682.000000, 1.136525
681.000000, 1.138154
680.000000, 1.139593
679.000000, 1.141394
678.000000, 1.142625
677.000000, 1.144296
676.000000, 1.145604
675.000000, 1.147071
674.000000, 1.148583
673.000000, 1.150018
672.000000, 1.151660
671.000000, 1.153134
670.000000, 1.154493
669.000000, 1.156079
668.000000, 1.157550
667.000000, 1.158878
666.000000, 1.160559
665.000000, 1.161937
664.000000, 1.163560
663.000000, 1.164996
662.000000, 1.166483
661.000000, 1.168093
660.000000, 1.169502
659.000000, 1.171014
658.000000, 1.172446
657.000000, 1.174107
656.000000, 1.175700
655.000000, 1.177042
654.000000, 1.178662
653.000000, 1.180250
652.000000, 1.181743
651.000000, 1.183221
650.000000, 1.184822
649.000000, 1.186276
648.000000, 1.187911
647.000000, 1.189515
646.000000, 1.191002
645.000000, 1.192570
644.000000, 1.193944
643.000000, 1.195622
642.000000, 1.197022
641.000000, 1.198603
640.000000, 1.200249
639.000000, 1.201724
638.000000, 1.203189
637.000000, 1.204870
636.000000, 1.206510
635.000000, 1.208064
634.000000, 1.209555
633.000000, 1.211084
632.000000, 1.212744
631.000000, 1.214378
630.000000, 1.215892
629.000000, 1.217645
628.000000, 1.219048
627.000000, 1.220534
626.000000, 1.222349
625.000000, 1.224108
624.000000, 1.225549
623.000000, 1.227275
622.000000, 1.228857
621.000000, 1.230481
620.000000, 1.232159
619.000000, 1.233791
618.000000, 1.235374
617.000000, 1.237197
616.000000, 1.238902
615.000000, 1.240702
614.000000, 1.242195
613.000000, 1.244053
612.000000, 1.245548
611.000000, 1.247365
610.000000, 1.249056
609.000000, 1.250821
608.000000, 1.252612
607.000000, 1.254356
606.000000, 1.256398
605.000000, 1.258085
604.000000, 1.259944
603.000000, 1.261673
602.000000, 1.263815
601.000000, 1.265845
600.000000, 1.267756
599.000000, 1.269758
598.000000, 1.271913
597.000000, 1.274108
596.000000, 1.276560
595.000000, 1.278953
594.000000, 1.281324
593.000000, 1.284075
592.000000, 1.286662
591.000000, 1.289666
590.000000, 1.292524
589.000000, 1.295122
588.000000, 1.297959
587.000000, 1.300457
586.000000, 1.302900
585.000000, 1.305392
584.000000, 1.307608
583.000000, 1.309541
582.000000, 1.311237
581.000000, 1.313210
580.000000, 1.314674
579.000000, 1.316139
578.000000, 1.317614
577.000000, 1.319111
576.000000, 1.320507
575.000000, 1.322008
574.000000, 1.323304
573.000000, 1.324798
572.000000, 1.326212
571.000000, 1.327483
570.000000, 1.329173
569.000000, 1.330748
568.000000, 1.332418
567.000000, 1.333784
566.000000, 1.335516
565.000000, 1.336996
564.000000, 1.338783
563.000000, 1.340300
562.000000, 1.342129
561.000000, 1.343834
560.000000, 1.345961
559.000000, 1.347951
558.000000, 1.342962
557.000000, 1.341710
556.000000, 1.343508
555.000000, 1.345230
554.000000, 1.346835
553.000000, 1.348644
