nm, Abs ps,Abs nf,abs pvt,abs pvtcef3,
700,0.864506,2.327937,1.106105,1.301736,1.078352
699,0.865465,2.328697,1.107584,1.303155,1.079593
698,0.866502,2.330257,1.10908,1.30454,1.080705
697,0.867439,2.330994,1.110492,1.306101,1.081973
696,0.868341,2.332509,1.111944,1.307442,1.083085
695,0.869302,2.334117,1.113438,1.308954,1.084287
694,0.870197,2.333936,1.114788,1.310214,1.085346
693,0.871132,2.335519,1.116261,1.311626,1.08662
692,0.872179,2.336248,1.117681,1.313197,1.08765
691,0.873028,2.336189,1.11917,1.314513,1.088986
690,0.874026,2.338633,1.120656,1.315937,1.090123
689,0.874971,2.340177,1.122094,1.317475,1.091354
688,0.875948,2.340063,1.123544,1.320063,1.092649
687,0.876986,2.342564,1.125028,1.321457,1.093829
686,0.877906,2.343312,1.126433,1.322991,1.094982
685,0.878858,2.344003,1.127996,1.324388,1.096177
684,0.879886,2.345669,1.129561,1.325977,1.097479
683,0.881438,2.345696,1.132728,1.328428,1.099827
682,0.882956,2.348309,1.136525,1.331022,1.102447
681,0.883911,2.34821,1.138154,1.3338,1.104746
680,0.885063,2.349945,1.139593,1.335563,1.105876
679,0.886025,2.351553,1.141394,1.336942,1.107027
678,0.887043,2.352305,1.142625,1.338264,1.108255
677,0.888085,2.353998,1.144296,1.339643,1.10964
676,0.88903,2.353876,1.145604,1.341333,1.110635
675,0.889996,2.352853,1.147071,1.342758,1.111773
674,0.891157,2.355431,1.148583,1.344228,1.113262
673,0.892172,2.356203,1.150018,1.345676,1.114369
672,0.89315,2.358022,1.15166,1.347364,1.115729
671,0.894173,2.357872,1.153134,1.348708,1.11692
670,0.895216,2.359571,1.154493,1.350104,1.117954
669,0.896196,2.360369,1.156079,1.351768,1.119248
668,0.897201,2.362067,1.15755,1.352987,1.120538
667,0.898133,2.360219,1.158878,1.354556,1.121807
666,0.899359,2.362855,1.160559,1.356079,1.12308
665,0.900189,2.363655,1.161937,1.357495,1.12423
664,0.901371,2.364525,1.16356,1.359254,1.125608
663,0.902316,2.365377,1.164996,1.360639,1.126707
662,0.90341,2.367139,1.166483,1.362289,1.127956
661,0.904535,2.366204,1.168093,1.36364,1.129375
660,0.905476,2.36886,1.169502,1.365455,1.13044
659,0.906523,2.366949,1.171014,1.366765,1.13171
658,0.907641,2.369623,1.172446,1.368329,1.132901
657,0.908676,2.370562,1.174107,1.369913,1.134311
656,0.909704,2.370499,1.1757,1.371521,1.135597
655,0.910751,2.372216,1.177042,1.373056,1.136807
654,0.911865,2.372169,1.178662,1.374505,1.138062
653,0.91278,2.373015,1.18025,1.376202,1.139228
652,0.913977,2.37482,1.181743,1.377548,1.14058
651,0.914989,2.375731,1.183221,1.379128,1.141812
650,0.916163,2.375699,1.184822,1.381091,1.143099
649,0.917309,2.378465,1.186276,1.382648,1.144414
648,0.918194,2.378335,1.187911,1.384145,1.14561
647,0.919361,2.378287,1.189515,1.385731,1.14706
646,0.920565,2.380136,1.191002,1.387419,1.148236
645,0.921626,2.381946,1.19257,1.388873,1.149536
644,0.922705,2.382854,1.193944,1.390477,1.150832
643,0.923741,2.381839,1.195622,1.392076,1.152064
642,0.924907,2.382763,1.197022,1.393709,1.153215
641,0.926032,2.384636,1.198603,1.395533,1.154697
640,0.927256,2.385551,1.200249,1.397065,1.155896
639,0.928231,2.385452,1.201724,1.398551,1.157104
638,0.929357,2.386364,1.203189,1.40019,1.158535
637,0.93054,2.388267,1.20487,1.401755,1.159704
636,0.931675,2.388251,1.20651,1.403342,1.161065
635,0.932785,2.388207,1.208064,1.404907,1.162402
634,0.933962,2.390103,1.209555,1.406677,1.163509
633,0.935072,2.391062,1.211084,1.408283,1.164882
632,0.93618,2.391042,1.212744,1.409789,1.16614
631,0.937427,2.39301,1.214378,1.411434,1.167549
630,0.938479,2.394928,1.215892,1.413026,1.168904
629,0.939674,2.394916,1.217645,1.41466,1.170182
628,0.94081,2.395862,1.219048,1.416376,1.171494
627,0.94203,2.393865,1.220534,1.418007,1.172705
626,0.943244,2.395866,1.222349,1.419704,1.174274
625,0.944362,2.397813,1.224108,1.421553,1.175489
624,0.945352,2.397789,1.225549,1.423103,1.176893
623,0.946636,2.39877,1.227275,1.424882,1.178375
622,0.947838,2.400734,1.228857,1.426546,1.179545
621,0.948906,2.401674,1.230481,1.428185,1.180807
620,0.950166,2.402664,1.232159,1.429878,1.182242
619,0.95141,2.401667,1.233791,1.431487,1.183637
618,0.952567,2.402617,1.235374,1.433153,1.18492
617,0.953826,2.404604,1.237197,1.434855,1.186357
616,0.954993,2.4056,1.238902,1.436792,1.187811
615,0.956327,2.405608,1.240702,1.438431,1.189166
614,0.957625,2.407673,1.242195,1.440107,1.19062
613,0.9588,2.407585,1.244053,1.441993,1.192074
612,0.959989,2.410601,1.245548,1.443604,1.193457
611,0.961218,2.408558,1.247365,1.445367,1.194819
610,0.962458,2.410601,1.249056,1.447146,1.196443
609,0.963881,2.410601,1.250821,1.449152,1.197943
608,0.965,2.412598,1.252612,1.450778,1.199397
607,0.966283,2.413661,1.254356,1.452724,1.201007
606,0.967575,2.41466,1.256398,1.454498,1.202491
605,0.968868,2.414624,1.258085,1.456502,1.204168
604,0.970074,2.415641,1.259944,1.458079,1.205743
