nm, A
700.000000, 1.301736
699.000000, 1.303155
698.000000, 1.304540
697.000000, 1.306101
696.000000, 1.307442
695.000000, 1.308954
694.000000, 1.310214
693.000000, 1.311626
692.000000, 1.313197
691.000000, 1.314513
690.000000, 1.315937
689.000000, 1.317475
688.000000, 1.320063
687.000000, 1.321457
686.000000, 1.322991
685.000000, 1.324388
684.000000, 1.325977
683.000000, 1.328428
682.000000, 1.331022
681.000000, 1.333800
680.000000, 1.335563
679.000000, 1.336942
678.000000, 1.338264
677.000000, 1.339643
676.000000, 1.341333
675.000000, 1.342758
674.000000, 1.344228
673.000000, 1.345676
672.000000, 1.347364
671.000000, 1.348708
670.000000, 1.350104
669.000000, 1.351768
668.000000, 1.352987
667.000000, 1.354556
666.000000, 1.356079
665.000000, 1.357495
664.000000, 1.359254
663.000000, 1.360639
662.000000, 1.362289
661.000000, 1.363640
660.000000, 1.365455
659.000000, 1.366765
658.000000, 1.368329
657.000000, 1.369913
656.000000, 1.371521
655.000000, 1.373056
654.000000, 1.374505
653.000000, 1.376202
652.000000, 1.377548
651.000000, 1.379128
650.000000, 1.381091
649.000000, 1.382648
648.000000, 1.384145
647.000000, 1.385731
646.000000, 1.387419
645.000000, 1.388873
644.000000, 1.390477
643.000000, 1.392076
642.000000, 1.393709
641.000000, 1.395533
640.000000, 1.397065
639.000000, 1.398551
638.000000, 1.400190
637.000000, 1.401755
636.000000, 1.403342
635.000000, 1.404907
634.000000, 1.406677
633.000000, 1.408283
632.000000, 1.409789
631.000000, 1.411434
630.000000, 1.413026
629.000000, 1.414660
628.000000, 1.416376
627.000000, 1.418007
626.000000, 1.419704
625.000000, 1.421553
624.000000, 1.423103
623.000000, 1.424882
622.000000, 1.426546
621.000000, 1.428185
620.000000, 1.429878
619.000000, 1.431487
618.000000, 1.433153
617.000000, 1.434855
616.000000, 1.436792
615.000000, 1.438431
614.000000, 1.440107
613.000000, 1.441993
612.000000, 1.443604
611.000000, 1.445367
610.000000, 1.447146
609.000000, 1.449152
608.000000, 1.450778
607.000000, 1.452724
606.000000, 1.454498
605.000000, 1.456502
604.000000, 1.458079
603.000000, 1.460243
602.000000, 1.461926
601.000000, 1.464217
600.000000, 1.466232
599.000000, 1.468265
598.000000, 1.470347
597.000000, 1.472586
596.000000, 1.474976
595.000000, 1.476871
594.000000, 1.479536
593.000000, 1.482004
592.000000, 1.484579
591.000000, 1.487228
590.000000, 1.489759
589.000000, 1.492386
588.000000, 1.495140
587.000000, 1.497542
586.000000, 1.500094
585.000000, 1.502953
584.000000, 1.504756
583.000000, 1.507117
582.000000, 1.509283
581.000000, 1.511170
580.000000, 1.513183
579.000000, 1.514307
578.000000, 1.516155
577.000000, 1.518246
576.000000, 1.519874
575.000000, 1.521253
574.000000, 1.523091
573.000000, 1.524636
572.000000, 1.526325
571.000000, 1.527634
570.000000, 1.529566
569.000000, 1.531283
568.000000, 1.532869
567.000000, 1.534605
566.000000, 1.536535
565.000000, 1.538250
564.000000, 1.540044
563.000000, 1.541657
562.000000, 1.543456
561.000000, 1.545115
560.000000, 1.547031
559.000000, 1.548952
558.000000, 1.546597
557.000000, 1.546618
556.000000, 1.548437
555.000000, 1.550271
554.000000, 1.552370
553.000000, 1.554202
552.000000, 1.556083
551.000000, 1.558248
550.000000, 1.559824
549.000000, 1.562035
548.000000, 1.563894
547.000000, 1.565754
546.000000, 1.567560
545.000000, 1.569793
544.000000, 1.571777
543.000000, 1.573627
542.000000, 1.576125
541.000000, 1.578094
540.000000, 1.580344
539.000000, 1.582336
538.000000, 1.584867
537.000000, 1.586747
536.000000, 1.589129
535.000000, 1.591329
534.000000, 1.593527
533.000000, 1.595782
532.000000, 1.597751
531.000000, 1.599797
530.000000, 1.602239
529.000000, 1.604617
528.000000, 1.606851
527.000000, 1.609263
526.000000, 1.611641
525.000000, 1.613523
524.000000, 1.615846
523.000000, 1.618166
522.000000, 1.620870
521.000000, 1.623213
520.000000, 1.625385
519.000000, 1.627572
518.000000, 1.629989
517.000000, 1.632568
516.000000, 1.635046
515.000000, 1.636940
514.000000, 1.639442
513.000000, 1.642087
512.000000, 1.644371
511.000000, 1.646716
510.000000, 1.649237
509.000000, 1.651819
508.000000, 1.653964
507.000000, 1.656197
506.000000, 1.658799
505.000000, 1.661554
504.000000, 1.663770
503.000000, 1.666065
502.000000, 1.668932
501.000000, 1.671603
500.000000, 1.674054
499.000000, 1.676331
498.000000, 1.678874
497.000000, 1.681400
496.000000, 1.683907
495.000000, 1.686519
494.000000, 1.689442
493.000000, 1.691782
492.000000, 1.694585
491.000000, 1.696611
490.000000, 1.700047
489.000000, 1.702872
488.000000, 1.705327
487.000000, 1.708131
486.000000, 1.710785
485.000000, 1.713437
484.000000, 1.716597
483.000000, 1.718815
482.000000, 1.721457
481.000000, 1.724776
480.000000, 1.727306
479.000000, 1.730220
478.000000, 1.733147
477.000000, 1.735531
476.000000, 1.738721
475.000000, 1.740937
474.000000, 1.744099
473.000000, 1.747003
472.000000, 1.749729
471.000000, 1.752447
470.000000, 1.755047
469.000000, 1.757603
468.000000, 1.760656
467.000000, 1.762566
466.000000, 1.765660
465.000000, 1.768405
464.000000, 1.771110
463.000000, 1.774021
462.000000, 1.776419
461.000000, 1.779244
460.000000, 1.782037
459.000000, 1.784042
458.000000, 1.787089
457.000000, 1.790022
456.000000, 1.792585
455.000000, 1.794748
454.000000, 1.797619
453.000000, 1.800396
452.000000, 1.802798
451.000000, 1.804732
450.000000, 1.808192
449.000000, 1.811012
448.000000, 1.813112
447.000000, 1.816634
