nm, A
700.000000, 1.078352
699.000000, 1.079593
698.000000, 1.080705
697.000000, 1.081973
696.000000, 1.083085
695.000000, 1.084287
694.000000, 1.085346
693.000000, 1.086620
692.000000, 1.087650
691.000000, 1.088986
690.000000, 1.090123
689.000000, 1.091354
688.000000, 1.092649
687.000000, 1.093829
686.000000, 1.094982
685.000000, 1.096177
684.000000, 1.097479
683.000000, 1.099827
682.000000, 1.102447
681.000000, 1.104746
680.000000, 1.105876
679.000000, 1.107027
678.000000, 1.108255
677.000000, 1.109640
676.000000, 1.110635
675.000000, 1.111773
674.000000, 1.113262
673.000000, 1.114369
672.000000, 1.115729
671.000000, 1.116920
670.000000, 1.117954
669.000000, 1.119248
668.000000, 1.120538
667.000000, 1.121807
666.000000, 1.123080
665.000000, 1.124230
664.000000, 1.125608
663.000000, 1.126707
662.000000, 1.127956
661.000000, 1.129375
660.000000, 1.130440
659.000000, 1.131710
658.000000, 1.132901
657.000000, 1.134311
656.000000, 1.135597
655.000000, 1.136807
654.000000, 1.138062
653.000000, 1.139228
652.000000, 1.140580
651.000000, 1.141812
650.000000, 1.143099
649.000000, 1.144414
648.000000, 1.145610
647.000000, 1.147060
646.000000, 1.148236
645.000000, 1.149536
644.000000, 1.150832
643.000000, 1.152064
642.000000, 1.153215
641.000000, 1.154697
640.000000, 1.155896
639.000000, 1.157104
638.000000, 1.158535
637.000000, 1.159704
636.000000, 1.161065
635.000000, 1.162402
634.000000, 1.163509
633.000000, 1.164882
632.000000, 1.166140
631.000000, 1.167549
630.000000, 1.168904
629.000000, 1.170182
628.000000, 1.171494
627.000000, 1.172705
626.000000, 1.174274
625.000000, 1.175489
624.000000, 1.176893
623.000000, 1.178375
622.000000, 1.179545
621.000000, 1.180807
620.000000, 1.182242
619.000000, 1.183637
618.000000, 1.184920
617.000000, 1.186357
616.000000, 1.187811
615.000000, 1.189166
614.000000, 1.190620
613.000000, 1.192074
612.000000, 1.193457
611.000000, 1.194819
610.000000, 1.196443
609.000000, 1.197943
608.000000, 1.199397
607.000000, 1.201007
606.000000, 1.202491
605.000000, 1.204168
604.000000, 1.205743
603.000000, 1.207268
602.000000, 1.209024
601.000000, 1.210812
600.000000, 1.212551
599.000000, 1.214371
598.000000, 1.216184
597.000000, 1.218101
596.000000, 1.220046
595.000000, 1.222115
594.000000, 1.224237
593.000000, 1.226543
592.000000, 1.228766
591.000000, 1.231004
590.000000, 1.233378
589.000000, 1.235516
588.000000, 1.237925
587.000000, 1.240090
586.000000, 1.242206
585.000000, 1.244366
584.000000, 1.246136
583.000000, 1.247875
582.000000, 1.249542
581.000000, 1.251100
580.000000, 1.252649
579.000000, 1.253856
578.000000, 1.255427
577.000000, 1.256811
576.000000, 1.258189
575.000000, 1.259513
574.000000, 1.260962
573.000000, 1.262375
572.000000, 1.263943
571.000000, 1.265018
570.000000, 1.266689
569.000000, 1.268042
568.000000, 1.269400
567.000000, 1.270932
566.000000, 1.272120
565.000000, 1.273767
564.000000, 1.275479
563.000000, 1.276700
562.000000, 1.278272
561.000000, 1.279911
560.000000, 1.281753
559.000000, 1.283377
558.000000, 1.280155
557.000000, 1.279831
556.000000, 1.281246
555.000000, 1.282908
554.000000, 1.284464
