# Longitud_de_onda(nm),Intensidad_normalizada
2.650000e+02,7.556102e-03
2.660000e+02,6.241799e-03
2.670000e+02,6.351321e-03
2.680000e+02,5.803713e-03
2.690000e+02,6.460842e-03
2.700000e+02,5.913235e-03
2.710000e+02,6.460842e-03
2.720000e+02,5.256127e-03
2.730000e+02,3.613446e-03
2.740000e+02,4.489531e-03
2.750000e+02,6.351321e-03
2.760000e+02,7.556102e-03
2.770000e+02,6.789418e-03
2.780000e+02,5.913235e-03
2.790000e+02,4.927584e-03
2.800000e+02,6.241799e-03
2.810000e+02,7.994221e-03
2.820000e+02,6.022756e-03
2.830000e+02,6.460842e-03
2.840000e+02,5.256127e-03
2.850000e+02,6.022756e-03
2.860000e+02,6.789418e-03
2.870000e+02,7.337048e-03
2.880000e+02,6.460842e-03
2.890000e+02,7.446580e-03
2.900000e+02,8.213286e-03
2.910000e+02,1.248544e-02
2.920000e+02,1.128041e-02
2.930000e+02,1.730645e-02
2.940000e+02,2.004618e-02
2.950000e+02,2.859638e-02
2.960000e+02,3.967291e-02
2.970000e+02,5.767144e-02
2.980000e+02,8.491826e-02
2.990000e+02,1.211197e-01
3.000000e+02,1.566116e-01
3.010000e+02,1.940436e-01
3.020000e+02,2.376322e-01
3.030000e+02,2.895254e-01
3.040000e+02,3.286403e-01
3.050000e+02,3.764113e-01
3.060000e+02,4.206032e-01
3.070000e+02,4.899785e-01
3.080000e+02,5.324984e-01
3.090000e+02,5.752155e-01
3.100000e+02,6.292963e-01
3.110000e+02,6.666703e-01
3.120000e+02,6.995804e-01
3.130000e+02,7.285742e-01
3.140000e+02,7.396840e-01
3.150000e+02,7.762269e-01
3.160000e+02,7.803163e-01
3.170000e+02,8.184075e-01
3.180000e+02,8.342330e-01
3.190000e+02,8.734453e-01
3.200000e+02,9.314830e-01
3.210000e+02,9.329699e-01
3.220000e+02,9.494501e-01
3.230000e+02,9.756847e-01
3.240000e+02,9.674337e-01
3.250000e+02,9.970164e-01
3.260000e+02,1.000000e+00
3.270000e+02,9.605589e-01
3.280000e+02,9.737369e-01
3.290000e+02,9.481910e-01
3.300000e+02,9.627355e-01
3.310000e+02,9.862340e-01
3.320000e+02,9.609027e-01
3.330000e+02,9.521983e-01
3.340000e+02,9.414378e-01
3.350000e+02,9.242765e-01
3.360000e+02,8.987886e-01
3.370000e+02,9.013025e-01
3.380000e+02,9.086152e-01
3.390000e+02,8.800639e-01
3.400000e+02,8.431180e-01
3.410000e+02,8.259206e-01
3.420000e+02,8.036177e-01
3.430000e+02,7.674832e-01
3.440000e+02,7.621478e-01
3.450000e+02,7.507993e-01
3.460000e+02,7.300479e-01
3.470000e+02,7.130530e-01
3.480000e+02,7.257417e-01
3.490000e+02,6.804615e-01
3.500000e+02,6.734520e-01
3.510000e+02,6.444189e-01
3.520000e+02,6.312146e-01
3.530000e+02,6.121559e-01
3.540000e+02,5.926647e-01
3.550000e+02,5.614922e-01
3.560000e+02,5.393492e-01
3.570000e+02,5.029836e-01
3.580000e+02,4.912113e-01
3.590000e+02,4.800052e-01
3.600000e+02,4.585071e-01
3.610000e+02,4.270838e-01
3.620000e+02,4.160232e-01
3.630000e+02,3.996120e-01
3.640000e+02,3.727325e-01
3.650000e+02,3.707267e-01
3.660000e+02,3.529019e-01
3.670000e+02,3.433282e-01
3.680000e+02,3.378746e-01
3.690000e+02,3.148535e-01
3.700000e+02,3.006298e-01
3.710000e+02,3.009637e-01
3.720000e+02,2.784266e-01
3.730000e+02,2.665569e-01
3.740000e+02,2.626755e-01
3.750000e+02,2.487091e-01
3.760000e+02,2.456073e-01
3.770000e+02,2.398471e-01
3.780000e+02,2.191450e-01
3.790000e+02,2.148300e-01
3.800000e+02,2.143877e-01
3.810000e+02,2.001224e-01
3.820000e+02,2.002330e-01
3.830000e+02,1.918330e-01
3.840000e+02,1.867505e-01
3.850000e+02,1.701849e-01
3.860000e+02,1.725039e-01
3.870000e+02,1.808962e-01
3.880000e+02,1.653291e-01
3.890000e+02,1.663221e-01
3.900000e+02,1.609145e-01
3.910000e+02,1.550678e-01
3.920000e+02,1.502142e-01
3.930000e+02,1.451415e-01
3.940000e+02,1.486704e-01
3.950000e+02,1.336781e-01
3.960000e+02,1.258562e-01
3.970000e+02,1.175953e-01
3.980000e+02,1.297113e-01
3.990000e+02,1.190274e-01
4.000000e+02,1.145132e-01
4.010000e+02,1.079082e-01
4.020000e+02,1.051568e-01
4.030000e+02,1.041665e-01
4.040000e+02,1.092289e-01
4.050000e+02,9.833511e-02
4.060000e+02,9.954529e-02
4.070000e+02,9.327531e-02
4.080000e+02,9.316528e-02
4.090000e+02,9.470512e-02
4.100000e+02,9.129565e-02
4.110000e+02,9.085583e-02
4.120000e+02,9.206546e-02
4.130000e+02,8.052119e-02
4.140000e+02,7.942203e-02
4.150000e+02,7.491624e-02
4.160000e+02,7.271869e-02
4.170000e+02,7.469650e-02
4.180000e+02,7.041144e-02
4.190000e+02,6.393058e-02
4.200000e+02,6.700601e-02
4.210000e+02,5.778115e-02
4.220000e+02,6.338149e-02
4.230000e+02,6.030661e-02
4.240000e+02,5.547564e-02
4.250000e+02,5.668330e-02
4.260000e+02,5.284101e-02
4.270000e+02,4.943843e-02
4.280000e+02,5.404846e-02
4.290000e+02,4.943843e-02
4.300000e+02,5.009701e-02
4.310000e+02,4.921902e-02
4.320000e+02,4.768256e-02
4.330000e+02,4.504892e-02
4.340000e+02,4.570728e-02
4.350000e+02,3.912448e-02
4.360000e+02,4.559757e-02
4.370000e+02,3.890507e-02
4.380000e+02,4.022145e-02
4.390000e+02,3.616292e-02
4.400000e+02,3.868565e-02
4.410000e+02,3.539519e-02
4.420000e+02,3.704037e-02
4.430000e+02,3.506607e-02
4.440000e+02,3.813722e-02
4.450000e+02,3.199545e-02
4.460000e+02,3.078922e-02
4.470000e+02,3.078922e-02
4.480000e+02,3.243407e-02
4.490000e+02,2.848667e-02
4.500000e+02,2.651324e-02
4.510000e+02,2.826736e-02
4.520000e+02,2.454004e-02
4.530000e+02,2.497854e-02
4.540000e+02,2.749996e-02
4.550000e+02,2.508814e-02
4.560000e+02,2.004618e-02
4.570000e+02,2.541704e-02
4.580000e+02,2.267665e-02
4.590000e+02,2.092297e-02
4.600000e+02,2.015578e-02
4.610000e+02,2.388234e-02
4.620000e+02,1.873111e-02
4.630000e+02,2.267665e-02
4.640000e+02,2.103257e-02
4.650000e+02,1.982699e-02
4.660000e+02,1.697776e-02
4.670000e+02,1.708736e-02
4.680000e+02,1.851192e-02
4.690000e+02,1.785433e-02
4.700000e+02,1.938859e-02
4.710000e+02,1.949819e-02
4.720000e+02,1.653937e-02
4.730000e+02,1.588200e-02
4.740000e+02,1.686816e-02
4.750000e+02,1.686816e-02
4.760000e+02,1.303332e-02
4.770000e+02,1.390978e-02
4.780000e+02,1.456715e-02
4.790000e+02,1.489583e-02
4.800000e+02,1.610108e-02
4.810000e+02,1.412886e-02
4.820000e+02,1.456715e-02
4.830000e+02,1.445755e-02
4.840000e+02,1.314281e-02
4.850000e+02,1.632028e-02
4.860000e+02,1.369058e-02
4.870000e+02,1.358109e-02
4.880000e+02,1.445755e-02
4.890000e+02,1.369058e-02
4.900000e+02,1.380018e-02
4.910000e+02,1.149949e-02
4.920000e+02,1.237595e-02
4.930000e+02,1.270463e-02
4.940000e+02,9.527720e-03
4.950000e+02,1.084223e-02
4.960000e+02,1.073269e-02
4.970000e+02,1.018496e-02
4.980000e+02,1.073269e-02
4.990000e+02,1.325241e-02
5.000000e+02,1.018496e-02
