# Longitud_de_onda(nm),Intensidad_normalizada
2.650000e+02,1.128627e-02
2.660000e+02,1.194067e-02
2.670000e+02,1.144987e-02
2.680000e+02,1.079547e-02
2.690000e+02,1.030469e-02
2.700000e+02,9.159555e-03
2.710000e+02,1.144987e-02
2.720000e+02,9.323144e-03
2.730000e+02,8.341630e-03
2.740000e+02,1.014110e-02
2.750000e+02,7.032989e-03
2.760000e+02,8.832379e-03
2.770000e+02,8.668790e-03
2.780000e+02,7.850882e-03
2.790000e+02,9.486732e-03
2.800000e+02,1.014110e-02
2.810000e+02,9.159555e-03
2.820000e+02,9.650320e-03
2.830000e+02,8.505219e-03
2.840000e+02,1.030469e-02
2.850000e+02,1.112268e-02
2.860000e+02,1.030469e-02
2.870000e+02,9.486732e-03
2.880000e+02,1.079547e-02
2.890000e+02,1.226788e-02
2.900000e+02,1.357675e-02
2.910000e+02,2.012187e-02
2.920000e+02,1.946739e-02
2.930000e+02,2.044911e-02
2.940000e+02,2.846891e-02
2.950000e+02,3.911058e-02
2.960000e+02,5.876652e-02
2.970000e+02,7.089377e-02
2.980000e+02,1.015610e-01
2.990000e+02,1.294668e-01
3.000000e+02,1.582195e-01
3.010000e+02,1.927572e-01
3.020000e+02,2.298054e-01
3.030000e+02,2.622793e-01
3.040000e+02,3.076680e-01
3.050000e+02,3.514687e-01
3.060000e+02,3.892022e-01
3.070000e+02,4.465521e-01
3.080000e+02,4.589958e-01
3.090000e+02,5.277820e-01
3.100000e+02,5.840526e-01
3.110000e+02,6.345814e-01
3.120000e+02,6.492705e-01
3.130000e+02,6.858591e-01
3.140000e+02,6.980640e-01
3.150000e+02,7.537998e-01
3.160000e+02,7.616742e-01
3.170000e+02,7.941989e-01
3.180000e+02,8.341450e-01
3.190000e+02,8.502716e-01
3.200000e+02,8.889421e-01
3.210000e+02,8.778411e-01
3.220000e+02,9.180603e-01
3.230000e+02,9.367561e-01
3.240000e+02,9.343979e-01
3.250000e+02,9.824473e-01
3.260000e+02,9.684467e-01
3.270000e+02,9.689521e-01
3.280000e+02,9.628815e-01
3.290000e+02,9.670975e-01
3.300000e+02,1.000000e+00
3.310000e+02,9.633885e-01
3.320000e+02,9.861597e-01
3.330000e+02,9.844736e-01
3.340000e+02,9.748558e-01
3.350000e+02,9.893667e-01
3.360000e+02,9.601847e-01
3.370000e+02,9.531035e-01
3.380000e+02,9.192378e-01
3.390000e+02,9.278269e-01
3.400000e+02,9.274900e-01
3.410000e+02,9.000464e-01
3.420000e+02,8.849043e-01
3.430000e+02,8.679192e-01
3.440000e+02,8.596817e-01
3.450000e+02,8.255805e-01
3.460000e+02,8.304507e-01
3.470000e+02,7.985605e-01
3.480000e+02,7.953731e-01
3.490000e+02,7.918505e-01
3.500000e+02,7.782669e-01
3.510000e+02,7.532978e-01
3.520000e+02,7.459271e-01
3.530000e+02,6.935487e-01
3.540000e+02,7.097718e-01
3.550000e+02,6.798408e-01
3.560000e+02,6.539460e-01
3.570000e+02,6.008857e-01
3.580000e+02,5.970524e-01
3.590000e+02,5.962183e-01
3.600000e+02,5.569035e-01
3.610000e+02,5.344365e-01
3.620000e+02,5.244557e-01
