Longitud_de_onda(nm),Intensidad_normalizada
2.650000e+02,6.831111e-03
2.660000e+02,5.668239e-03
2.670000e+02,7.703276e-03
2.680000e+02,7.412555e-03
2.690000e+02,7.121833e-03
2.700000e+02,8.139381e-03
2.710000e+02,7.121833e-03
2.720000e+02,8.430117e-03
2.730000e+02,6.540389e-03
2.740000e+02,9.011604e-03
2.750000e+02,7.412555e-03
2.760000e+02,5.522885e-03
2.770000e+02,9.738474e-03
2.780000e+02,1.090151e-02
2.790000e+02,1.031999e-02
2.800000e+02,1.220998e-02
2.810000e+02,1.322772e-02
2.820000e+02,1.250076e-02
2.830000e+02,1.700820e-02
2.840000e+02,2.093473e-02
2.850000e+02,2.006205e-02
2.860000e+02,2.151646e-02
2.870000e+02,2.398901e-02
2.880000e+02,2.631639e-02
2.890000e+02,3.155359e-02
2.900000e+02,4.523314e-02
2.910000e+02,5.615268e-02
2.920000e+02,5.819144e-02
2.930000e+02,8.077385e-02
2.940000e+02,1.010408e-01
2.950000e+02,1.207390e-01
2.960000e+02,1.446876e-01
2.970000e+02,1.704119e-01
2.980000e+02,1.850374e-01
2.990000e+02,2.045036e-01
3.000000e+02,2.198804e-01
3.010000e+02,2.427414e-01
3.020000e+02,2.550606e-01
3.030000e+02,2.955712e-01
3.040000e+02,3.399679e-01
3.050000e+02,3.426157e-01
3.060000e+02,3.671988e-01
3.070000e+02,4.093487e-01
3.080000e+02,4.192323e-01
3.090000e+02,4.642698e-01
3.100000e+02,4.947284e-01
3.110000e+02,5.127835e-01
3.120000e+02,5.422582e-01
3.130000e+02,5.601942e-01
3.140000e+02,5.836335e-01
3.150000e+02,6.255161e-01
3.160000e+02,6.385997e-01
3.170000e+02,6.747564e-01
3.180000e+02,7.349716e-01
3.190000e+02,8.072793e-01
3.200000e+02,9.222456e-01
3.210000e+02,9.426796e-01
3.220000e+02,9.930738e-01
3.230000e+02,9.572615e-01
3.240000e+02,9.941274e-01
3.250000e+02,9.641804e-01
3.260000e+02,9.461355e-01
3.270000e+02,9.232963e-01
3.280000e+02,9.171389e-01
3.290000e+02,9.250997e-01
3.300000e+02,9.553069e-01
3.310000e+02,9.628260e-01
3.320000e+02,9.659853e-01
3.330000e+02,9.344136e-01
3.340000e+02,9.691447e-01
3.350000e+02,1.000000e+00
3.360000e+02,9.583137e-01
3.370000e+02,9.446328e-01
3.380000e+02,9.163890e-01
3.390000e+02,8.914731e-01
3.400000e+02,8.625317e-01
3.410000e+02,8.438023e-01
3.420000e+02,7.918764e-01
3.430000e+02,7.740915e-01
3.440000e+02,7.497468e-01
3.450000e+02,7.278100e-01
3.460000e+02,7.172217e-01
3.470000e+02,7.218445e-01
3.480000e+02,6.844350e-01
3.490000e+02,6.775844e-01
3.500000e+02,6.540680e-01
3.510000e+02,6.518358e-01
3.520000e+02,6.020433e-01
3.530000e+02,5.763630e-01
3.540000e+02,5.424064e-01
3.550000e+02,5.070112e-01
3.560000e+02,4.812698e-01
3.570000e+02,4.627918e-01
3.580000e+02,4.503811e-01
3.590000e+02,3.987313e-01
3.600000e+02,3.851711e-01
3.610000e+02,3.682291e-01
3.620000e+02,3.573342e-01
3.630000e+02,3.248178e-01
3.640000e+02,3.168787e-01
3.650000e+02,3.126164e-01
3.660000e+02,2.938099e-01
3.670000e+02,2.845571e-01
3.680000e+02,2.729602e-01
3.690000e+02,2.493406e-01
3.700000e+02,2.367322e-01
3.710000e+02,2.299906e-01
3.720000e+02,2.156326e-01
3.730000e+02,2.047957e-01
3.740000e+02,1.941100e-01
3.750000e+02,1.769922e-01
3.760000e+02,1.671944e-01
3.770000e+02,1.594472e-01
3.780000e+02,1.500941e-01
3.790000e+02,1.432266e-01
3.800000e+02,1.395748e-01
3.810000e+02,1.349011e-01
3.820000e+02,1.294983e-01
3.830000e+02,1.214688e-01
3.840000e+02,1.194254e-01
3.850000e+02,1.144633e-01
3.860000e+02,1.049794e-01
3.870000e+02,1.061465e-01
3.880000e+02,9.229068e-02
3.890000e+02,9.447796e-02
3.900000e+02,9.272811e-02
3.910000e+02,9.258234e-02
3.920000e+02,8.675033e-02
3.930000e+02,8.383482e-02
3.940000e+02,8.121113e-02
3.950000e+02,7.989929e-02
3.960000e+02,8.004505e-02
3.970000e+02,7.305000e-02
3.980000e+02,6.270652e-02
3.990000e+02,6.780495e-02
4.000000e+02,5.950226e-02
4.010000e+02,6.824194e-02
4.020000e+02,6.809632e-02
4.030000e+02,6.241515e-02
4.040000e+02,5.367722e-02
4.050000e+02,5.673514e-02
4.060000e+02,4.974605e-02
4.070000e+02,5.192998e-02
4.080000e+02,5.484214e-02
4.090000e+02,5.804582e-02
4.100000e+02,5.047398e-02
4.110000e+02,5.280353e-02
4.120000e+02,4.814457e-02
4.130000e+02,5.003728e-02
4.140000e+02,4.304978e-02
4.150000e+02,4.829018e-02
4.160000e+02,4.858141e-02
4.170000e+02,4.072110e-02
4.180000e+02,4.319540e-02
4.190000e+02,3.970238e-02
4.200000e+02,4.101219e-02
4.210000e+02,3.708276e-02
4.220000e+02,3.548215e-02
4.230000e+02,3.490013e-02
4.240000e+02,3.577309e-02
4.250000e+02,3.213547e-02
4.260000e+02,3.475451e-02
4.270000e+02,3.897459e-02
4.280000e+02,3.431810e-02
4.290000e+02,2.951672e-02
4.300000e+02,3.199000e-02
4.310000e+02,3.111704e-02
4.320000e+02,2.777108e-02
4.330000e+02,3.053516e-02
4.340000e+02,2.689827e-02
4.350000e+02,2.646186e-02
4.360000e+02,2.457089e-02
4.370000e+02,2.384354e-02
4.380000e+02,2.544357e-02
4.390000e+02,2.326181e-02
4.400000e+02,2.704374e-02
4.410000e+02,2.573451e-02
4.420000e+02,2.340728e-02
4.430000e+02,2.500716e-02
4.440000e+02,2.137099e-02
4.450000e+02,2.006205e-02
4.460000e+02,2.384354e-02
4.470000e+02,2.253461e-02
4.480000e+02,2.035299e-02
4.490000e+02,2.020752e-02
4.500000e+02,2.064379e-02
4.510000e+02,2.020752e-02
4.520000e+02,1.831700e-02
4.530000e+02,1.860779e-02
4.540000e+02,1.875326e-02
4.550000e+02,2.122552e-02
4.560000e+02,2.064379e-02
4.570000e+02,1.860779e-02
4.580000e+02,2.078926e-02
4.590000e+02,1.511797e-02
4.600000e+02,1.729914e-02
4.610000e+02,1.889873e-02
4.620000e+02,1.918953e-02
4.630000e+02,1.453638e-02
4.640000e+02,1.744447e-02
4.650000e+02,1.700820e-02
4.660000e+02,1.802620e-02
4.670000e+02,1.540876e-02
4.680000e+02,1.657194e-02
4.690000e+02,1.860779e-02
4.700000e+02,1.860779e-02
4.710000e+02,1.599035e-02
4.720000e+02,1.875326e-02
4.730000e+02,1.540876e-02
4.740000e+02,1.686288e-02
4.750000e+02,1.453638e-02
4.760000e+02,1.410010e-02
4.770000e+02,1.395470e-02
4.780000e+02,1.700820e-02
4.790000e+02,1.439091e-02
4.800000e+02,1.628114e-02
4.810000e+02,1.744447e-02
4.820000e+02,1.758994e-02
4.830000e+02,1.875326e-02
4.840000e+02,1.511797e-02
4.850000e+02,1.410010e-02
4.860000e+02,1.279154e-02
4.870000e+02,1.424551e-02
4.880000e+02,1.220998e-02
4.890000e+02,1.322772e-02
4.900000e+02,1.075612e-02
4.910000e+02,1.540876e-02
4.920000e+02,1.439091e-02
4.930000e+02,1.482717e-02
4.940000e+02,1.264616e-02
4.950000e+02,1.351851e-02
4.960000e+02,1.308233e-02
4.970000e+02,1.279154e-02
4.980000e+02,1.410010e-02
4.990000e+02,1.322772e-02
5.000000e+02,1.395470e-02
