# Longitud_de_onda(nm),Intensidad_normalizada
2.650000e+02,1.300881e-03
2.660000e+02,1.417400e-03
2.670000e+02,1.106690e-03
2.680000e+02,1.126109e-03
2.690000e+02,1.262042e-03
2.700000e+02,1.378561e-03
2.710000e+02,9.319275e-04
2.720000e+02,1.223203e-03
2.730000e+02,1.126109e-03
2.740000e+02,1.145527e-03
2.750000e+02,1.475661e-03
2.760000e+02,1.048435e-03
2.770000e+02,1.087272e-03
2.780000e+02,1.339720e-03
2.790000e+02,1.417400e-03
2.800000e+02,1.009600e-03
2.810000e+02,1.067853e-03
2.820000e+02,1.456241e-03
2.830000e+02,1.203785e-03
2.840000e+02,1.203785e-03
2.850000e+02,1.281461e-03
2.860000e+02,1.009600e-03
2.870000e+02,1.378561e-03
2.880000e+02,1.300881e-03
2.890000e+02,1.417400e-03
2.900000e+02,1.689294e-03
2.910000e+02,1.029016e-03
2.920000e+02,1.456241e-03
2.930000e+02,1.495082e-03
2.940000e+02,1.611608e-03
2.950000e+02,1.514502e-03
2.960000e+02,1.262042e-03
2.970000e+02,1.320302e-03
2.980000e+02,1.300881e-03
2.990000e+02,1.281461e-03
3.000000e+02,1.203785e-03
3.010000e+02,1.262042e-03
3.020000e+02,1.378561e-03
3.030000e+02,1.514502e-03
3.040000e+02,1.164946e-03
3.050000e+02,1.514502e-03
3.060000e+02,1.339720e-03
3.070000e+02,1.883514e-03
3.080000e+02,1.553345e-03
3.090000e+02,1.475661e-03
3.100000e+02,2.038895e-03
3.110000e+02,1.611608e-03
3.120000e+02,1.864092e-03
3.130000e+02,2.466246e-03
3.140000e+02,2.524523e-03
3.150000e+02,5.089658e-03
3.160000e+02,8.668290e-03
3.170000e+02,1.911294e-02
3.180000e+02,3.356201e-02
3.190000e+02,5.832814e-02
3.200000e+02,9.192549e-02
3.210000e+02,1.651750e-01
3.220000e+02,2.630808e-01
3.230000e+02,3.718792e-01
3.240000e+02,4.768727e-01
3.250000e+02,5.468263e-01
3.260000e+02,5.895323e-01
3.270000e+02,6.175196e-01
3.280000e+02,6.381785e-01
3.290000e+02,6.832257e-01
3.300000e+02,7.410580e-01
3.310000e+02,7.838319e-01
3.320000e+02,8.063215e-01
3.330000e+02,8.390048e-01
3.340000e+02,9.105269e-01
3.350000e+02,9.824470e-01
3.360000e+02,1.000000e+00
3.370000e+02,9.825208e-01
3.380000e+02,9.196975e-01
3.390000e+02,8.886372e-01
3.400000e+02,8.661553e-01
3.410000e+02,8.333091e-01
3.420000e+02,7.977936e-01
3.430000e+02,7.502985e-01
3.440000e+02,7.177492e-01
3.450000e+02,7.025743e-01
3.460000e+02,7.017667e-01
3.470000e+02,7.197157e-01
3.480000e+02,7.193216e-01
3.490000e+02,7.115993e-01
3.500000e+02,6.999012e-01
3.510000e+02,6.800575e-01
3.520000e+02,6.630676e-01
3.530000e+02,6.219340e-01
3.540000e+02,5.781720e-01
3.550000e+02,5.257519e-01
3.560000e+02,5.106042e-01
3.570000e+02,4.839098e-01
3.580000e+02,4.586248e-01
3.590000e+02,4.331204e-01
3.600000e+02,4.070161e-01
3.610000e+02,3.840509e-01
3.620000e+02,3.532527e-01
3.630000e+02,3.438007e-01
3.640000e+02,3.300992e-01
3.650000e+02,3.249218e-01
3.660000e+02,3.101255e-01
3.670000e+02,3.088831e-01
3.680000e+02,2.913165e-01
3.690000e+02,2.747225e-01
3.700000e+02,2.561213e-01
3.710000e+02,2.395079e-01
3.720000e+02,2.216250e-01
3.730000e+02,2.042953e-01
3.740000e+02,1.938396e-01
3.750000e+02,1.841049e-01
3.760000e+02,1.762045e-01
3.770000e+02,1.695384e-01
3.780000e+02,1.591555e-01
3.790000e+02,1.513867e-01
3.800000e+02,1.403269e-01
3.810000e+02,1.370233e-01
3.820000e+02,1.347285e-01
3.830000e+02,1.241581e-01
3.840000e+02,1.225933e-01
3.850000e+02,1.179622e-01
3.860000e+02,1.177018e-01
3.870000e+02,1.142974e-01
3.880000e+02,1.075181e-01
3.890000e+02,1.056204e-01
3.900000e+02,1.022468e-01
3.910000e+02,1.003120e-01
3.920000e+02,9.509053e-02
3.930000e+02,9.300017e-02
3.940000e+02,8.749066e-02
3.950000e+02,8.407383e-02
3.960000e+02,7.960852e-02
3.970000e+02,7.615908e-02
3.980000e+02,7.407901e-02
3.990000e+02,7.431682e-02
4.000000e+02,6.855766e-02
4.010000e+02,6.847865e-02
4.020000e+02,6.411099e-02
4.030000e+02,6.381475e-02
4.040000e+02,6.314326e-02
4.050000e+02,6.089275e-02
4.060000e+02,6.010343e-02
4.070000e+02,5.560765e-02
4.080000e+02,5.541061e-02
4.090000e+02,5.407074e-02
4.100000e+02,5.568646e-02
4.110000e+02,5.072361e-02
4.120000e+02,5.060538e-02
4.130000e+02,4.981839e-02
4.140000e+02,4.633731e-02
4.150000e+02,4.625869e-02
4.160000e+02,4.625869e-02
4.170000e+02,4.431296e-02
4.180000e+02,4.111200e-02
4.190000e+02,4.040538e-02
4.200000e+02,4.060164e-02
4.210000e+02,3.846275e-02
4.220000e+02,3.707028e-02
4.230000e+02,3.712910e-02
4.240000e+02,3.616836e-02
4.250000e+02,3.467883e-02
4.260000e+02,3.228874e-02
4.270000e+02,3.334653e-02
4.280000e+02,3.197542e-02
4.290000e+02,3.105525e-02
4.300000e+02,3.035057e-02
4.310000e+02,2.874592e-02
4.320000e+02,2.915669e-02
4.330000e+02,2.704401e-02
4.340000e+02,2.589051e-02
4.350000e+02,2.610560e-02
4.360000e+02,2.610560e-02
4.370000e+02,2.422917e-02
4.380000e+02,2.452230e-02
4.390000e+02,2.368193e-02
4.400000e+02,2.282253e-02
4.410000e+02,2.116255e-02
4.420000e+02,2.063530e-02
4.430000e+02,1.905439e-02
4.440000e+02,1.977648e-02
4.450000e+02,1.819590e-02
4.460000e+02,1.923002e-02
4.470000e+02,1.710355e-02
4.480000e+02,1.825441e-02
4.490000e+02,1.651849e-02
4.500000e+02,1.597253e-02
4.510000e+02,1.515374e-02
4.520000e+02,1.406230e-02
4.530000e+02,1.351669e-02
4.540000e+02,1.431563e-02
4.550000e+02,1.341927e-02
4.560000e+02,1.234781e-02
4.570000e+02,1.260105e-02
4.580000e+02,1.203618e-02
4.590000e+02,1.225044e-02
4.600000e+02,1.191933e-02
4.610000e+02,1.077043e-02
4.620000e+02,1.018638e-02
4.630000e+02,1.014746e-02
4.640000e+02,1.038105e-02
4.650000e+02,1.034213e-02
4.660000e+02,1.045894e-02
4.670000e+02,9.368874e-03
4.680000e+02,9.018572e-03
4.690000e+02,8.804508e-03
4.700000e+02,8.746134e-03
4.710000e+02,8.473716e-03
4.720000e+02,8.298594e-03
4.730000e+02,8.142943e-03
4.740000e+02,7.131387e-03
4.750000e+02,6.975794e-03
4.760000e+02,6.995246e-03
4.770000e+02,6.509036e-03
4.780000e+02,7.131387e-03
4.790000e+02,6.839634e-03
4.800000e+02,6.411797e-03
4.810000e+02,5.595125e-03
4.820000e+02,6.392346e-03
4.830000e+02,5.828446e-03
4.840000e+02,6.061767e-03
4.850000e+02,5.264624e-03
4.860000e+02,5.439591e-03
4.870000e+02,5.808995e-03
4.880000e+02,4.467636e-03
4.890000e+02,4.214980e-03
4.900000e+02,4.506520e-03
4.910000e+02,4.409340e-03
4.920000e+02,4.214980e-03
4.930000e+02,4.214980e-03
4.940000e+02,4.331592e-03
4.950000e+02,4.487068e-03
4.960000e+02,3.787435e-03
4.970000e+02,4.001188e-03
4.980000e+02,3.787435e-03
4.990000e+02,3.554250e-03
5.000000e+02,3.593114e-03
